,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,1491470,"60,551",87444,"5,410",319060,1084966,48015
2,USA,418410,"18,075",14240,"1,399",22184,381986,9224
3,Spain,146690,"4,748",14673,628,48021,83996,7069
4,Italy,139422,"3,836",17669,542,26491,95262,3693
5,France,112950,"3,881",10869,541,21254,80827,7148
6,Germany,110483,"2,820",2183,167,36081,72219,4895
7,China,81802,62,3333,2,77279,1190,189
8,Iran,64586,"1,997",3993,121,29812,30781,3987
9,UK,60733,"5,491",7097,938,135,53501,1559
10,Turkey,38226,"4,117",812,87,1846,35568,1492
11,Belgium,23403,"1,209",2240,205,4681,16482,1276
12,Switzerland,23248,995,895,74,9800,12553,391
13,Netherlands,20549,969,2248,147,250,18051,1424
14,Canada,19179,"1,282",427,46,4474,14278,426
15,Brazil,14347,313,719,33,127,13501,296
16,Portugal,13141,699,380,35,196,12565,245
17,Austria,12930,291,273,30,4512,8145,267
18,S. Korea,10384,53,200,8,6776,3408,55
19,Israel,9404,156,72,7,801,8531,147
20,Russia,8672,"1,175",63,5,580,8029,8
21,Sweden,8419,726,687,96,205,7527,678
22,Norway,6086,,101,12,32,5953,78
23,Ireland,6074,365,235,25,25,5814,165
24,Australia,6013,25,50,1,2813,3150,87
25,India,5749,398,178,18,506,5065,
26,Chile,5546,430,48,5,1115,4383,362
27,Denmark,5402,331,218,15,1621,3563,127
28,Czechia,5221,204,99,11,233,4889,103
29,Poland,5205,357,159,30,222,4824,160
30,Romania,4761,344,215,18,528,4018,162
31,Japan,4257,,93,,622,3542,80
32,Pakistan,4196,161,60,3,467,3669,25
33,Malaysia,4119,156,65,2,1487,2567,76
34,Ecuador,3995,,220,,140,3635,156
35,Philippines,3870,106,182,5,96,3592,1
36,Saudi Arabia,3122,327,41,,631,2450,41
37,Luxembourg,3034,64,46,2,500,2488,34
38,Indonesia,2956,218,240,19,222,2494,
39,Peru,2954,,107,,1301,1546,109
40,Mexico,2785,346,141,16,633,2011,89
41,Serbia,2666,219,65,4,118,2483,112
42,UAE,2659,300,12,,239,2408,1
43,Finland,2487,179,40,6,300,2147,82
44,Thailand,2369,111,30,3,888,1451,61
45,Panama,2249,149,59,4,16,2174,91
46,Qatar,2210,153,6,,178,2026,37
47,Dominican Republic,2111,155,108,10,50,1953,147
48,Greece,1884,52,83,2,269,1532,84
49,Colombia,1780,,50,,100,1630,76
50,South Africa,1749,,13,,95,1641,7
51,Argentina,1715,,63,3,338,1314,96
52,Ukraine,1668,206,52,7,35,1581,33
53,Singapore,1623,142,6,,406,1211,29
54,Iceland,1616,30,6,,633,977,13
55,Algeria,1572,104,205,12,237,1130,46
56,Egypt,1560,110,103,9,305,1152,
57,Croatia,1343,61,19,1,179,1145,36
58,Morocco,1275,91,93,3,97,1085,1
59,New Zealand,1210,50,1,,282,927,4
60,Iraq,1202,80,69,4,452,681,
61,Estonia,1185,36,24,3,72,1089,11
62,Moldova,1174,118,27,5,40,1107,80
63,Slovenia,1091,32,40,4,120,931,35
64,Belarus,1066,205,13,,77,976,33
65,Hong Kong,961,25,4,,264,693,14
66,Lithuania,912,32,15,,8,889,21
67,Hungary,895,78,58,11,94,743,17
68,Armenia,881,28,9,1,114,758,30
69,Kuwait,855,112,1,,111,743,21
70,Bahrain,823,12,5,,477,341,3
71,Azerbaijan,822,105,8,,63,751,23
72,Bosnia and Herzegovina,803,39,34,1,79,690,4
73,Kazakhstan,718,21,7,1,54,657,21
74,Diamond Princess,712,,11,,619,82,10
75,Cameroon,685,,9,,60,616,
76,Slovakia,682,101,2,,16,664,3
77,Tunisia,623,,23,,25,575,67
78,North Macedonia,617,18,29,3,35,553,15
79,Bulgaria,593,16,24,1,42,527,27
80,Latvia,577,29,2,,16,559,5
81,Lebanon,575,27,19,,62,494,29
82,Andorra,564,19,23,1,52,489,17
83,Uzbekistan,545,25,3,1,30,512,8
84,Cyprus,526,32,9,,52,465,13
85,Costa Rica,483,,2,,24,457,14
86,Cuba,457,61,12,1,27,418,15
87,Afghanistan,444,21,14,,29,401,
88,Uruguay,424,,7,,150,267,14
89,Oman,419,48,2,,72,345,3
90,Albania,400,17,22,,154,224,7
91,Burkina Faso,384,,19,,127,238,
92,Taiwan,379,3,5,,67,307,
93,Jordan,358,5,6,,150,202,5
94,Réunion,358,,,,40,318,4
95,Channel Islands,351,16,8,1,38,305,
96,Ivory Coast,349,,3,,41,305,
97,Ghana,313,26,6,1,34,273,2
98,Honduras,312,7,22,,6,284,10
99,Malta,299,6,1,1,5,293,4
100,San Marino,279,,34,,40,205,14
101,Niger,278,,11,,26,241,
102,Mauritius,273,5,7,,19,247,3
103,Kyrgyzstan,270,42,4,,33,233,5
104,Palestine,263,2,1,,44,218,
105,Nigeria,254,,6,,44,204,2
106,Vietnam,251,,,,126,125,8
107,Montenegro,248,7,2,,4,242,7
108,Senegal,244,7,2,,113,129,1
109,Bangladesh,218,54,20,3,33,165,1
110,Bolivia,210,16,15,1,2,193,3
111,Georgia,208,12,3,,50,155,6
112,Sri Lanka,189,4,7,1,44,138,5
113,Faeroe Islands,184,,,,131,53,1
114,DRC,180,,18,,9,153,
115,Kenya,179,7,6,,9,164,2
116,Mayotte,171,,2,,22,147,3
117,Venezuela,166,,7,,65,94,6
118,Isle of Man,158,8,1,,82,75,7
119,Martinique,152,,4,,50,98,20
120,Guinea,144,,,,5,139,
121,Guadeloupe,139,,7,,31,101,14
122,Brunei,135,,1,,91,43,3
123,Djibouti,135,45,,,25,110,
124,Gibraltar,120,7,,,60,60,
125,Paraguay,119,4,5,,15,99,1
126,Cambodia,117,2,,,63,54,1
127,Rwanda,110,5,,,7,103,
128,Trinidad and Tobago,107,,8,,1,98,
129,El Salvador,93,15,5,1,9,79,2
130,Madagascar,93,5,,,11,82,1
131,Guatemala,87,10,3,,17,67,3
132,Monaco,81,2,1,,4,76,4
133,Liechtenstein,78,,1,,55,22,
134,French Guiana,77,,,,34,43,1
135,Aruba,74,,,,14,60,
136,Togo,70,5,3,,23,44,
137,Barbados,63,,3,,6,54,4
138,Jamaica,63,,3,,10,50,
139,Mali,59,3,7,2,16,36,
140,Ethiopia,55,3,2,,4,49,1
141,Uganda,52,,,,,52,
142,French Polynesia,47,,,,,47,
143,Congo,45,,5,,2,38,
144,Cayman Islands,45,,1,,6,38,
145,Macao,45,1,,,10,35,1
146,Sint Maarten,40,,6,,1,33,2
147,Bermuda,39,,2,,17,20,
148,Zambia,39,,1,,7,31,1
149,Bahamas,36,3,6,,5,25,1
150,Guyana,33,,5,,8,20,4
151,Guinea-Bissau,33,,,,,33,
152,Saint Martin,32,,2,,7,23,6
153,Liberia,31,17,4,1,3,24,
154,Eritrea,31,,,,,31,
155,Gabon,30,,1,,1,28,
156,Haiti,27,2,1,,,26,
157,Benin,26,,1,,5,20,
158,Tanzania,25,1,1,,5,19,
159,Myanmar,22,,3,2,,19,
160,Libya,21,1,1,,2,18,
161,Antigua and Barbuda,19,,2,1,,17,1
162,Syria,19,,2,,3,14,
163,Maldives,19,,,,13,6,
164,New Caledonia,18,,,,1,17,
165,Angola,17,,2,,2,13,
166,Mozambique,17,7,,,1,16,
167,Equatorial Guinea,16,,,,3,13,
168,Mongolia,16,1,,,4,12,
169,Namibia,16,,,,3,13,
170,Dominica,15,,,,1,14,
171,Fiji,15,,,,,15,
172,Laos,15,1,,,,15,
173,Sudan,14,,2,,2,10,
174,Saint Lucia,14,,,,1,13,
175,Curaçao,13,,1,,7,5,
176,Somalia,12,4,1,1,1,10,
177,Grenada,12,,,,,12,2
178,Eswatini,12,2,,,4,8,
179,Zimbabwe,11,,2,,,9,
180,Greenland,11,,,,11,0,
181,Saint Kitts and Nevis,11,,,,,11,
182,Seychelles,11,,,,,11,
183,Suriname,10,,1,,3,6,
184,Chad,10,,,,2,8,
185,MS Zaandam,9,,2,,,7,
186,Nepal,9,,,,1,8,
187,Montserrat,9,,,,,9,1
188,Belize,8,1,1,,,7,1
189,Malawi,8,,1,,,7,1
190,Turks and Caicos,8,,1,,,7,
191,CAR,8,,,,,8,
192,St. Vincent Grenadines,8,,,,1,7,
193,Cabo Verde,7,,1,,1,5,
194,Vatican City,7,,,,,7,
195,Sierra Leone,7,1,,,,7,
196,Botswana,6,,1,,,5,
197,Mauritania,6,,1,,2,3,
198,Nicaragua,6,,1,,,5,
199,St. Barth,6,,,,1,5,
200,Bhutan,5,,,,2,3,
201,Gambia,4,,1,,2,1,
202,Sao Tome and Principe,4,,,,,4,
203,Western Sahara,4,,,,,4,
204,Anguilla,3,,,,,3,
205,British Virgin Islands,3,,,,,3,
206,Burundi,3,,,,,3,
207,Caribbean Netherlands,2,,,,,2,
208,Falkland Islands,2,,,,,2,
209,Papua New Guinea,2,,,,,2,
210,South Sudan,2,,,,,2,
211,Saint Pierre Miquelon,1,,,,,1,
212,Timor-Leste,1,,,,,1,
