,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,1162772,"46,129",62488,"3,318",241742,858542,39938
2,USA,293539,"16,378",7896,492,14436,271207,6219
3,Spain,124736,"5,537",11744,546,34219,78773,6416
4,Italy,124632,"4,805",15362,681,20996,88274,3994
5,Germany,92150,991,1330,55,26400,64420,3936
6,France,82165,,6507,,14008,61650,6662
7,China,81639,19,3326,4,76755,1558,331
8,Iran,55743,"2,560",3452,158,19736,32555,4103
9,UK,41903,"3,735",4313,708,135,37455,163
10,Turkey,20921,,425,,484,20012,1251
11,Switzerland,20278,672,641,50,4846,14791,391
12,Belgium,18431,"1,661",1283,140,3247,13901,1245
13,Netherlands,16627,904,1651,164,250,14726,1360
14,Canada,12924,549,214,6,2322,10388,120
15,Austria,11781,257,186,18,2507,9088,245
16,Portugal,10524,638,266,20,75,10183,251
17,S. Korea,10156,94,177,3,6325,3654,55
18,Brazil,9391,197,376,13,127,8888,296
19,Israel,7589,161,44,4,427,7118,115
20,Sweden,6443,312,373,15,205,5865,379
21,Norway,5550,180,62,3,32,5456,98
22,Australia,5550,96,30,2,585,4935,85
23,Russia,4731,582,43,9,333,4355,8
24,Ireland,4604,331,137,17,25,4442,148
25,Czechia,4362,172,59,6,78,4225,87
26,Chile,4161,424,27,5,528,3606,38
27,Denmark,4077,320,161,22,1283,2633,142
28,Poland,3627,244,79,8,116,3432,50
29,Romania,3613,430,146,13,329,3138,119
30,Malaysia,3483,150,57,4,915,2511,99
31,Ecuador,3465,97,172,27,65,3228,100
32,Philippines,3094,76,144,8,57,2893,1
33,India,3082,23,86,,229,2767,
34,Japan,2935,,69,,514,2352,60
35,Pakistan,2748,62,41,1,130,2577,13
36,Luxembourg,2729,117,31,,500,2198,35
37,Saudi Arabia,2179,140,29,4,420,1730,41
38,Indonesia,2092,106,191,10,150,1751,
39,Thailand,2067,89,20,1,674,1373,23
40,Finland,1882,267,25,5,300,1557,72
41,Mexico,1688,178,60,10,633,995,1
42,Greece,1673,60,68,5,78,1527,92
