,country,total,new case,death,new_death,recovered,active_cases,critical
1,,World,"5,217,358",+26862,"335,054",+881,2096655,2785649
2,,,,,,,,
3,,,,,,,,
4,1,USA,"1,621,333",+431,"96,363",+9,382244,1142726
5,,,,,,,,
6,,,,,,,,
7,2,Russia,"326,448",+8894,"3,249",+150,99825,223374
8,3,Brazil,"310,921",,"20,082",,125960,164879
9,4,Spain,"280,117",,"27,940",,196958,55219
10,5,UK,"250,908",,"36,042",,N/A,N/A
11,6,Italy,"228,006",,"32,486",,134560,60960
12,7,France,"181,826",,"28,215",,63858,89753
13,8,Germany,"179,134",+113,"8,310",+1,159000,11824
14,9,Turkey,"153,548",,"4,249",,114990,34309
15,10,Iran,"131,652",+2311,"7,300",+51,102276,22076
16,11,India,"119,419",+1193,"3,599",+15,48957,66863
17,12,Peru,"108,769",,"3,148",,43587,62034
18,,,,,,,,
19,13,China,"82,971",+4,"4,634",,78255,82
20,14,Canada,"81,324",,"6,152",,41715,33457
21,15,Saudi Arabia,"65,077",,351,,36040,28686
22,16,Mexico,"59,567",+2973,"6,510",+420,40657,12400
23,17,Chile,"57,581",,589,,23992,33000
24,18,Belgium,"56,511",+276,"9,212",+26,15123,32176
25,19,Pakistan,"50,694",+2603,"1,067",+50,15201,34426
26,20,Netherlands,"44,700",,"5,775",,N/A,N/A
27,21,Qatar,"38,651",,17,,7288,31346
28,22,Ecuador,"35,306",,"2,939",,3557,28810
29,23,Belarus,"34,303",+932,190,+5,12833,21280
30,24,Sweden,"32,172",,"3,871",,4971,23330
31,25,Switzerland,"30,694",,"1,898",,27900,896
32,26,Singapore,"30,426",+614,23,,12117,18286
33,27,Bangladesh,"30,205",+1694,432,+24,6190,23583
34,28,Portugal,"29,912",,"1,277",,6452,22183
35,29,UAE,"26,898",,237,,12755,13906
36,30,Ireland,"24,391",,"1,583",,21060,1748
37,31,Indonesia,"20,796",+634,"1,326",+48,5057,14413
38,32,Poland,"20,379",+236,973,+1,8731,10675
39,33,Ukraine,"20,148",+442,588,+9,6585,12975
40,34,South Africa,"19,137",,369,,8950,9818
41,35,Kuwait,"18,609",,129,,5205,13275
42,36,Colombia,"18,330",,652,,4431,13247
43,37,Romania,"17,712",+127,"1,159",+3,10777,5776
44,38,Israel,"16,690",+7,279,,13915,2496
45,39,Austria,"16,436",+32,635,+2,15005,796
46,40,Japan,"16,424",,777,,12672,2975
47,41,Egypt,"15,003",,696,,4217,10090
48,42,Dominican Republic,"13,657",,448,,7366,5843
49,43,Philippines,"13,597",+163,857,+11,3092,9648
50,44,Denmark,"11,182",,561,,9643,978
51,45,S. Korea,"11,142",+20,264,,10162,716
52,46,Serbia,"10,919",,237,,5370,5312
53,47,Panama,"10,116",,291,,6245,3580
54,48,Argentina,"9,931",,416,,3032,6483
55,49,Afghanistan,"9,216",+540,205,+12,996,8015
56,50,Czechia,"8,757",+3,306,,5932,2519
57,,,,,,,,
58,51,Norway,"8,309",,235,,32,8042
59,52,Bahrain,"8,174",,12,,3873,4289
60,53,Algeria,"7,728",,575,,4062,3091
61,54,Kazakhstan,"7,597",+363,35,,3843,3719
62,55,Morocco,"7,300",+89,197,+1,4347,2756
63,56,Malaysia,"7,137",+78,115,+1,5859,1163
64,57,Australia,"7,095",+14,101,+1,6479,515
65,58,Nigeria,"7,016",,211,,1907,4898
66,59,Oman,"6,794",+424,32,+1,1821,4941
67,60,Moldova,"6,704",,233,,2953,3518
68,61,Finland,"6,537",+44,306,,4800,1431
69,62,Ghana,"6,486",+217,31,,1951,4504
70,63,Armenia,"5,928",+322,74,+4,2874,2980
71,64,Bolivia,"5,187",+268,215,+16,561,4411
72,65,Cameroon,"4,288",,156,,1808,2324
73,66,Luxembourg,"3,980",,109,,3741,130
74,67,Iraq,"3,877",,140,,2483,1254
75,68,Azerbaijan,"3,749",,44,,2340,1365
76,69,Hungary,"3,678",+37,476,+3,1587,1615
77,70,Honduras,"3,204",+104,156,+5,397,2651
78,71,Sudan,"3,138",,121,,309,2708
79,72,Guinea,"3,067",,18,,1575,1474
80,73,Thailand,"3,037",,56,,2910,71
81,74,Uzbekistan,"3,006",+42,13,,2407,586
82,75,Greece,"2,853",,168,,1374,1311
83,76,Senegal,"2,812",,33,,1251,1528
84,77,Guatemala,"2,512",+247,48,+3,222,2242
85,78,Bosnia and Herzegovina,"2,372",+22,141,+1,1614,617
86,79,Bulgaria,"2,372",+41,125,+5,769,1478
87,80,Tajikistan,"2,350",,44,,1008,1298
88,81,Ivory Coast,"2,301",,29,,1100,1172
89,82,Croatia,"2,237",,97,,1978,162
90,83,Djibouti,"2,047",,10,,1055,982
91,84,Cuba,"1,908",,80,,1603,225
92,85,North Macedonia,"1,898",,111,,1378,409
93,86,DRC,"1,835",,61,,303,1471
94,87,Estonia,"1,807",+7,64,,1508,235
95,88,Iceland,"1,803",,10,,1790,3
96,89,El Salvador,"1,725",+85,33,,562,1130
97,90,Lithuania,"1,604",+11,61,,1111,432
98,91,Somalia,"1,594",,61,,204,1329
99,92,Gabon,"1,567",,12,,365,1190
100,93,New Zealand,"1,504",+1,21,,1455,28
101,94,Slovakia,"1,503",+1,28,,1256,219
102,95,Mayotte,"1,475",,19,,894,562
103,96,Slovenia,"1,468",,106,,1340,22
104,97,Kyrgyzstan,"1,350",+37,14,,939,397
105,98,Maldives,"1,216",,4,,91,1121
106,99,Kenya,"1,109",,50,,375,684
107,100,Guinea-Bissau,"1,109",,6,,42,1061
108,101,Hong Kong,"1,066",+2,4,,1029,33
109,102,Sri Lanka,"1,055",+7,9,,620,426
110,103,Tunisia,"1,046",,47,,883,116
111,104,Latvia,"1,030",+5,22,,712,296
112,105,Lebanon,"1,024",,26,,663,335
113,106,Albania,981,+12,31,,777,173
114,107,Mali,947,,60,,558,329
115,108,Niger,924,,60,,753,111
116,109,Cyprus,923,,17,,561,345
117,110,Costa Rica,903,,10,,592,301
118,111,Equatorial Guinea,903,,10,,22,871
119,112,Venezuela,882,,10,,262,610
120,113,Zambia,866,,7,,302,557
121,114,Paraguay,836,,11,,256,569
122,115,Burkina Faso,812,,52,,669,91
123,116,Andorra,762,,51,,639,72
124,117,Uruguay,749,,20,,594,135
125,118,Haiti,734,+71,25,+3,21,688
126,119,Georgia,723,+2,12,,495,216
127,,,,,,,,
128,120,Diamond Princess,712,,13,,651,48
129,121,Jordan,684,,9,,457,218
130,122,San Marino,658,,41,,235,382
131,123,Malta,599,,6,,468,125
132,124,Chad,588,,58,,186,344
133,125,Sierra Leone,585,,35,,205,345
134,126,Channel Islands,558,,45,,508,5
135,127,Jamaica,534,+5,9,,181,344
136,128,Tanzania,509,,21,,183,305
137,129,Nepal,487,+30,3,,49,435
138,130,South Sudan,481,,4,,4,473
139,131,Congo,469,,16,,137,316
140,132,Réunion,449,,1,,411,37
141,133,Taiwan,441,,7,,408,26
142,134,CAR,436,,,,18,418
143,135,Ethiopia,429,+30,5,,128,296
144,136,Palestine,423,,2,,346,75
145,137,Madagascar,405,,2,,131,272
146,138,Cabo Verde,356,,3,,95,258
147,139,Togo,354,,12,,118,224
148,140,Isle of Man,336,,24,,303,9
149,141,Mauritius,332,,10,,322,0
150,142,Montenegro,324,,9,,314,1
151,143,Vietnam,324,,,,266,58
152,144,Rwanda,320,,,,217,103
153,145,Nicaragua,279,,17,,199,63
154,146,Sao Tome and Principe,251,,8,,4,239
155,147,French Guiana,249,,1,,137,111
156,148,Liberia,240,,23,,131,86
157,149,Eswatini,220,,2,,112,106
158,150,Myanmar,199,,6,,108,85
159,151,Yemen,197,,33,,5,159
160,152,Martinique,192,,14,,91,87
161,153,Faeroe Islands,187,,,,187,0
162,154,Mauritania,173,,5,,7,161
163,155,Mozambique,162,,,,48,114
164,156,Uganda,160,,,,66,94
165,157,Guadeloupe,155,,13,,109,33
166,158,Gibraltar,151,,,,146,5
167,159,Brunei,141,,1,,136,4
168,160,Mongolia,141,+1,,,28,113
169,161,Benin,135,,3,,61,71
170,162,Guyana,127,,10,,57,60
