,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3261936,"43,753",230401,"2,372",1030709,2000826,54599
2,,,,,,,,
3,,,,,,,,
4,USA,1073834,"9,640",62274,619,149604,861956,18697
5,,,,,,,,
6,Spain,239639,"2,740",24543,268,137984,77112,2676
7,Italy,205463,"1,872",27967,285,75945,101551,1694
8,,,,,,,,
9,France,166420,,24087,,48228,94105,4207
10,UK,165221,,26097,,N/A,138780,1559
11,Germany,162123,584,6518,51,123500,32105,2415
12,Turkey,120204,"2,615",3174,93,48886,68144,1514
13,Russia,106498,"7,099",1073,101,11619,93806,2300
14,Iran,94640,983,6028,71,75103,13509,2976
15,China,82862,4,4633,,77610,619,41
16,Brazil,80246,885,5541,30,34132,40573,8318
17,Canada,52069,472,3082,86,20936,28051,557
18,Belgium,48519,660,7594,93,11576,29349,769
19,Netherlands,39316,514,4795,84,N/A,34271,783
20,,,,,,,,
21,Peru,33931,,943,,10037,22951,623
22,India,33610,548,1079,,8437,24094,
23,Switzerland,29586,179,1737,21,23100,4749,167
24,Portugal,25045,540,989,16,1519,22537,172
25,Ecuador,24675,,883,,1557,22235,146
26,Saudi Arabia,22753,"1,351",162,5,3163,19428,125
27,Sweden,21092,790,2586,124,1005,17501,531
28,Ireland,20253,,1190,,13386,5677,129
29,Mexico,17799,"1,047",1732,163,11423,4644,378
30,Singapore,16169,528,15,1,1244,14910,22
31,Pakistan,16117,592,358,15,4105,11654,111
32,Chile,16023,"1,138",227,11,8580,7216,392
33,Israel,15870,36,219,4,8412,7239,117
34,Austria,15452,50,584,4,12907,1961,128
35,Belarus,14027,846,89,5,2386,11552,92
36,Japan,13965,70,425,12,2368,11172,306
37,Qatar,13409,845,10,,1372,12027,72
38,Poland,12877,237,644,20,3236,8997,160
39,UAE,12481,552,105,7,2429,9947,1
40,Romania,12240,262,705,12,4017,7518,221
41,S. Korea,10765,4,247,1,9059,1459,55
42,Ukraine,10406,540,261,11,1238,8907,138
43,Indonesia,10118,347,792,8,1522,7804,
44,Denmark,9158,150,452,9,6546,2160,62
45,Serbia,9009,285,179,6,1343,7487,71
46,Philippines,8488,276,568,10,1043,6877,31
47,,,,,,,,
48,Norway,7738,28,207,,32,7499,40
49,Bangladesh,7667,564,168,5,160,7339,1
50,Czechia,7642,63,235,8,3281,4126,68
51,Dominican Republic,6972,320,301,8,1301,5370,144
52,Australia,6753,7,91,2,5715,947,34
53,Panama,6378,178,178,2,527,5673,92
54,Colombia,6211,4,278,,1411,4522,118
55,Malaysia,6002,57,102,2,4171,1729,40
56,Egypt,5537,269,392,12,1381,3764,
57,South Africa,5350,,103,,2073,3174,36
58,Finland,4995,89,211,5,3000,1784,48
59,Morocco,4423,102,170,2,984,3269,1
60,Argentina,4285,,214,,1192,2879,144
61,Kuwait,4024,284,26,2,1539,2459,66
62,Algeria,4006,158,450,6,1779,1777,22
63,Moldova,3897,126,116,5,1182,2599,237
64,Luxembourg,3784,15,90,1,3213,481,23
65,Kazakhstan,3356,218,25,,858,2473,41
66,Bahrain,3037,116,8,,1495,1534,1
67,Thailand,2954,7,54,,2684,216,61
68,Hungary,2775,48,312,12,581,1882,54
69,Greece,2591,15,140,1,1374,1077,38
70,Oman,2348,74,11,1,495,1842,17
71,Afghanistan,2171,232,64,4,260,1847,7
72,Croatia,2076,14,69,2,1348,659,20
73,Ghana,2074,403,17,1,212,1845,4
74,Armenia,2066,134,32,2,929,1105,10
75,Uzbekistan,2017,15,9,,1126,882,8
76,Iraq,2003,,92,,1346,565,
77,Cameroon,1832,,61,,934,837,12
78,Azerbaijan,1804,38,24,1,1325,455,17
79,Iceland,1797,,10,,1670,117,
80,Bosnia and Herzegovina,1757,80,69,4,727,961,4
81,Nigeria,1728,,51,,307,1370,2
82,Estonia,1689,23,52,2,249,1388,9
83,Bulgaria,1506,59,66,2,266,1174,40
84,Cuba,1501,34,61,3,681,759,10
85,New Zealand,1476,2,19,,1241,216,1
86,North Macedonia,1465,23,77,4,738,650,13
87,Slovenia,1429,11,91,2,233,1105,22
88,Slovakia,1396,5,23,1,524,849,8
89,Lithuania,1385,10,45,,589,751,17
90,Guinea,1351,,7,,313,1031,
91,Ivory Coast,1238,,14,,557,667,
92,Bolivia,1110,57,59,4,117,934,3
93,Djibouti,1089,12,2,,642,445,
94,Hong Kong,1038,,4,,846,188,4
95,Tunisia,980,,40,,294,646,20
96,Senegal,933,51,9,,334,590,1
97,Latvia,858,9,15,,348,495,3
98,Cyprus,850,7,15,,148,687,15
99,Albania,773,7,31,1,470,272,4
100,Honduras,771,33,71,5,79,621,10
101,Kyrgyzstan,746,17,8,,462,276,12
102,Andorra,743,,42,,423,278,17
103,Lebanon,725,4,24,,150,551,44
104,,,,,,,,
105,Niger,713,,32,,435,246,
106,Costa Rica,713,,6,,323,384,8
107,Diamond Princess,712,,13,,645,54,4
108,Sri Lanka,660,11,7,,139,514,1
109,Burkina Faso,641,,43,,498,100,
110,Uruguay,630,5,15,,412,203,11
111,Somalia,601,19,28,,31,542,2
112,Guatemala,585,28,16,,65,504,5
113,San Marino,569,6,41,,78,450,6
