,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3136508,"76,562",217813,"6,365",953309,1965386,56965
2,,,,,,,,
3,,,,,,,,
4,USA,1035765,"25,409",59266,"2,470",142238,834261,15298
5,,,,,,,,
6,Spain,232128,"2,706",23822,301,123903,84403,7764
7,Italy,201505,"2,091",27359,382,68941,105205,1863
8,France,165911,"2,638",23660,367,46886,95365,4387
9,UK,161145,"3,996",21678,586,N/A,139123,1559
10,Germany,159912,"1,154",6314,188,117400,36198,2409
11,,,,,,,,
12,Turkey,114653,"2,392",2992,92,38809,72852,1621
13,Russia,93558,"6,411",867,73,8456,84235,2300
14,Iran,92584,"1,112",5877,71,72439,14268,2983
15,China,82836,6,4633,,77555,648,50
16,Brazil,72899,"6,398",5063,520,32544,35292,8318
17,Canada,50026,"1,526",2859,152,19190,27977,557
18,Belgium,47334,647,7331,124,10943,29060,876
19,Netherlands,38416,171,4566,48,N/A,33600,861
20,,,,,,,,
21,India,31324,"1,873",1008,69,7747,22569,
22,Peru,31190,"2,491",854,72,9179,21157,600
23,Switzerland,29264,100,1699,34,22600,4965,185
24,Portugal,24322,295,948,20,1389,21985,172
25,Ecuador,24258,"1,018",871,208,1557,21830,146
26,Saudi Arabia,20077,"1,266",152,8,2784,17141,118
27,Ireland,19877,229,1159,57,9233,9485,141
28,Sweden,19621,695,2355,81,1005,16261,524
29,Israel,15728,173,210,6,7746,7772,116
30,Mexico,15529,852,1434,83,9086,5009,378
31,Austria,15357,83,569,20,12580,2208,136
32,Singapore,14951,528,14,,1128,13809,20
33,Pakistan,14612,697,312,20,3233,11067,111
34,Chile,14365,552,207,9,7710,6448,426
35,Japan,13736,122,394,9,1899,11443,300
36,Poland,12218,316,596,34,2655,8967,160
37,Belarus,12208,919,79,4,1993,10136,92
38,Qatar,11921,677,10,,1134,10777,72
39,Romania,11616,277,663,22,3404,7549,243
40,UAE,11380,541,89,7,2181,9110,1
41,S. Korea,10752,14,244,1,8854,1654,55
42,Indonesia,9511,415,773,8,1254,7484,
43,Ukraine,9410,401,239,19,992,8179,121
44,Denmark,8851,153,434,7,6121,2296,66
45,Serbia,8497,222,168,6,1260,7069,79
46,,,,,,,,
47,Philippines,7958,181,530,19,975,6453,31
48,Norway,7660,61,206,1,32,7422,44
49,Czechia,7504,59,227,4,2948,4329,73
50,Australia,6738,18,88,5,5626,1024,42
51,Bangladesh,6462,549,155,3,139,6168,1
52,Dominican Republic,6416,123,286,4,1165,4965,144
53,Panama,6021,242,167,2,455,5399,89
54,Colombia,5949,352,269,16,1268,4412,118
55,Malaysia,5851,31,100,1,4032,1719,36
56,Egypt,5042,260,359,22,1304,3379,
57,South Africa,4996,203,93,3,2073,2830,36
58,Finland,4740,45,199,6,2800,1741,56
59,Morocco,4252,132,165,3,778,3309,1
60,Argentina,4127,124,207,10,1162,2758,144
61,Luxembourg,3741,12,89,1,3123,529,19
62,Algeria,3649,132,437,5,1651,1561,22
63,Moldova,3638,157,103,1,975,2560,212
64,Kuwait,3440,152,23,1,1176,2241,67
65,Kazakhstan,3027,192,25,,774,2228,41
66,Thailand,2938,7,54,2,2652,232,61
67,Bahrain,2811,88,8,,1310,1493,2
68,Hungary,2649,66,291,11,516,1842,49
69,Greece,2566,32,138,2,577,1851,40
70,Oman,2131,82,10,,364,1757,3
71,Croatia,2047,8,63,4,1232,752,21
72,Uzbekistan,1939,35,8,,992,939,8
73,Iraq,1928,81,90,2,1319,519,
74,Armenia,1867,59,30,1,866,971,10
75,Afghanistan,1828,125,58,1,228,1542,7
76,Iceland,1795,3,10,,1636,149,1
77,Azerbaijan,1717,39,22,,1221,474,15
78,Cameroon,1705,,58,,915,732,12
79,Ghana,1671,121,16,5,188,1467,4
80,Estonia,1660,13,50,,240,1370,9
81,Bosnia and Herzegovina,1585,20,63,3,682,840,4
82,Nigeria,1532,195,44,4,255,1233,2
83,New Zealand,1472,3,19,,1214,239,1
84,Cuba,1437,48,58,2,575,804,12
85,North Macedonia,1421,22,71,6,589,761,13
86,Slovenia,1408,6,86,3,223,1099,24
87,Bulgaria,1399,36,58,,222,1119,39
88,Slovakia,1384,3,20,2,423,941,6
89,Lithuania,1344,,44,3,536,764,17
90,Guinea,1240,77,7,,269,964,
91,Ivory Coast,1183,19,14,,525,644,
92,Djibouti,1072,37,2,,498,572,
93,Hong Kong,1038,,4,,811,223,4
94,Bolivia,1014,64,53,3,98,863,3
95,Tunisia,975,8,40,1,279,656,18
96,Cyprus,837,15,15,,148,674,15
