,country,total,new case,death,new_death,recovered,active_cases,critical
1,,World,"5,457,202",+59252,"345,122",+1514,2283119,2828961
2,,,,,,,,
3,,,,,,,,
4,1,USA,"1,673,806",+6978,"98,831",+148,448994,1125981
5,,,,,,,,
6,,,,,,,,
7,2,Brazil,"352,523",+5125,"22,288",+275,142587,187648
8,3,Russia,"344,481",+8599,"3,541",+153,113299,227641
9,4,Spain,"282,370",,"28,678",,196958,56734
10,5,UK,"259,559",+2405,"36,793",+118,N/A,N/A
11,6,Italy,"229,858",+531,"32,785",+50,140479,56594
12,7,France,"182,469",,"28,332",,64547,89590
13,8,Germany,"180,153",+167,"8,371",+5,160300,11482
14,9,Turkey,"155,686",,"4,308",,117602,33776
15,10,India,"138,041",+6618,"4,014",+146,57429,76598
16,11,Iran,"135,701",+2180,"7,417",+58,105801,22483
17,12,Peru,"115,754",,"3,373",,47915,64466
18,,,,,,,,
19,13,Canada,"84,082",+461,"6,380",+25,43640,34062
20,14,China,"82,974",+3,"4,634",,78261,79
21,15,Saudi Arabia,"72,560",+2399,390,+11,43520,28650
22,16,Chile,"69,102",+3709,718,+45,28148,40236
23,17,Mexico,"65,856",+3329,"7,179",+190,44919,13758
24,18,Belgium,"57,092",+282,"9,280",+43,15272,32540
25,19,Pakistan,"54,601",+2164,"1,133",+32,17198,36270
26,20,Netherlands,"45,236",+172,"5,822",+11,N/A,N/A
27,21,Qatar,"43,714",+1501,23,+2,9170,34521
28,22,Ecuador,"36,258",,"3,096",,3557,29605
29,23,Belarus,"36,198",+954,199,+5,14155,21844
30,24,Bangladesh,"33,610",+1532,480,+28,6901,26229
31,25,Sweden,"33,459",+271,"3,998",+6,4971,24490
32,26,Singapore,"31,616",+548,23,,14876,16717
33,27,Switzerland,"30,736",+11,"1,906",+1,28000,830
34,28,Portugal,"30,623",+152,"1,316",+14,17549,11758
35,29,UAE,"29,485",+781,245,+1,15056,14184
36,30,Ireland,"24,639",+57,"1,608",+4,21060,1971
37,31,Indonesia,"22,271",+526,"1,372",+21,5402,15497
38,32,South Africa,"21,343",,407,,10104,10832
39,33,Poland,"21,326",+395,996,+3,9194,11136
40,34,Kuwait,"21,302",+838,156,+8,6117,15029
41,35,Ukraine,"20,986",+406,617,+12,7108,13261
42,36,Colombia,"20,177",,705,,4718,14754
43,37,Romania,"18,070",+213,"1,185",+9,11399,5486
44,38,Israel,"16,712",,279,,14093,2340
45,39,Japan,"16,536",,808,,13244,2484
46,40,Egypt,"16,513",,735,,4628,11150
47,41,Austria,"16,503",+17,640,+1,15063,800
48,42,Dominican Republic,"14,801",+379,458,,8133,6210
49,43,Philippines,"14,035",+258,868,+5,3249,9918
50,44,Denmark,"11,360",+71,562,+1,9900,898
51,45,Argentina,"11,353",,445,,3530,7378
52,46,S. Korea,"11,190",+25,266,,10213,711
53,47,Serbia,"11,159",+67,238,,5857,5064
54,48,Afghanistan,"10,582",+584,218,+2,1075,9289
55,49,Panama,"10,577",,299,,6279,3999
56,50,Bahrain,"9,093",+291,13,,4581,4499
57,51,Czechia,"8,932",+42,315,+1,6063,2554
58,,,,,,,,
59,52,Norway,"8,349",+3,235,,7727,387
60,53,Kazakhstan,"8,322",+403,35,,4352,3935
61,54,Algeria,"8,306",+193,600,+8,4784,2922
62,55,Oman,"7,770",+513,36,,1933,5801
63,56,Nigeria,"7,526",,221,,2174,5131
64,57,Morocco,"7,433",+27,199,+1,4703,2531
65,58,Malaysia,"7,245",+60,115,,5945,1185
66,59,Australia,"7,114",+3,102,,6508,504
67,60,Moldova,"7,093",+99,250,+8,3713,3130
68,61,Ghana,"6,683",+66,32,+1,1998,4653
69,62,Armenia,"6,661",+359,81,+4,3064,3516
70,63,Finland,"6,579",+11,307,+1,4800,1472
71,64,Bolivia,"5,915",+336,240,+10,609,5066
72,65,Cameroon,"4,400",,159,,1822,2419
73,66,Iraq,"4,272",,152,,2585,1535
74,67,Azerbaijan,"4,122",+140,49,,2607,1466
75,68,Luxembourg,"3,992",+2,110,+1,3767,115
76,69,Honduras,"3,743",+266,174,+7,455,3114
77,70,Hungary,"3,741",+28,486,+4,1690,1565
78,71,Sudan,"3,628",+250,146,+9,424,3058
79,72,Guinea,"3,176",,20,,1631,1525
80,73,Uzbekistan,"3,150",+35,13,,2565,572
