,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,1956178,"32,330",123450,"3,832",462938,1369790,50984
2,,,,,,,,
3,,,,,,,,
4,USA,591064,"4,123",24600,960,37449,529015,12784
5,,,,,,,,
6,Spain,172541,"2,442",18056,300,67504,86981,7371
7,Italy,162488,"2,972",21067,602,37130,104291,3186
8,France,136779,,14967,,27718,94094,6821
9,Germany,131100,"1,028",3261,67,68200,59639,4288
10,UK,93873,"5,252",12107,778,N/A,81422,1559
11,China,82249,89,3341,,77738,1170,116
12,Iran,74877,"1,574",4683,98,48129,22065,3691
13,Turkey,61049,,1296,,3957,55796,1786
14,,,,,,,,
15,Belgium,31119,530,4157,254,6868,20094,1223
16,Netherlands,27419,868,2945,122,250,24224,1358
17,Canada,26163,483,823,43,7992,17348,557
18,Switzerland,25936,248,1174,36,13700,11062,386
19,Brazil,24159,729,1376,48,3046,19737,296
20,Russia,21102,"2,774",170,22,1694,19238,8
21,Portugal,17448,514,567,32,347,16534,218
22,,,,,,,,
23,Austria,14197,156,384,16,7633,6180,243
24,Israel,11868,282,117,1,2000,9751,181
25,Sweden,11445,497,1033,114,381,10031,915
26,India,10941,488,358,,1205,9378,
27,Ireland,10647,,365,,25,10257,194
28,S. Korea,10564,27,222,5,7534,2808,55
29,Peru,9784,,216,,2642,6926,143
30,Chile,7917,392,92,10,2646,5179,387
31,,,,,,,,
32,Japan,7645,27,143,,799,6703,135
33,Ecuador,7529,,355,,597,6577,121
34,Poland,7202,268,263,18,618,6321,160
35,Romania,6879,246,351,20,1051,5477,241
36,Norway,6623,20,139,5,32,6452,59
37,Denmark,6496,178,299,14,2515,3682,100
38,Australia,6400,41,61,,3598,2741,80
39,Czechia,6101,42,161,18,642,5298,92
40,Pakistan,5837,341,96,3,1378,4363,46
41,Saudi Arabia,5369,435,73,8,889,4407,59
42,Philippines,5223,291,335,20,295,4593,1
43,Mexico,5014,353,332,36,1964,2718,207
44,Malaysia,4987,170,82,5,2478,2427,60
45,Indonesia,4839,282,459,60,426,3954,
46,UAE,4521,,25,,852,3644,1
47,Serbia,4465,411,94,9,400,3971,131
48,Panama,3472,,94,,61,3317,106
49,Qatar,3428,197,7,,373,3048,37
50,Ukraine,3372,270,98,5,119,3155,45
51,Luxembourg,3292,,69,,500,2723,30
52,Dominican Republic,3286,119,183,6,162,2941,143
53,Belarus,3281,362,33,4,203,3045,57
54,Singapore,3252,334,10,1,611,2631,29
55,Finland,3161,97,64,5,300,2797,74
56,Colombia,2852,,112,,319,2421,106
57,Thailand,2613,34,41,1,1405,1167,61
58,South Africa,2415,143,27,,410,1978,7
59,Argentina,2277,,101,3,559,1617,83
60,Egypt,2190,,164,,589,1437,
61,Greece,2170,25,101,2,269,1800,76
62,Algeria,2070,87,326,13,691,1053,60
63,Moldova,1934,222,36,1,134,1764,80
64,Morocco,1838,75,126,,210,1502,1
65,Iceland,1720,9,8,,989,723,8
66,Croatia,1704,54,31,6,415,1258,34
67,Bahrain,1522,161,7,1,645,870,3
68,Hungary,1512,54,122,13,122,1268,58
69,Iraq,1400,22,78,,766,556,
70,Estonia,1373,41,31,3,115,1227,11
71,New Zealand,1366,17,9,4,628,729,4
72,Kuwait,1355,55,3,1,176,1176,26
73,Slovenia,1220,8,56,1,152,1012,35
74,Kazakhstan,1202,111,14,2,203,985,21
75,Azerbaijan,1197,49,13,1,351,833,25
76,Uzbekistan,1113,115,4,,99,1010,8
77,Bosnia and Herzegovina,1083,46,40,1,236,807,4
78,Lithuania,1070,8,26,2,101,943,14
79,Armenia,1067,28,16,2,265,786,30
80,Hong Kong,1013,3,4,,434,575,13
81,Bangladesh,1012,209,46,7,42,924,1
82,North Macedonia,908,54,44,6,86,778,15
83,Cameroon,848,,14,2,130,704,
84,Slovakia,835,66,2,,113,720,5
85,Oman,813,86,4,,130,679,3
86,Cuba,766,40,21,,132,613,9
87,Tunisia,726,,34,,43,649,89
88,,,,,,,,
89,Afghanistan,714,49,23,2,40,651,
90,Bulgaria,713,28,35,3,81,597,29
91,Diamond Princess,712,,12,,639,61,7
92,Cyprus,695,33,12,,65,618,8
93,Latvia,657,2,5,,16,636,3
94,Andorra,646,,29,,128,489,17
95,Lebanon,641,9,21,1,80,540,33
96,Ghana,636,70,8,,17,611,2
97,Ivory Coast,626,,6,,89,531,
98,Costa Rica,612,,3,,62,547,14
99,Niger,548,,13,,86,449,
100,Burkina Faso,515,,27,,161,327,
101,Uruguay,483,,8,,248,227,15
102,Albania,475,8,24,1,248,203,5
103,Channel Islands,436,,9,,48,379,
104,Kyrgyzstan,430,11,5,,71,354,5
105,Honduras,407,10,26,1,7,374,10
106,Taiwan,393,,6,,124,263,
107,Malta,393,9,3,,44,346,4
108,Jordan,391,,7,,215,169,5
109,Réunion,391,,,,40,351,3
110,San Marino,371,,36,,53,282,15
111,Djibouti,363,65,2,,53,308,
112,Guinea,363,44,,,31,332,
113,Bolivia,354,24,28,1,6,320,3
114,Nigeria,343,,10,,91,242,2
115,Mauritius,324,,9,,51,264,3
116,Palestine,308,,2,,62,244,
117,Senegal,299,8,2,,183,114,1
118,Georgia,296,24,3,,68,225,6
119,Montenegro,278,4,4,1,5,269,7
120,Vietnam,266,1,,,169,97,8
121,Isle of Man,242,,2,,141,99,13
122,DRC,241,6,20,,20,201,
123,Sri Lanka,219,2,7,,61,151,1
124,Mayotte,217,10,3,,69,145,3
125,Kenya,216,8,9,,41,166,2
126,Venezuela,189,,9,,110,70,6
127,Faeroe Islands,184,,,,163,21,
128,Guatemala,167,11,5,,19,143,3
129,Paraguay,159,12,7,1,22,130,1
130,Martinique,157,,6,,50,101,19
131,El Salvador,149,12,6,,25,118,2
132,Guadeloupe,145,,8,,67,70,13
133,Mali,144,21,13,3,34,97,
134,Brunei,136,,1,,107,28,2
135,Gibraltar,129,,,,93,36,1
136,Rwanda,127,,,,42,85,
137,Cambodia,122,,,,91,31,1
138,Trinidad and Tobago,113,,8,,17,88,
139,Madagascar,108,2,,,23,85,1
140,Monaco,93,,1,,6,86,5
141,Aruba,92,,,,32,60,1
142,French Guiana,86,,,,51,35,1
143,Ethiopia,82,8,3,,14,65,
144,Liechtenstein,79,,1,,55,23,
145,Togo,77,,3,,32,42,
146,Jamaica,73,,4,,19,50,
147,Barbados,72,,4,,13,55,4
148,Myanmar,63,1,4,,2,57,
149,Congo,60,,5,,5,50,
150,Somalia,60,,2,,2,56,2
151,Liberia,59,,6,,4,49,
152,Bermuda,57,,5,,30,22,3
153,Gabon,57,,1,,1,55,
154,French Polynesia,55,,,,,55,1
155,Cayman Islands,54,,1,,6,47,3
156,Uganda,54,,,,8,46,
157,Tanzania,53,4,3,,7,43,
158,Sint Maarten,52,2,9,,5,38,2
159,Bahamas,49,,8,,6,35,1
160,Guyana,47,,6,,8,33,5
161,Zambia,45,,2,,30,13,1
162,Macao,45,,,,10,35,1
163,Equatorial Guinea,41,20,,,4,37,
164,Haiti,40,,3,,,37,
165,Guinea-Bissau,38,,,,,38,
166,Benin,35,,1,,18,16,
167,Eritrea,34,,,,,34,
168,Sudan,32,3,5,1,4,23,
169,Saint Martin,32,,2,,11,19,5
170,Mongolia,30,13,,,5,25,
171,Syria,29,4,2,,5,22,
172,Mozambique,28,7,,,2,26,
173,Libya,26,,1,,9,16,
174,Antigua and Barbuda,23,,2,,3,18,1
175,Chad,23,,,,2,21,
176,Maldives,20,,,,14,6,
177,Angola,19,,2,,4,13,
178,Laos,19,,,,1,18,
179,Belize,18,,2,,,16,1
180,New Caledonia,18,,,,1,17,
181,Zimbabwe,17,,3,,,14,
182,Malawi,16,,2,,,14,1
183,Nepal,16,2,,,1,15,
184,Dominica,16,,,,8,8,
185,Fiji,16,,,,,16,
186,Namibia,16,,,,3,13,
