,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,4152878,"54,599",282663,"2,439",1465416,2404799,47357
2,,,,,,,,
3,,,,,,,,
4,USA,1353534,"6,225",80351,314,239157,1034026,16816
5,,,,,,,,
6,,,,,,,,
7,Spain,264663,"1,880",26621,143,176439,61603,1650
8,UK,219183,"3,923",31855,268,N/A,186984,1559
9,Italy,219070,802,30560,165,105186,83324,1027
10,Russia,209688,"11,012",1915,88,34306,173467,2300
11,France,176658,,26310,,56038,94310,2812
12,Germany,171704,380,7549,,144400,19755,1581
13,Brazil,156862,801,10739,83,61685,84438,8318
14,Turkey,138657,"1,542",3786,47,92691,42180,1154
15,Iran,107603,"1,383",6640,51,86143,14820,2675
16,China,82901,14,4633,,78120,148,13
17,Canada,68738,"1,036",4870,177,31902,31966,502
18,India,67138,"4,330",2212,111,20969,43957,
19,Peru,65015,,1814,,20246,42955,748
20,,,,,,,,
21,Belgium,53081,485,8656,75,13642,30783,476
22,Netherlands,42627,245,5440,18,N/A,36937,507
23,Saudi Arabia,39048,"1,912",246,7,11457,27345,140
24,Mexico,33460,"1,938",3353,193,21824,8283,378
25,Pakistan,30334,"1,598",659,23,8063,21612,111
26,Switzerland,30305,54,1830,,26400,2075,101
27,Ecuador,29559,488,2127,410,3433,23999,181
28,Chile,28866,"1,647",312,8,13112,15442,544
29,Portugal,27581,175,1135,9,2549,23897,112
30,Sweden,26322,401,3225,5,4971,18126,360
31,Singapore,23336,876,20,,2721,20595,23
32,Ireland,22996,236,1458,12,17110,4428,72
33,Belarus,22973,921,131,5,6406,16436,92
34,Qatar,22520,"1,189",14,1,2753,19753,72
35,UAE,18198,781,198,13,4804,13196,1
36,Israel,16477,23,252,5,11430,4795,74
37,Poland,15996,345,800,15,5698,9498,160
38,Austria,15871,38,618,3,13991,1262,72
39,Japan,15663,,607,,5906,9150,287
40,Romania,15362,231,961,22,7051,7350,242
41,Ukraine,15232,522,391,15,3060,11781,201
42,Bangladesh,14657,887,228,14,2650,11779,1
43,Indonesia,14032,387,973,14,2698,10361,
44,S. Korea,10874,34,256,,9610,1008,55
45,Philippines,10794,184,719,15,1924,8151,31
