,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,2386478,"55,712",164049,"4,002",613367,1609062,54341
2,,,,,,,,
3,,,,,,,,
4,USA,754712,"15,920",39984,970,68822,645906,13551
5,,,,,,,,
6,Spain,195944,"1,528",20453,410,77357,98134,7371
7,Italy,178972,"3,047",23660,433,47055,108257,2635
8,France,152578,785,19718,395,36570,96290,5744
9,Germany,144387,663,4547,9,88000,51840,2889
10,UK,120067,"5,850",16060,596,N/A,103663,1559
11,Turkey,86306,"3,977",2017,127,11976,72313,1922
12,China,82735,16,4632,,77062,1041,85
13,Iran,82211,"1,343",5118,87,57023,20070,3456
14,,,,,,,,
15,Russia,42853,"6,060",361,48,3291,39201,8
16,Belgium,38496,"1,313",5683,230,8757,24056,1081
17,Brazil,36925,203,2372,11,14026,20527,6634
18,Canada,33951,568,1509,39,11207,21235,557
19,Netherlands,32655,"1,066",3684,83,250,28721,1279
20,Switzerland,27740,336,1393,25,17800,8547,386
21,,,,,,,,
22,Portugal,20206,521,714,27,610,18882,224
23,India,17615,"1,250",556,35,2769,14290,
24,Ireland,15251,493,610,39,77,14564,294
25,Austria,14749,78,452,9,10501,3796,204
26,Peru,14420,,348,,6684,7388,117
27,Sweden,14385,563,1540,29,550,12295,450
28,Israel,13362,97,171,7,3564,9627,156
29,Japan,10797,501,236,14,1159,9402,217
30,S. Korea,10661,8,234,2,8042,2385,55
31,Chile,10088,358,133,7,4338,5617,360
32,Saudi Arabia,9362,"1,088",97,5,1398,7867,97
33,Poland,9287,545,360,13,1040,7887,160
34,Ecuador,9022,,456,,1008,7558,168
35,Romania,8746,328,445,24,1892,6409,256
36,Pakistan,8348,710,168,25,1868,6312,46
37,,,,,,,,
38,Mexico,7497,622,650,104,2627,4220,207
39,Denmark,7384,142,355,9,4141,2888,76
40,Norway,7078,42,165,1,32,6881,58
41,UAE,6781,479,41,4,1286,5454,1
42,Czechia,6701,95,186,5,1298,5217,84
43,Australia,6612,26,71,1,4230,2311,48
44,Singapore,6588,596,11,,768,5809,22
45,Indonesia,6575,327,582,47,686,5307,
46,Serbia,6318,324,122,5,753,5443,120
47,Philippines,6259,172,409,12,572,5278,1
48,Ukraine,5449,343,141,8,347,4961,45
49,Qatar,5448,440,8,,518,4922,37
50,Malaysia,5389,84,89,1,3197,2103,46
51,Belarus,4779,,47,2,494,4238,65
52,Dominican Republic,4680,345,226,9,363,4091,146
53,Panama,4273,63,120,4,140,4013,96
54,Finland,3783,102,94,4,1700,1989,68
55,Colombia,3621,,166,,691,2764,98
56,Luxembourg,3550,13,73,1,627,2850,31
57,South Africa,3034,,52,,903,2079,36
58,Egypt,3032,,224,,701,2107,
59,Argentina,2839,,132,,709,1998,123
60,Morocco,2820,135,138,1,322,2360,1
61,Thailand,2765,32,47,,1928,790,61
62,Algeria,2629,95,375,8,1047,1207,40
63,Moldova,2472,121,67,10,457,1948,80
64,Bangladesh,2456,312,91,7,75,2290,1
65,Greece,2235,,110,,269,1856,67
66,Hungary,1916,82,189,17,250,1477,61
67,Kuwait,1915,164,7,1,305,1603,38
