,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,4059925,"50,634",277988,"2,012",1415259,2366678,47813
2,,,,,,,,
3,,,,,,,,
4,USA,1327919,"6,134",78849,234,224633,1024437,16843
5,,,,,,,,
6,,,,,,,,
7,Spain,262783,"2,666",26478,179,173157,63148,1741
8,Italy,218268,"1,083",30395,194,103031,84842,1034
9,UK,215260,"3,896",31587,346,N/A,183329,1559
10,Russia,198676,"10,817",1827,104,31916,164933,2300
11,France,176079,,26230,,55782,94067,2868
12,Germany,170998,410,7510,,143300,20188,1712
13,Brazil,147261,"1,369",10044,52,59297,77920,8318
14,Turkey,137115,"1,546",3739,50,89480,43896,1168
15,Iran,106220,"1,529",6589,48,85064,14567,2696
16,China,82887,1,4633,,78046,208,15
17,Canada,66783,349,4628,59,30640,31515,502
18,India,62521,"2,826",2089,104,18672,41760,
19,Peru,61847,,1714,,19012,41121,730
20,,,,,,,,
21,Belgium,52596,585,8581,60,13411,30604,502
22,Netherlands,42382,289,5422,63,N/A,36710,541
23,Saudi Arabia,37136,"1,704",239,10,10144,26753,141
24,Mexico,31522,"1,906",3160,199,20314,8048,378
25,Switzerland,30251,44,1830,7,26100,2321,101
26,Ecuador,28818,,1704,,3433,23681,156
27,Pakistan,27474,"1,039",618,19,7756,19100,111
28,Portugal,27406,138,1126,12,2499,23781,120
29,Chile,27219,"1,247",304,10,12667,14248,544
30,Sweden,25921,656,3220,45,4971,17730,425
31,Ireland,22760,219,1446,17,17110,4204,76
32,Singapore,22460,753,20,,2296,20144,23
33,Belarus,22052,951,126,5,6050,15876,92
34,Qatar,21331,"1,130",13,1,2449,18869,72
35,UAE,16793,,174,,3837,12782,1
36,Israel,16444,8,245,,11313,4886,78
37,Austria,15833,59,615,1,13928,1290,79
38,Poland,15651,285,785,9,5437,9429,160
39,Japan,15575,,590,,5146,9839,300
40,Romania,15131,320,929,6,6912,7290,245
41,Ukraine,14710,515,376,15,2909,11425,190
42,Bangladesh,13770,636,214,8,2414,11142,1
43,Indonesia,13645,533,959,16,2607,10079,
44,S. Korea,10840,18,256,,9568,1016,55
45,Philippines,10610,147,704,8,1842,8064,31
