,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3027192,"33,930",209132,"2,217",895668,1922392,57461
2,,,,,,,,
3,,,,,,,,
4,USA,995288,"8,128",56139,726,122675,816474,15143
5,,,,,,,,
6,Spain,229422,"2,793",23521,331,120832,85069,7764
7,Italy,199414,"1,739",26977,333,66624,105813,1956
8,France,162100,,22856,,44903,94341,4682
9,Germany,158142,372,5985,9,114500,37657,2570
10,UK,152840,,20732,,N/A,131764,1559
11,,,,,,,,
12,Turkey,110130,,2805,,29140,78185,1776
13,Iran,91472,991,5806,96,70933,14733,3011
14,Russia,87147,"6,198",794,47,7346,79007,2300
15,China,82830,3,4633,1,77474,723,52
16,Brazil,63328,469,4298,27,30152,28878,8318
17,Canada,47346,451,2617,57,17916,26813,557
18,Belgium,46687,553,7207,113,10878,28602,903
19,Netherlands,38245,400,4518,43,N/A,33477,905
20,,,,,,,,
21,Switzerland,29164,103,1640,30,21800,5724,185
22,India,28380,490,886,5,6523,20971,
23,Peru,27517,,728,,8088,18701,554
24,Portugal,24027,163,928,25,1357,21742,176
25,Ecuador,22719,,576,,1366,20777,127
26,Ireland,19262,,1087,,9233,8942,142
27,Sweden,18926,286,2274,80,1005,15647,399
28,Saudi Arabia,18811,"1,289",144,5,2531,16136,117
29,Israel,15466,23,202,1,6796,8468,129
30,Austria,15274,49,549,7,12362,2363,140
31,Mexico,14677,835,1351,46,8354,4972,378
32,Singapore,14423,799,14,2,1095,13314,20
33,Pakistan,13915,587,292,11,3029,10594,111
34,Chile,13813,482,198,9,7327,6288,426
35,Japan,13441,,372,,1809,11260,296
36,Poland,11902,285,562,27,2466,8874,160
37,Romania,11339,303,631,12,3141,7567,227
38,Belarus,11289,826,75,3,1740,9474,92
39,Qatar,11244,957,10,,1066,10168,72
40,S. Korea,10738,10,243,1,8764,1731,55
41,UAE,10349,,76,,1978,8295,1
42,Indonesia,9096,214,765,22,1151,7180,
43,Ukraine,9009,392,220,11,864,7925,110
44,Denmark,8698,123,427,5,5959,2312,72
45,,,,,,,,
46,Serbia,8275,233,162,6,1209,6904,85
47,Philippines,7777,198,511,10,932,6334,31
48,Norway,7554,27,205,4,32,7317,52
49,Czechia,7431,27,222,2,2826,4383,73
50,Australia,6720,4,83,,5586,1051,43
51,Dominican Republic,6293,158,282,4,993,5018,144
52,Bangladesh,5913,497,152,7,131,5630,1
53,Malaysia,5820,40,99,1,3957,1764,37
54,Panama,5779,241,165,6,369,5245,85
55,Colombia,5379,,244,,1133,4002,117
56,Egypt,4782,248,337,20,1236,3209,
57,Finland,4695,119,193,3,2500,2002,56
58,South Africa,4546,,87,,1473,2986,36
59,Morocco,4120,55,162,1,695,3263,1
60,Argentina,3892,,192,,1107,2593,144
61,Luxembourg,3729,6,88,,3123,518,20
62,Algeria,3517,135,432,7,1558,1527,40
63,Moldova,3481,73,102,6,925,2454,212
