,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,2051031,"53,171",132892,"6,292",507890,1410249,51153
2,,,,,,,,
3,,,,,,,,
4,USA,622923,"9,037",27586,"1,539",47707,547630,13477
5,,,,,,,,
6,Spain,177633,"3,573",18579,324,70853,88201,7371
7,Italy,165155,"2,667",21645,578,38092,105418,3079
8,France,147863,"4,560",17167,"1,438",30955,99741,6457
9,Germany,133209,999,3592,97,72600,57017,4288
10,UK,98476,"4,603",12868,761,N/A,85264,1559
11,China,82295,46,3342,1,77816,1137,113
12,Iran,76389,"1,512",4777,94,49933,21679,3643
13,Turkey,69392,"4,281",1518,115,5674,62200,1820
14,,,,,,,,
15,Belgium,33573,"2,454",4440,283,7107,22026,1204
16,Canada,28205,"1,142",1006,103,8937,18262,557
17,Netherlands,28153,734,3134,189,250,24769,1279
18,Switzerland,26336,400,1239,65,15400,9697,386
19,Brazil,26113,851,1590,58,14026,10497,296
20,Russia,24490,"3,388",198,28,1986,22306,8
21,Portugal,18091,643,599,32,383,17109,208
22,,,,,,,,
23,Austria,14335,109,393,9,8098,5844,232
24,Ireland,12547,"1,068",444,38,77,12026,194
25,India,12320,833,405,12,1432,10483,
26,Israel,12200,154,126,3,2309,9765,176
27,Sweden,11927,482,1203,170,381,10343,954
28,S. Korea,10591,27,225,3,7616,2750,55
29,Peru,10303,,230,,2869,7204,132
30,Chile,8273,356,94,2,2937,5242,389
31,Japan,8100,215,146,,853,7101,152
32,,,,,,,,
33,Ecuador,7858,255,388,19,780,6690,135
34,Poland,7582,380,286,23,668,6628,160
35,Romania,7216,337,362,11,1217,5637,245
36,Norway,6740,117,150,11,32,6558,59
37,Denmark,6681,170,309,10,2748,3624,89
38,Australia,6447,47,63,2,3686,2698,76
39,Pakistan,6383,546,111,15,1446,4826,46
40,Czechia,6216,105,166,5,819,5231,84
41,Saudi Arabia,5862,493,79,6,931,4852,71
42,Philippines,5453,230,349,14,353,4751,1
43,Mexico,5399,385,406,74,2125,2868,207
44,UAE,5365,432,33,5,1034,4298,1
45,Indonesia,5136,297,469,10,446,4221,
46,Malaysia,5072,85,83,1,2647,2342,56
47,Serbia,4873,408,99,5,400,4374,128
48,Ukraine,3764,392,108,10,143,3513,45
49,Belarus,3728,447,36,3,203,3489,68
50,Qatar,3711,283,7,,406,3298,37
51,Singapore,3699,447,10,,652,3037,29
52,Dominican Republic,3614,328,189,6,208,3217,143
53,Panama,3574,,95,,72,3407,106
54,Luxembourg,3373,66,69,2,526,2778,33
55,Finland,3237,76,72,8,300,2865,75
56,Colombia,2979,,127,,354,2498,106
57,Thailand,2643,30,43,2,1497,1103,61
58,South Africa,2506,91,34,7,410,2062,7
59,Egypt,2505,155,183,5,589,1733,
60,Argentina,2443,166,111,9,596,1736,117
61,Greece,2192,22,102,1,269,1821,72
62,Algeria,2160,90,336,10,708,1116,60
63,Moldova,2049,115,46,5,171,1832,80
64,Morocco,2024,136,127,1,229,1668,1
65,Croatia,1741,37,34,3,473,1234,31
66,Iceland,1727,7,8,,1077,642,8
67,Bahrain,1671,143,7,,663,1001,3
68,Hungary,1579,67,134,12,192,1253,58
69,Iraq,1415,15,79,1,812,524,
70,Kuwait,1405,50,3,,206,1196,31
71,Estonia,1400,27,35,4,117,1248,10
72,New Zealand,1386,20,9,,728,649,3
73,Uzbekistan,1302,137,4,,107,1191,8
74,Kazakhstan,1295,63,16,2,240,1039,20
75,Azerbaijan,1253,56,13,,404,836,24
76,Slovenia,1248,28,61,5,165,1022,34
77,Bangladesh,1231,219,50,4,49,1132,1
78,Armenia,1111,44,17,1,297,797,30
79,Bosnia and Herzegovina,1110,27,41,1,253,816,4
80,Lithuania,1091,21,30,1,138,923,14
81,Hong Kong,1017,4,4,,459,554,10
82,North Macedonia,974,66,45,1,98,831,15
83,Oman,910,97,4,,131,775,3
84,Slovakia,863,28,6,4,151,706,5
85,Cameroon,848,,17,3,165,666,
86,Cuba,814,48,24,3,151,639,15
87,Afghanistan,784,70,25,2,43,716,
88,Bulgaria,747,34,36,1,105,606,31
89,Tunisia,747,,34,,43,670,89
90,,,,,,,,
91,Cyprus,715,20,12,,65,638,8
92,Diamond Princess,712,,12,,639,61,7
93,Andorra,673,14,33,2,169,471,17
94,Latvia,666,9,5,,44,617,3
95,Lebanon,658,17,21,,81,556,30
96,Ivory Coast,638,,6,,114,518,
97,Ghana,636,,8,,17,611,2
98,Costa Rica,618,,3,,66,549,14
99,Niger,570,,14,,90,466,
100,Burkina Faso,528,,30,,177,321,
101,Albania,494,19,25,1,251,218,5
102,Uruguay,492,,8,,260,224,14
103,Kyrgyzstan,449,19,5,,78,366,5
104,Channel Islands,445,5,13,,69,363,
105,Djibouti,435,72,2,,71,362,
106,Honduras,419,12,31,5,9,379,10
107,Guinea,404,41,1,1,31,372,
108,Jordan,401,4,7,,250,144,5
109,Malta,399,6,3,,44,352,4
110,Bolivia,397,43,28,,7,362,3
111,Taiwan,395,2,6,,137,252,
112,Réunion,391,,,,40,351,3
113,Nigeria,373,,11,,99,263,2
114,San Marino,372,,36,,53,283,15
115,Mauritius,324,,9,,65,250,3
116,Senegal,314,15,2,,190,122,1
117,Palestine,308,,2,,62,244,
118,Georgia,306,6,3,,71,232,6
119,Montenegro,288,5,4,,55,229,7
120,Vietnam,267,1,,,171,96,8
121,Isle of Man,256,2,4,2,151,101,13
122,DRC,254,13,21,1,21,212,
123,Sri Lanka,238,5,7,,63,168,1
124,Kenya,225,9,10,1,53,162,2
125,Mayotte,217,,3,,69,145,3
126,Venezuela,197,8,9,,111,77,6
127,Faeroe Islands,184,,,,166,18,
128,Guatemala,180,13,5,,19,156,3
129,Paraguay,161,2,8,1,23,130,1
130,El Salvador,159,10,6,,30,123,2
131,Martinique,158,1,8,2,73,77,17
132,Mali,148,4,13,,34,101,
133,Guadeloupe,145,,8,,67,70,13
134,Brunei,136,,1,,108,27,2
135,Rwanda,136,2,,,54,82,
136,Gibraltar,131,2,,,104,27,1
137,Cambodia,122,,,,96,26,1
138,Congo,117,43,5,,11,101,
139,Trinidad and Tobago,114,1,8,,19,87,
140,Madagascar,110,2,,,29,81,1
141,Jamaica,105,,5,1,21,79,
142,Aruba,93,1,1,1,39,53,1
143,Monaco,93,,1,,6,86,5
144,Tanzania,88,35,4,1,11,73,
145,French Guiana,86,,,,51,35,1
146,Ethiopia,85,3,3,,15,67,
147,Togo,81,4,3,,35,43,
148,Somalia,80,20,5,3,2,73,2
149,Gabon,80,23,1,,4,75,
150,Liechtenstein,79,,1,,55,23,
151,Myanmar,74,11,4,,2,68,
152,Barbados,73,,5,,15,53,4
153,Liberia,59,,6,,4,49,
154,Bermuda,57,,5,,30,22,3
155,Cabo Verde,56,45,1,,1,54,
156,French Polynesia,55,,,,,55,1
157,Uganda,55,,,,12,43,
158,Cayman Islands,54,,1,,6,47,3
159,Sint Maarten,52,,9,,5,38,2
160,Equatorial Guinea,51,10,,,4,47,
161,Bahamas,49,,8,,6,35,1
162,Guyana,48,1,6,,8,34,5
163,Zambia,48,3,2,,30,16,1
164,Macao,45,,,,15,30,1
165,Guinea-Bissau,43,,,,,43,
166,Haiti,41,1,3,,,38,
167,Saint Martin,35,3,2,,13,20,5
168,Benin,35,,1,,18,16,
169,Libya,35,,1,,9,25,
170,Eritrea,35,,,,,35,
171,Syria,33,4,2,,5,26,
172,Sudan,32,,5,,4,23,
