,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3364253,"60,332",237469,"3,645",1069057,2057727,50109
2,,,,,,,,
3,,,,,,,,
4,USA,1111543,"16,520",64887,"1,031",157809,888847,15118
5,,,,,,,,
6,Spain,242988,"3,648",24824,281,142450,75714,2500
7,Italy,207428,"1,965",28236,269,78249,100943,1578
8,,,,,,,,
9,UK,177454,"6,201",27510,739,N/A,149600,1559
10,France,167178,,24376,,49476,93326,4019
11,Germany,163542,533,6640,17,126900,30002,2189
12,Turkey,122392,"2,188",3258,84,53808,65326,1480
13,Russia,114431,"7,933",1169,96,13220,100042,2300
14,Iran,95646,"1,006",6091,63,76318,13237,2899
15,Brazil,87364,"1,984",6017,116,35935,45412,8318
16,China,82874,12,4633,,77642,599,38
17,Canada,53670,434,3224,40,22095,28351,557
18,Belgium,49032,513,7703,109,11892,29437,740
19,,,,,,,,
20,Netherlands,39791,475,4893,98,N/A,34648,735
21,Peru,36976,,1051,,10405,25520,651
22,India,35043,180,1154,,9068,24821,
23,Switzerland,29705,119,1749,12,23400,4556,167
24,Ecuador,26336,"1,402",1063,163,1913,23360,149
25,Portugal,25351,306,1007,18,1647,22697,154
26,Saudi Arabia,24097,"1,344",169,7,3555,20373,117
27,Sweden,21520,428,2653,67,1005,17862,531
28,Ireland,20833,221,1265,33,13386,6182,123
29,Mexico,19224,"1,425",1859,127,11423,5942,378
30,Pakistan,17699,"1,226",408,47,4351,12940,111
31,Singapore,17101,932,16,1,1268,15817,23
32,Chile,17008,985,234,7,9018,7756,392
33,Israel,16004,58,223,1,8758,7023,105
34,Austria,15531,79,589,5,13110,1832,124
35,Belarus,14917,890,93,4,2918,11906,92
36,Qatar,14096,687,12,2,1436,12648,72
37,Japan,14088,,430,,2460,11198,308
38,Poland,13105,228,651,7,3491,8963,160
39,UAE,13038,557,111,6,2543,10384,1
40,Romania,12567,327,744,27,4328,7495,249
41,Ukraine,10861,455,272,11,1413,9176,143
42,S. Korea,10774,9,248,1,9072,1454,55
43,Indonesia,10551,433,800,8,1591,8160,
44,Denmark,9311,153,460,8,6729,2122,61
45,Serbia,9205,196,185,6,1379,7641,65
