,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,752288,"28,898",36207,"2,143",158694,557387,28590
2,USA,145443,"1,952",2613,31,4574,138256,2972
3,Italy,101739,"4,050",11591,812,14620,75528,3981
4,Spain,85195,"5,085",7340,537,16780,61075,5231
5,China,81470,31,3304,4,75700,2466,633
6,Germany,63929,"1,494",560,19,9211,54158,1979
7,Iran,41495,"3,186",2757,117,13911,24827,3511
8,France,40174,,2606,,7202,30366,4632
9,UK,22141,"2,619",1408,180,135,20598,163
10,Switzerland,15526,697,333,33,1823,13370,301
11,Belgium,11899,"1,063",513,82,1527,9859,927
12,Netherlands,11750,884,864,93,250,10636,1053
13,Turkey,10827,"1,610",168,37,105,10554,568
14,S. Korea,9661,78,158,6,5228,4275,59
15,Austria,9520,732,108,22,636,8776,193
16,Canada,6671,351,67,2,1014,5590,120
17,Portugal,6408,446,140,21,43,6225,164
18,Norway,4436,152,32,6,12,4392,97
19,Brazil,4362,106,141,5,120,4101,296
20,Israel,4347,100,16,1,134,4197,80
21,Australia,4245,82,18,1,244,3983,28
22,Sweden,4028,328,146,36,16,3866,306
23,Czechia,2896,79,17,1,11,2868,52
24,Malaysia,2626,156,37,2,479,2110,94
25,Ireland,2615,,46,,5,2564,59
26,Denmark,2577,182,77,5,1,2499,137
27,Chile,2449,310,8,1,156,2285,14
28,Luxembourg,1988,38,22,1,40,1926,25
29,Poland,1984,122,26,4,7,1951,3
30,Romania,1952,137,47,4,206,1699,31
31,Ecuador,1924,,58,,3,1863,58
32,Japan,1866,,54,,424,1388,56
33,Russia,1836,302,9,1,66,1761,8
34,Pakistan,1690,93,21,7,29,1640,11
35,Philippines,1546,128,78,7,42,1426,1
36,Thailand,1524,136,9,2,229,1286,11
37,Saudi Arabia,1453,154,8,,115,1330,12
38,Indonesia,1414,129,122,8,75,1217,
39,Finland,1352,112,13,2,10,1329,49
40,South Africa,1280,,2,,31,1247,7
41,Greece,1212,56,43,4,52,1117,72
42,Iceland,1086,66,2,,157,927,25
43,India,1071,47,29,2,100,942,
44,Mexico,993,145,20,4,35,938,1
45,Panama,989,,24,,4,961,36
46,Dominican Republic,901,42,42,3,4,855,
47,Singapore,879,35,3,,228,648,19
48,Peru,852,,18,,16,818,40
49,Argentina,820,,22,2,228,570,
50,Croatia,790,77,6,,67,717,27
51,Serbia,785,44,16,3,42,727,62
52,Slovenia,756,26,11,,10,735,28
53,Estonia,715,36,3,,20,692,10
54,Diamond Princess,712,,10,,603,99,15
55,Colombia,702,,10,,10,682,29
56,Hong Kong,642,,4,,118,520,5
57,Qatar,634,,1,,48,585,6
58,UAE,611,41,5,2,61,545,2
59,Egypt,609,,40,,132,437,
60,New Zealand,589,75,1,,63,525,2
61,Algeria,584,73,35,4,37,512,
62,Iraq,547,,42,,143,362,
63,Morocco,516,37,29,3,14,473,1
64,Bahrain,515,16,4,,279,232,2
65,Lithuania,484,24,7,,1,476,5
66,Armenia,482,58,3,,30,449,15
67,Ukraine,480,5,11,1,6,463,
68,Hungary,447,39,15,2,34,398,6
69,Lebanon,446,8,11,1,35,400,3
70,Latvia,376,29,,,1,375,3
71,Bulgaria,359,13,8,,17,334,13
72,Bosnia and Herzegovina,358,35,9,3,17,332,1
73,Slovakia,336,22,,,7,329,1
74,Andorra,334,,6,,6,322,10
75,Costa Rica,314,,2,,3,309,6
76,Tunisia,312,,8,,2,302,10
77,Uruguay,310,6,1,,,309,9
78,Taiwan,306,8,5,2,39,262,
79,Kazakhstan,302,18,1,,21,280,
80,Moldova,298,35,2,,15,281,44
81,North Macedonia,285,26,7,1,12,266,1
82,Azerbaijan,273,64,4,,26,243,23
83,Kuwait,266,11,,,72,194,13
84,Jordan,259,,4,1,18,237,3
85,San Marino,230,6,25,3,13,192,16
86,Cyprus,230,16,7,1,15,208,3
87,Réunion,224,41,,,1,223,
88,Albania,223,11,11,1,44,168,7
89,Burkina Faso,222,,12,,23,187,
90,Vietnam,203,9,,,55,148,3
91,Oman,179,12,,,29,150,3
92,Afghanistan,170,50,4,,2,164,
93,Cuba,170,31,4,1,4,162,2
94,Faeroe Islands,168,9,,,70,98,1
95,Ivory Coast,165,,1,,4,160,
96,Senegal,162,20,,,27,135,
97,Malta,156,5,,,2,154,4
98,Ghana,152,,5,,2,145,1
99,Belarus,152,58,,,32,120,2
100,Uzbekistan,149,5,2,,7,140,8
101,Channel Islands,141,33,2,,,139,
102,Cameroon,139,,6,,5,128,
103,Honduras,139,29,3,,3,133,4
104,Venezuela,129,10,3,,39,87,6
105,Mauritius,128,21,3,,,125,1
106,Brunei,127,1,1,,38,88,3
107,Sri Lanka,122,5,2,1,15,105,5
108,Palestine,115,6,1,,18,96,
109,Nigeria,111,,1,,3,107,
110,Cambodia,107,4,,,21,86,1
111,Guadeloupe,106,,4,,17,85,10
112,Georgia,100,9,,,18,82,6
113,Bolivia,97,16,4,3,,93,3
114,Kyrgyzstan,94,10,,,3,91,
115,Martinique,93,,1,,,92,12
116,Montenegro,91,6,1,,,90,1
117,Trinidad and Tobago,82,4,3,,1,78,
118,Mayotte,82,19,,,10,72,3
119,DRC,81,,8,,2,71,
120,Rwanda,70,,,,,70,
121,Gibraltar,69,4,,,34,35,
122,Paraguay,64,5,3,,1,60,3
123,Liechtenstein,62,6,,,,62,
124,Kenya,50,8,1,,1,48,2
125,Aruba,50,,,,1,49,
126,Bangladesh,49,1,5,,19,25,1
127,Isle of Man,49,7,,,,49,
128,Monaco,46,,1,,1,44,
129,French Guiana,43,,,,6,37,
130,Madagascar,39,,,,,39,
131,Macao,38,1,,,10,28,
132,Guatemala,36,2,1,,10,25,1
133,Jamaica,36,4,1,,2,33,
134,French Polynesia,35,5,,,,35,2
135,Zambia,35,6,,,,35,
136,Barbados,33,,,,,33,
137,Uganda,33,,,,,33,
138,Togo,30,5,1,,1,28,
139,El Salvador,30,6,,,,30,5
140,Mali,25,7,2,1,,23,
