,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,81008,41,3255,7,71740,6013,1927
2,Italy,53578,"6,557",4825,793,6072,42681,2857
3,Spain,25374,"3,803",1378,285,2125,21871,1612
4,USA,22132,"2,749",282,26,147,21703,64
5,Germany,21854,"2,006",77,9,209,21568,2
6,Iran,20610,966,1556,123,7635,11419,
7,France,12612,,450,,1587,10575,1297
8,S. Korea,8799,147,102,8,2612,6085,59
9,Switzerland,6373,758,74,18,15,6284,141
10,UK,4094,111,180,3,65,3849,20
11,Netherlands,3631,637,136,30,2,3493,354
12,Austria,2847,198,8,2,9,2830,15
13,Belgium,2815,558,67,30,263,2485,288
14,Norway,2119,160,7,,1,2111,28
15,Sweden,1764,125,20,4,16,1728,69
16,Denmark,1326,71,13,4,1,1312,42
17,Portugal,1280,260,12,6,5,1263,26
18,Malaysia,1183,153,8,5,114,1061,26
19,Canada,1087,,13,1,14,1060,1
20,Australia,1072,144,7,,46,1019,2
21,Brazil,1021,51,18,7,2,1001,18
22,Japan,1007,,35,,215,757,55
23,Czechia,925,92,,,6,919,7
24,Israel,883,178,1,,36,846,15
25,Pakistan,720,219,3,,13,704,
26,Diamond Princess,712,,8,,567,137,15
27,Ireland,683,,3,,5,675,6
28,Turkey,670,,9,,,661,
29,Luxembourg,670,186,8,3,6,656,3
30,Chile,537,103,,,8,529,7
31,Greece,530,35,13,3,19,498,20
32,Finland,521,71,1,1,10,510,2
33,Iceland,473,64,1,1,5,467,1
34,Qatar,470,,,,10,460,6
35,Poland,452,27,5,,13,434,3
36,Indonesia,450,81,38,6,20,392,
37,Singapore,432,47,2,2,140,290,14
38,Ecuador,426,,7,,3,416,2
39,Thailand,411,89,1,,44,366,7
40,Saudi Arabia,392,48,,,16,376,
41,Slovenia,383,42,1,,,382,12
42,Romania,367,59,,,52,315,14
43,India,329,80,5,,23,301,
44,Bahrain,309,11,1,,125,183,4
45,Philippines,307,77,19,1,13,275,1
46,Russia,306,53,1,,16,289,
47,Estonia,306,23,,,2,304,1
48,Egypt,285,,8,,42,235,
49,Hong Kong,273,17,4,,98,171,4
50,Peru,263,,4,,1,258,5
51,South Africa,240,38,,,2,238,
52,Iraq,214,6,17,,51,146,
53,Lebanon,206,29,4,,8,194,4
54,Croatia,206,76,1,,5,200,
