,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3694920,"51,649",255715,"3,474",1224558,2214647,49576
2,,,,,,,,
3,,,,,,,,
4,USA,1224570,"11,735",71148,"1,227",192177,961245,16168
5,,,,,,,,
6,Spain,250561,"2,260",25613,185,154718,70230,2254
7,,,,,,,,
8,Italy,213013,"1,075",29315,236,85231,98467,1427
9,UK,194990,"4,406",29427,693,N/A,165219,1559
10,France,169462,,25201,,51371,92890,3696
11,Germany,166490,338,6993,,135100,24397,1937
12,Russia,155370,"10,102",1451,95,19865,134054,2300
13,Turkey,129491,"1,832",3520,59,73285,52686,1338
14,Brazil,108620,354,7367,24,45815,55438,8318
15,Iran,99970,"1,323",6340,63,80475,13155,2685
16,China,82881,1,4633,,77853,395,29
17,Canada,61959,"1,187",4036,182,26650,31273,557
18,Belgium,50509,242,8016,92,12441,30052,646
19,,,,,,,,
20,Peru,47372,,1344,,14427,31601,694
21,India,46476,39,1571,5,12849,32056,
22,Netherlands,41087,317,5168,86,N/A,35669,644
23,Ecuador,31881,,1569,,3433,26879,159
24,Saudi Arabia,30251,"1,595",200,9,5431,24620,143
25,Switzerland,30009,28,1795,11,25200,3014,121
26,Portugal,25702,178,1074,11,1743,22885,134
27,Mexico,24905,"1,434",2271,117,15938,6696,378
28,Sweden,23216,495,2854,85,4074,16288,435
29,Pakistan,22049,"1,108",514,38,5801,15734,111
30,Chile,22016,"1,373",275,5,10710,11031,470
31,Ireland,21983,211,1339,20,13386,7258,93
32,Singapore,19410,632,18,,1519,17873,24
33,Belarus,18350,861,107,4,3771,14472,92
34,Qatar,17142,951,12,,1924,15206,72
35,Israel,16268,22,237,2,10223,5808,89
36,Austria,15650,29,606,6,13462,1582,104
37,UAE,15192,462,146,9,3153,11893,1
38,Japan,15078,,536,,4156,10386,328
39,Poland,14431,425,716,18,4280,9435,160
40,Romania,13837,325,841,23,5454,7542,244
41,Ukraine,12697,366,316,13,1875,10506,167
42,Indonesia,12071,484,872,8,2197,9002,
43,Bangladesh,10929,786,183,1,1403,9343,1
44,S. Korea,10804,3,254,2,9283,1267,55
45,Denmark,9821,151,503,10,7296,2022,49
46,Philippines,9684,199,637,14,1408,7639,31
47,Serbia,9677,120,200,3,1723,7754,51
48,Dominican Republic,8480,245,354,8,1905,6221,144
49,,,,,,,,
50,Colombia,7973,,358,,1807,5808,120
51,Norway,7928,24,215,1,32,7681,27
52,Czechia,7878,59,254,2,3999,3625,59
53,Panama,7387,190,203,3,726,6458,93
54,South Africa,7220,,138,,2746,4336,36
55,Egypt,7201,388,452,16,1730,5019,
56,Australia,6849,24,96,1,5889,864,27
57,Malaysia,6383,30,106,1,4567,1710,24
58,Kuwait,5804,526,40,,2032,3732,90
59,Finland,5412,85,246,6,3500,1666,48
60,Morocco,5219,166,181,2,1838,3200,1
61,Argentina,4887,,260,,1442,3185,157
62,Algeria,4838,190,470,5,2067,2301,22
63,Moldova,4363,115,136,4,1544,2683,237
64,Kazakhstan,4205,156,29,,1279,2897,40
65,Luxembourg,3840,12,96,,3412,332,22
66,Bahrain,3679,146,8,,1762,1909,1
67,Afghanistan,3224,330,95,5,421,2708,7
68,Hungary,3065,30,363,12,709,1993,55
69,Thailand,2988,1,54,,2747,187,61
70,Nigeria,2802,,93,,417,2292,4
71,Oman,2735,98,12,,858,1865,17
72,Ghana,2719,,18,,294,2407,4
73,Greece,2642,10,146,,1374,1122,35
74,Armenia,2619,112,40,1,1111,1468,10
75,Iraq,2431,85,102,4,1571,758,
76,Uzbekistan,2204,15,10,,1501,693,8
77,Croatia,2112,11,83,3,1560,469,14
78,Cameroon,2104,,64,,953,1087,12
79,Azerbaijan,2060,76,26,,1508,526,18
80,Bosnia and Herzegovina,1946,20,79,1,911,956,4
81,Iceland,1799,,10,,1733,56,
82,Estonia,1711,8,55,,261,1395,6
83,Guinea,1710,,9,,450,1251,
84,Bulgaria,1704,52,80,2,342,1282,37
85,Cuba,1685,17,69,,954,662,8
86,Bolivia,1681,87,82,6,174,1425,3
87,North Macedonia,1526,8,86,1,1013,427,21
88,New Zealand,1486,,20,,1302,164,
89,Slovenia,1445,6,98,1,244,1103,17
90,Ivory Coast,1432,,17,,693,722,
91,Lithuania,1423,4,46,,678,699,17
92,Slovakia,1421,8,25,,741,655,6
93,Senegal,1329,58,11,1,470,848,6
94,Honduras,1178,123,83,1,122,973,10
95,Djibouti,1120,4,2,,745,373,
96,Hong Kong,1041,,4,,920,117,1
97,Tunisia,1018,,43,,406,569,18
98,Latvia,896,,17,1,348,531,4
99,Cyprus,878,4,15,,296,567,15
100,Kyrgyzstan,843,13,11,1,600,232,13
101,Somalia,835,79,38,3,75,722,2
102,Albania,820,17,31,,570,219,7
103,Sudan,778,100,45,4,70,663,
104,Sri Lanka,771,20,9,1,213,549,1
105,Niger,755,,37,,534,184,
106,Andorra,751,1,46,1,514,191,16
107,Costa Rica,742,,6,,399,337,5
108,Lebanon,741,1,25,,206,510,43
109,Guatemala,730,27,19,2,79,632,5
110,,,,,,,,
111,Diamond Princess,712,,13,,645,54,4
112,DRC,705,23,34,,90,581,
113,Mayotte,686,,6,,352,328,6
114,Burkina Faso,672,,46,,545,81,
115,Uruguay,657,,17,,447,193,10
116,Mali,612,32,32,3,228,352,
117,Georgia,604,11,9,,240,355,6
118,San Marino,589,7,41,,92,456,5
119,El Salvador,587,32,13,,201,373,3
120,Maldives,573,32,1,,17,555,2
121,Channel Islands,544,,41,,406,97,
122,Kenya,535,45,24,,182,329,2
123,Malta,482,2,5,1,403,74,1
124,Tanzania,480,,16,,167,297,7
125,Jamaica,471,2,9,,49,413,2
126,Jordan,471,6,9,,375,87,5
127,Taiwan,438,,6,,334,98,
128,Paraguay,431,35,10,,135,286,7
129,Réunion,424,,,,300,124,2
130,Guinea-Bissau,413,,1,,19,393,
131,Gabon,367,,6,,93,268,1
132,Palestine,366,4,2,,127,237,
133,Venezuela,361,4,10,,158,193,1
134,Mauritius,332,,10,,319,3,3
135,Isle of Man,325,,23,,271,31,21
136,Montenegro,324,1,8,,253,63,2
137,Equatorial Guinea,315,,3,,13,299,
138,Tajikistan,293,63,5,2,,288,
139,Vietnam,271,,,,232,39,8
140,Rwanda,261,,,,128,133,
141,Congo,236,,10,,26,200,
142,Sierra Leone,199,21,11,2,43,145,
143,Faeroe Islands,187,,,,185,2,
144,Cabo Verde,186,11,2,,37,147,
145,Martinique,181,,14,,83,84,5
