,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,2712091,"80,306",190197,"6,131",744366,1777528,58675
2,,,,,,,,
3,,,,,,,,
4,USA,877672,"28,955",49736,"2,077",85047,742889,14994
5,,,,,,,,
6,Spain,213024,"4,635",22157,440,89250,101617,7705
7,Italy,189973,"2,646",25549,464,57576,106848,2267
8,France,158183,"2,239",21856,516,42088,94239,5053
9,Germany,151784,"1,136",5404,89,103300,43080,2908
10,UK,138078,"4,583",18738,638,N/A,118996,1559
11,,,,,,,,
12,Turkey,101790,"3,116",2491,115,18491,80808,1816
13,Iran,87026,"1,030",5481,90,64843,16702,3105
14,China,82798,10,4632,,77207,959,63
15,Russia,62773,"4,774",555,42,4891,57327,2300
16,Brazil,49492,"3,735",3313,407,26573,19606,8318
17,Belgium,42797,908,6490,228,9800,26507,993
18,Canada,42081,"1,891",2143,169,14748,25190,557
19,Netherlands,35729,887,4177,123,N/A,31302,1008
20,Switzerland,28496,228,1549,40,20600,6347,386
21,,,,,,,,
22,India,23039,"1,669",721,40,5012,17306,
23,Portugal,22353,371,820,35,1201,20332,204
24,Peru,20914,"1,664",572,42,7422,12920,396
25,Ireland,17607,936,794,25,9233,7580,147
26,Sweden,16755,751,2021,84,550,14184,533
27,Austria,15002,77,522,12,11694,2786,169
28,Israel,14803,305,192,3,5611,9000,139
29,Saudi Arabia,13930,"1,158",121,7,1925,11884,93
30,Japan,11950,,299,,1424,10227,241
31,Chile,11812,516,168,8,5804,5840,411
32,Ecuador,11183,333,560,23,1328,9295,141
33,Singapore,11178,"1,037",12,,924,10242,26
34,Pakistan,11057,981,235,23,2337,8485,60
35,S. Korea,10702,8,240,2,8411,2051,55
36,Mexico,10544,"1,043",970,113,2627,6947,378
37,Poland,10511,342,454,28,1740,8317,160
38,Romania,10096,386,545,21,2478,7073,236
39,UAE,8756,518,56,4,1637,7063,1
40,,,,,,,,
41,Denmark,8073,161,394,10,5384,2295,74
42,Belarus,8022,741,60,2,938,7024,92
43,Indonesia,7775,357,647,12,960,6168,
44,Qatar,7764,623,10,,750,7004,72
45,Norway,7361,23,193,6,32,7136,50
46,Serbia,7276,162,139,5,1063,6074,96
47,Ukraine,7170,578,187,13,504,6479,45
48,Czechia,7138,6,210,2,2152,4776,76
49,Philippines,6981,271,462,16,722,5797,1
50,Australia,6661,12,75,1,5045,1541,45
51,Malaysia,5603,71,95,2,3542,1966,42
52,Dominican Republic,5543,243,265,5,581,4697,135
53,Panama,4992,171,144,3,255,4593,97
54,Colombia,4561,205,215,9,927,3419,98
55,Finland,4284,155,172,23,2000,2112,60
56,Bangladesh,4186,414,127,7,108,3951,1
57,South Africa,3953,318,75,10,1473,2405,36
58,Egypt,3891,232,287,11,1004,2600,
59,Luxembourg,3665,11,83,3,728,2854,27
60,Morocco,3568,122,155,6,456,2957,1
61,Argentina,3288,,159,,919,2210,123
62,Algeria,3007,97,407,5,1355,1245,40
63,Moldova,2926,148,80,5,661,2185,212
64,Thailand,2839,13,50,1,2430,359,61
65,Greece,2463,55,125,4,577,1761,52
66,Kuwait,2399,151,14,1,498,1887,55
67,Kazakhstan,2289,154,20,1,560,1709,29
68,Hungary,2284,116,239,14,390,1655,61
69,Bahrain,2217,190,8,1,1082,1127,2
70,Croatia,1981,31,50,2,883,1048,19
71,Iceland,1789,4,10,,1509,270,5
72,Uzbekistan,1758,42,7,,561,1190,8
73,Oman,1716,102,9,1,307,1400,3
74,Iraq,1677,46,83,,1171,423,
75,Estonia,1592,33,45,1,192,1355,7
76,Azerbaijan,1548,30,20,,948,580,14
77,Armenia,1523,50,24,,659,840,10
78,New Zealand,1451,3,16,2,1065,370,2
79,Bosnia and Herzegovina,1413,45,54,1,485,874,4
80,Lithuania,1398,28,40,2,399,959,17
81,Slovenia,1366,13,79,,211,1076,23
82,Cameroon,1334,171,43,,668,623,33
