,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,1318229,"45,367",72766,"3,341",276187,969276,46250
2,USA,352083,"15,410",10366,750,19247,322470,8830
3,Spain,135032,"3,386",13169,528,40437,81426,6931
4,Italy,132547,"3,599",16523,636,22837,93187,3898
5,Germany,101178,"1,055",1612,28,28700,70866,3936
6,France,92839,,8078,,16183,68578,6838
7,China,81708,39,3331,2,77078,1299,265
8,Iran,60500,"2,274",3739,136,24236,32525,4083
9,UK,51608,"3,802",5373,439,135,46100,1559
10,Turkey,30217,"3,148",649,75,1326,28242,1415
11,Switzerland,21652,552,762,47,8056,12834,391
12,Belgium,20814,"1,123",1632,185,3986,15196,1257
13,Netherlands,18803,952,1867,101,250,16686,1409
14,Canada,15853,341,293,13,3128,12432,426
15,Austria,12280,229,220,16,3463,8597,250
16,Portugal,11730,452,311,16,140,11279,270
17,Brazil,11516,262,506,20,127,10883,296
18,S. Korea,10284,47,186,3,6598,3500,55
19,Israel,8611,181,56,7,585,7970,141
20,Sweden,7206,376,477,76,205,6524,590
21,Russia,6343,954,47,2,406,5890,8
22,Australia,5795,45,41,4,2432,3322,96
23,Norway,5760,73,74,3,32,5654,83
24,Ireland,5364,370,174,16,25,5165,165
25,Chile,4815,344,37,3,728,4050,327
26,Czechia,4735,148,78,11,121,4536,84
27,India,4693,404,129,11,346,4218,
28,Denmark,4681,312,187,8,1378,3116,144
29,Poland,4413,311,107,13,162,4144,50
30,Romania,4057,193,168,17,406,3483,179
31,Malaysia,3793,131,62,1,1241,2490,102
32,Ecuador,3747,101,191,11,100,3456,156
33,Pakistan,3662,505,52,5,259,3351,17
34,Philippines,3660,414,163,11,73,3424,1
35,Japan,3654,,85,,575,2994,69
36,Luxembourg,2843,39,41,5,500,2302,33
37,Saudi Arabia,2523,121,38,4,551,1934,41
38,Indonesia,2491,218,209,11,192,2090,
39,Peru,2281,,83,,989,1209,81
40,Thailand,2220,51,26,3,793,1401,23
41,Serbia,2200,292,58,7,54,2088,101
42,Finland,2176,249,27,-1,300,1849,81
43,Mexico,2143,253,94,15,633,1416,293
44,UAE,2076,277,11,1,167,1898,1
45,Panama,1988,187,54,8,13,1921,78
46,Qatar,1832,228,4,,131,1697,37
47,Dominican Republic,1828,83,86,4,33,1709,147
48,Greece,1755,20,79,6,269,1407,90
49,South Africa,1655,,11,,95,1549,7
50,Iceland,1562,76,6,2,460,1096,11
51,Argentina,1554,,48,2,325,1181,94
52,Colombia,1485,,35,,88,1362,50
53,Algeria,1423,103,173,21,90,1160,46
54,Singapore,1375,66,6,,344,1025,25
55,Ukraine,1319,11,38,1,28,1253,16
56,Croatia,1222,40,16,1,130,1076,36
57,Egypt,1173,,78,,247,848,
58,Morocco,1113,92,71,1,76,966,1
59,Estonia,1108,11,19,4,62,1027,14
60,New Zealand,1106,67,1,,176,929,3
61,Iraq,1031,70,64,3,344,623,
62,Slovenia,1021,24,30,2,102,889,30
63,Moldova,965,101,19,4,37,909,80
64,Hong Kong,915,24,4,,216,695,12
65,Lithuania,843,32,14,1,8,821,11
66,Armenia,833,11,8,1,62,763,30
67,Hungary,744,11,38,4,67,639,17
68,Bahrain,723,23,4,,451,268,4
69,Diamond Princess,712,,11,,619,82,10
70,Belarus,700,138,13,5,53,634,11
71,Bosnia and Herzegovina,674,20,29,6,47,598,4
72,Kuwait,665,109,1,,103,561,20
73,Cameroon,658,8,9,,17,632,
74,Kazakhstan,651,67,6,,45,600,16
75,Azerbaijan,641,57,7,,44,590,11
76,Tunisia,574,,22,,5,547,39
77,North Macedonia,570,15,21,3,30,519,15
78,Bulgaria,549,18,22,2,39,488,26
79,Latvia,542,9,1,,16,525,5
80,Lebanon,541,14,19,1,60,462,27
81,Slovakia,534,49,2,1,8,524,3
82,Andorra,501,,18,,26,457,12
83,Cyprus,465,19,9,,45,411,11
84,Costa Rica,454,,2,,16,436,14
85,Uruguay,406,,6,,104,296,14
86,Uzbekistan,397,55,2,,30,365,8
87,Albania,377,16,21,1,116,240,7
88,Taiwan,373,10,5,,57,311,
89,Afghanistan,367,18,7,,18,342,
90,Cuba,350,30,9,1,18,323,11
91,Réunion,349,5,,,40,309,4
92,Burkina Faso,345,,17,,90,238,
93,Jordan,345,,5,,110,230,5
94,Oman,331,33,2,,61,268,3
95,Channel Islands,309,,7,1,27,275,
96,Honduras,298,30,22,,6,270,10
97,San Marino,266,,32,,35,199,14
98,Ivory Coast,261,,3,,37,221,
99,Palestine,253,16,1,,25,227,
100,Vietnam,245,4,,,95,150,8
101,Mauritius,244,17,7,,7,230,2
102,Malta,241,14,,,5,236,3
103,Montenegro,233,19,2,,1,230,4
104,Nigeria,232,,5,,33,194,2
105,Senegal,226,4,2,,92,132,1
106,Kyrgyzstan,216,69,4,3,33,179,5
107,Ghana,214,,5,,31,178,2
108,Georgia,188,14,2,,39,147,6
109,Niger,184,,10,,13,161,
110,Bolivia,183,26,11,1,2,170,3
111,Faeroe Islands,183,2,,,107,76,1
112,Sri Lanka,178,2,5,,38,135,5
113,DRC,161,7,18,,5,138,
114,Venezuela,159,,7,,52,100,6
115,Kenya,158,16,6,2,4,148,2
116,Martinique,149,,4,,50,95,21
117,Mayotte,147,,2,,14,131,3
118,Isle of Man,139,12,1,,55,83,
119,Guadeloupe,135,,7,,31,97,14
120,Brunei,135,,1,,82,52,3
121,Bangladesh,123,35,12,3,33,78,1
122,Guinea,121,,,,5,116,
123,Cambodia,114,,,,53,61,1
124,Paraguay,113,9,5,2,12,96,8
125,Gibraltar,109,6,,,52,57,
126,Trinidad and Tobago,105,1,8,1,1,96,
127,Rwanda,104,,,,4,100,
128,Liechtenstein,77,,1,,55,21,
129,Monaco,73,,1,,3,69,4
130,Madagascar,72,,,,2,70,6
131,Guatemala,70,,3,,15,52,3
132,El Salvador,69,7,3,,2,64,4
133,French Guiana,68,,,,27,41,1
134,Aruba,64,,,,1,63,
135,Djibouti,59,,,,9,50,
136,Jamaica,58,,3,,8,47,
137,Barbados,56,,1,,6,49,4
138,Togo,52,8,3,,22,27,
139,Uganda,52,,,,,52,
140,Mali,47,2,5,,1,41,
141,Congo,45,,5,,2,38,
142,Ethiopia,44,1,2,,4,38,1
143,Macao,44,,,,10,34,
144,French Polynesia,41,,,,,41,
145,Cayman Islands,39,,1,,1,37,
146,Zambia,39,,1,,3,35,
147,Sint Maarten,37,12,6,2,1,30,
148,Bermuda,37,,,,14,23,
149,Saint Martin,32,,2,,7,23,6
150,Bahamas,29,,5,,4,20,1
151,Guyana,29,5,4,,,25,
152,Eritrea,29,,,,,29,
153,Gabon,24,3,1,,1,22,
154,Haiti,24,3,1,,,23,
155,Tanzania,24,2,1,,3,20,
156,Benin,23,1,1,1,5,17,
157,Myanmar,22,1,1,,,21,
158,Syria,19,,2,,2,15,
159,Maldives,19,,,,13,6,
160,Libya,18,,1,,,17,
161,Guinea-Bissau,18,,,,,18,
162,New Caledonia,18,,,,1,17,
163,Equatorial Guinea,16,,,,1,15,
164,Namibia,16,,,,3,13,
165,Antigua and Barbuda,15,,,,,15,1
166,Mongolia,15,1,,,2,13,
167,Angola,14,,2,,2,10,
168,Dominica,14,,,,,14,
169,Fiji,14,2,,,,14,
170,Saint Lucia,14,,,,1,13,
171,Liberia,13,,3,,3,7,
172,Curaçao,13,2,1,,5,7,
173,Sudan,12,,2,,2,8,
174,Grenada,12,,,,,12,2
175,Laos,12,1,,,,12,
176,Greenland,11,,,,4,7,
177,Seychelles,11,1,,,,11,
178,Suriname,10,,1,,,9,
179,Mozambique,10,,,,1,9,
180,Saint Kitts and Nevis,10,,,,,10,
181,Eswatini,10,1,,,,10,
182,MS Zaandam,9,,2,,,7,
183,Zimbabwe,9,,1,,,8,
184,Nepal,9,,,,1,8,
185,Chad,9,,,,,9,
186,CAR,8,,,,,8,
187,Belize,7,2,1,1,,6,1
188,Cabo Verde,7,,1,,1,5,
189,Vatican City,7,,,,,7,
190,St. Vincent Grenadines,7,,,,1,6,
191,Somalia,7,,,,1,6,
192,Botswana,6,,1,,,5,
193,Mauritania,6,,1,,2,3,
194,Nicaragua,6,,1,,,5,
195,Montserrat,6,,,,,6,
196,St. Barth,6,,,,1,5,
197,Sierra Leone,6,,,,,6,
198,Turks and Caicos,5,,1,,,4,
199,Bhutan,5,,,,2,3,
200,Malawi,5,1,,,,5,1
201,Gambia,4,,1,,2,1,
202,Sao Tome and Principe,4,4,,,,4,
203,Western Sahara,4,,,,,4,
204,Anguilla,3,,,,,3,
205,British Virgin Islands,3,,,,,3,
206,Burundi,3,,,,,3,
207,Caribbean Netherlands,2,,,,,2,
208,Falkland Islands,2,,,,,2,
209,Papua New Guinea,2,1,,,,2,
210,Saint Pierre Miquelon,1,,,,,1,
211,South Sudan,1,,,,,1,
212,Timor-Leste,1,,,,,1,
