,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3971955,"58,311",273823,"3,397",1370810,2327322,48864
2,,,,,,,,
3,,,,,,,,
4,USA,1299912,"7,289",77562,634,219485,1002865,17020
5,,,,,,,,
6,,,,,,,,
7,Spain,260117,"3,262",26299,229,168408,65410,2075
8,Italy,217185,"1,327",30201,243,99023,87961,1168
9,UK,211364,"4,649",31241,626,N/A,179779,1559
10,Russia,187859,"10,699",1723,98,26608,159528,2300
11,France,174791,,25987,,55027,93777,2961
12,Germany,169430,,7392,,141700,20338,1823
13,Brazil,140023,"4,330",9600,412,55350,75073,8318
14,Turkey,135569,"1,848",3689,48,86396,45484,1219
15,Iran,104691,"1,556",6541,55,83837,14313,2711
16,China,82886,1,4633,,77993,260,18
17,Canada,65400,478,4473,65,29682,31245,502
18,India,59205,"2,854",1980,91,17698,39527,
19,Peru,58526,,1627,,18388,38511,722
20,,,,,,,,
21,Belgium,52011,591,8521,106,13201,30289,508
22,Netherlands,42093,319,5359,71,N/A,36484,564
23,Saudi Arabia,35432,"1,701",229,10,9120,26083,145
24,Ecuador,30298,,1654,,3433,25211,156
25,Switzerland,30207,81,1810,,25900,2497,121
26,Mexico,29616,"1,982",2961,257,17781,8874,378
27,Portugal,27268,553,1114,9,2422,23732,127
28,Pakistan,26435,"1,791",599,14,7530,18306,111
29,Chile,25972,"1,391",294,9,12160,13518,429
30,Sweden,25265,642,3175,135,4971,17119,425
31,Ireland,22541,156,1429,26,17110,4002,93
32,Singapore,21707,768,20,,2040,19647,22
33,Belarus,21101,933,121,5,5484,15496,92
34,Qatar,20201,"1,311",12,,2370,17819,72
35,UAE,16793,553,174,9,3837,12782,1
36,Israel,16409,28,245,5,11007,5157,77
37,Austria,15774,22,614,5,13836,1324,81
38,Japan,15477,,577,,4918,9982,308
39,Poland,15366,319,776,21,5184,9406,160
40,Romania,14811,312,923,35,6423,7465,232
41,Ukraine,14195,504,361,21,2706,11128,178
42,Bangladesh,13134,709,206,7,2101,10827,1
43,Indonesia,13112,336,943,13,2494,9675,
44,S. Korea,10822,12,256,,9484,1082,55
45,Philippines,10463,120,696,11,1734,8033,31
46,Denmark,10218,135,522,8,7927,1769,43
47,Serbia,9943,95,209,3,2453,7281,45
48,Colombia,9456,,407,,2300,6749,129
