,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,2129343,"42,912",142707,"4,088",539000,1447636,57237
2,,,,,,,,
3,,,,,,,,
4,USA,654343,"6,195",33490,902,56618,564235,13369
5,,,,,,,,
6,Spain,182816,"2,157",19130,318,74797,88889,7371
7,Italy,168941,"3,786",22170,525,40164,106607,2936
8,France,147863,,17167,,30955,99741,6457
9,Germany,135663,910,3867,63,77000,54796,4288
10,UK,103093,"4,617",13729,861,N/A,89020,1559
11,China,82341,46,3342,,77892,1107,95
12,Iran,77995,"1,606",4869,92,52229,20897,3594
13,Turkey,74193,"4,801",1643,125,7089,65461,1854
14,,,,,,,,
15,Belgium,34809,"1,236",4857,417,7562,22390,1182
16,Netherlands,29214,"1,061",3315,181,250,25649,1279
17,Brazil,29165,555,1764,7,14026,13375,6634
18,Canada,28923,544,1048,38,9271,18604,557
19,Russia,27938,"3,448",232,34,2304,25402,8
20,Switzerland,26732,396,1281,42,15400,10051,386
21,Portugal,18841,750,629,30,493,17719,229
22,,,,,,,,
23,Austria,14462,112,393,,8986,5083,232
24,India,12759,389,423,1,1514,10822,
25,Israel,12591,90,140,10,2624,9827,174
26,Ireland,12547,,444,,77,12026,158
27,Sweden,12540,613,1333,130,550,10657,996
28,Peru,11475,,254,,3108,8113,146
29,S. Korea,10613,22,229,4,7757,2627,55
30,Chile,8807,534,105,11,3299,5403,384
31,Japan,8626,,178,,901,7547,168
32,Ecuador,8225,367,403,15,838,6984,168
33,,,,,,,,
34,Poland,7918,336,314,28,774,6830,160
35,Romania,7707,491,392,20,1357,5958,243
36,Pakistan,6919,536,128,17,1645,5146,46
37,Denmark,6879,198,321,12,3023,3535,92
38,Norway,6848,51,152,2,32,6664,64
39,Australia,6468,21,63,,3747,2658,66
40,Saudi Arabia,6380,518,83,4,990,5307,71
41,Czechia,6359,58,169,3,972,5218,75
42,Mexico,5847,448,449,43,2125,3273,207
43,Philippines,5660,207,362,13,435,4863,1
44,Indonesia,5516,380,496,27,548,4472,
45,UAE,5365,,33,,1034,4298,1
46,Serbia,5318,445,103,4,443,4772,120
47,Malaysia,5182,110,84,1,2766,2332,56
48,Singapore,4427,728,10,,683,3734,29
49,Belarus,4204,476,40,4,203,3961,65
50,Ukraine,4161,397,116,8,186,3859,45
51,Qatar,4103,392,7,,415,3681,37
52,Dominican Republic,3755,141,196,7,215,3344,121
53,Panama,3751,,103,,75,3573,106
54,Luxembourg,3444,71,69,,526,2849,35
55,Finland,3369,132,75,3,1700,1594,76
56,Colombia,3105,,131,,452,2522,106
57,Thailand,2672,29,46,3,1593,1033,61
58,Argentina,2571,,115,3,631,1825,121
59,South Africa,2506,,34,,410,2062,7
60,Egypt,2505,,183,,589,1733,
61,Algeria,2268,108,348,12,783,1137,60
62,Morocco,2251,227,128,1,247,1876,1
63,Greece,2207,15,105,3,269,1833,69
64,Moldova,2154,105,53,7,235,1866,80
65,Croatia,1791,50,35,2,529,1227,31
66,Iceland,1727,,8,,1077,642,8
67,Bahrain,1700,29,7,,703,990,3
68,Hungary,1652,73,142,8,199,1311,60
69,Bangladesh,1572,341,60,10,49,1463,1
70,Kuwait,1524,119,3,,225,1296,32
71,Iraq,1434,19,80,1,856,498,
72,Estonia,1434,34,36,1,133,1265,10
73,New Zealand,1401,15,9,,770,622,3
74,Kazakhstan,1362,67,17,1,277,1068,22
75,Uzbekistan,1349,47,4,,129,1216,8
76,Azerbaijan,1283,30,15,2,460,808,28
77,Slovenia,1268,20,61,,174,1033,31
78,Bosnia and Herzegovina,1167,57,43,2,277,847,4
79,Armenia,1159,48,18,1,358,783,30
80,Lithuania,1128,37,32,2,178,918,14
81,North Macedonia,1081,107,46,1,121,914,15
82,Oman,1019,109,4,,176,839,3
83,Hong Kong,1018,1,4,,485,529,9
84,Slovakia,977,114,8,2,167,802,5
85,Cuba,862,48,27,3,171,664,16
86,Cameroon,848,,17,,165,666,
87,Afghanistan,840,56,30,5,54,756,
88,Bulgaria,800,53,38,2,122,640,37
89,Tunisia,780,,35,,43,702,89
90,Cyprus,735,20,12,,65,658,8
91,,,,,,,,
92,Diamond Princess,712,,12,,644,56,7
93,Latvia,675,9,5,,57,613,3
94,Andorra,673,,33,,169,471,17
95,Lebanon,663,5,21,,85,557,30
96,Ivory Coast,654,,6,,146,502,
97,Ghana,641,,8,,83,550,2
98,Costa Rica,626,,4,,67,555,11
99,Djibouti,591,156,2,,73,516,
100,Niger,584,,14,,90,480,
101,Burkina Faso,542,,32,,226,284,
102,Albania,518,24,26,1,277,215,5
103,Uruguay,493,,9,,272,212,13
104,Kyrgyzstan,466,17,5,,91,370,5
105,Channel Islands,447,,15,,69,363,
106,Bolivia,441,44,29,1,14,398,3
107,Guinea,438,34,1,,49,388,
108,San Marino,426,33,38,2,55,333,15
109,Honduras,426,7,35,4,9,382,10
110,Malta,412,13,3,,82,327,4
111,Nigeria,407,,12,,128,267,2
112,Jordan,401,,7,,250,144,5
113,Taiwan,395,,6,,155,234,
114,Réunion,391,,,,237,154,3
115,Palestine,374,,2,,63,309,
116,Georgia,340,34,3,,76,261,6
117,Senegal,335,21,2,,194,139,1
118,Mauritius,324,,9,,81,234,3
119,Montenegro,294,6,4,,55,235,7
120,Isle of Man,283,27,4,,153,126,13
121,Vietnam,268,,,,177,91,8
122,DRC,267,13,22,1,23,222,
123,Sri Lanka,238,,7,,68,163,1
124,Kenya,234,9,11,1,53,170,2
125,Mayotte,233,16,3,,69,161,3
126,Venezuela,197,,9,,111,77,6
127,Guatemala,196,16,5,,19,172,3
128,Faeroe Islands,184,,,,169,15,
129,Paraguay,174,13,8,,30,136,1
130,El Salvador,164,5,6,,33,125,2
131,Martinique,158,,8,,73,77,17
132,Mali,148,,13,,34,101,
133,Guadeloupe,145,,8,,67,70,13
134,Brunei,136,,1,,108,27,2
135,Rwanda,136,,,,54,82,
136,Gibraltar,131,,,,104,27,1
137,Jamaica,125,,5,,21,99,
138,Cambodia,122,,,,98,24,1
139,Congo,117,,5,,11,101,
140,Trinidad and Tobago,114,,8,,20,86,
141,Madagascar,111,1,,,33,78,1
142,Tanzania,94,6,4,,11,79,
143,Monaco,93,,3,,12,78,2
144,Aruba,93,,1,,39,53,1
145,Ethiopia,92,7,3,,15,74,1
146,French Guiana,86,,,,51,35,1
147,Myanmar,85,11,4,,2,79,
148,Bermuda,81,,5,,33,43,3
149,Togo,81,,5,2,45,31,
150,Somalia,80,,5,,2,73,2
151,Gabon,80,,1,,4,75,
152,Liechtenstein,79,,1,,55,23,
153,Barbados,75,2,5,,15,55,4
154,Cayman Islands,60,,1,,6,53,3
155,Liberia,59,,6,,4,49,
156,Sint Maarten,57,4,9,,12,36,6
157,Cabo Verde,56,,1,,1,54,
158,Guyana,55,,6,,8,41,5
159,French Polynesia,55,,,,,55,1
160,Uganda,55,,,,12,43,
161,Bahamas,53,,8,,6,39,1
162,Equatorial Guinea,51,,,,4,47,
163,Zambia,48,,2,,30,16,1
164,Libya,48,,1,,11,36,
165,Macao,45,,,,16,29,1
166,Guinea-Bissau,43,,,,,43,
167,Haiti,41,,3,,,38,
168,Saint Martin,35,,2,,13,20,5
169,Benin,35,,1,,18,16,
170,Eritrea,35,,,,,35,
171,Syria,33,,2,,5,26,
172,Sudan,32,,5,,4,23,
173,Mongolia,31,1,,,5,26,
174,Mozambique,31,2,,,2,29,
175,Chad,27,4,,,5,22,
176,Antigua and Barbuda,23,,3,1,3,17,1
177,Zimbabwe,23,,3,,1,19,
178,Maldives,23,1,,,16,7,
179,Angola,19,,2,,5,12,
180,Laos,19,,,,2,17,
181,Belize,18,,2,,,16,1
182,New Caledonia,18,,,,1,17,1
183,Timor-Leste,18,10,,,1,17,
184,Fiji,17,1,,,,17,
185,Malawi,16,,2,,,14,1
186,Eswatini,16,1,1,1,8,7,
187,Nepal,16,,,,2,14,
188,Dominica,16,,,,8,8,
189,Namibia,16,,,,4,12,
190,Botswana,15,2,1,,,14,
191,Saint Lucia,15,,,,11,4,
192,Sierra Leone,15,2,,,,15,
193,Curaçao,14,,1,,10,3,
194,Grenada,14,,,,,14,2
195,Saint Kitts and Nevis,14,,,,,14,
196,CAR,12,,,,4,8,
197,St. Vincent Grenadines,12,,,,1,11,
198,Turks and Caicos,11,1,1,,,10,
199,Falkland Islands,11,,,,1,10,
200,Greenland,11,,,,11,0,
201,Montserrat,11,,,,1,10,1
202,Seychelles,11,,,,,11,
203,Suriname,10,,1,,6,3,
204,MS Zaandam,9,,2,,,7,
205,Gambia,9,,1,,2,6,
206,Nicaragua,9,,1,,4,4,
207,Vatican City,8,,,,2,6,
208,Mauritania,7,,1,,2,4,
209,Papua New Guinea,7,5,,,,7,
210,St. Barth,6,,,,4,2,
211,Western Sahara,6,,,,,6,
212,Burundi,5,,1,,,4,
213,Bhutan,5,,,,2,3,
214,Sao Tome and Principe,4,,,,,4,
215,South Sudan,4,,,,,4,
216,Anguilla,3,,,,1,2,
217,British Virgin Islands,3,,,,2,1,
218,Caribbean Netherlands,3,,,,,3,
219,Saint Pierre Miquelon,1,,,,,1,
220,Yemen,1,,,,,1,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
