,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,645606,"49,294",29971,"2,629",139552,476083,24730
2,USA,116057,"11,931",1937,241,3224,110896,2666
3,Italy,92472,"5,974",10023,889,12384,70065,3856
4,China,81394,54,3295,3,74971,3128,886
5,Spain,72248,"6,529",5812,674,12285,54151,4165
6,Germany,56202,"5,331",403,52,6658,49141,1581
7,Iran,35408,"3,076",2517,139,11679,21212,3206
8,France,32964,,1995,,5700,25269,3787
9,UK,17089,"2,546",1019,260,135,15935,163
10,Switzerland,13377,449,242,11,1530,11605,280
11,Netherlands,9762,"1,159",639,93,3,9120,761
12,S. Korea,9478,146,144,5,4811,4523,59
13,Belgium,9134,"1,850",353,64,1063,7718,789
14,Austria,8122,425,68,10,225,7829,128
15,Turkey,7402,"1,704",108,16,42,7252,309
16,Canada,5434,677,55,,354,5025,120
17,Portugal,5170,902,100,24,43,5027,89
18,Norway,3977,206,20,1,7,3950,76
19,Australia,3635,257,14,1,170,3451,23
20,Brazil,3477,60,93,1,6,3378,296
21,Israel,3460,425,12,,89,3359,50
22,Sweden,3447,378,105,,16,3326,239
23,Czechia,2541,262,11,2,11,2519,250
24,Ireland,2415,294,36,14,5,2374,59
25,Malaysia,2320,159,27,1,320,1973,54
26,Denmark,2201,155,65,13,1,2135,109
27,Chile,1909,299,6,1,61,1842,7
28,Luxembourg,1831,226,18,3,40,1773,25
29,Ecuador,1823,196,48,7,3,1772,58
30,Japan,1499,,49,,404,1046,56
31,Poland,1481,92,17,1,7,1457,3
32,Romania,1452,160,30,4,139,1283,34
33,Pakistan,1420,47,12,1,29,1379,7
34,Russia,1264,228,4,,49,1211,8
35,Thailand,1245,109,6,1,97,1142,11
36,Saudi Arabia,1203,99,4,1,37,1162,6
37,South Africa,1170,,2,,31,1137,7
38,Finland,1167,126,9,2,10,1148,32
39,Indonesia,1155,109,102,15,59,994,
40,Philippines,1075,272,68,14,35,972,1
41,Greece,1061,95,32,4,52,977,66
42,Iceland,963,73,2,,114,847,18
43,India,933,46,20,,84,829,
44,Singapore,802,70,2,,198,602,19
45,Panama,786,,14,,2,770,20
46,Dominican Republic,719,138,28,8,3,688,
47,Mexico,717,132,12,4,4,701,1
48,Diamond Princess,712,,10,,597,105,15
49,Argentina,690,101,17,4,72,601,
50,Slovenia,684,52,9,,10,665,25
51,Peru,671,36,16,5,16,639,33
52,Serbia,659,131,10,2,42,607,25
53,Croatia,657,71,5,2,45,607,14
54,Estonia,645,70,1,,20,624,10
55,Colombia,608,69,6,,10,592,
56,Qatar,590,28,1,1,45,544,6
57,Egypt,576,40,36,6,121,419,
58,Hong Kong,560,41,4,,112,444,5
59,Iraq,506,48,42,2,131,333,
60,Bahrain,476,10,4,,265,207,1
61,UAE,468,63,2,,52,414,2
62,Algeria,454,45,29,3,29,396,
63,New Zealand,451,83,,,50,401,2
64,Lebanon,412,21,8,,27,377,3
65,Armenia,407,78,1,,30,376,6
66,Lithuania,382,24,5,,1,376,2
67,Morocco,359,14,24,1,11,324,1
68,Hungary,343,43,11,1,34,298,6
69,Bulgaria,331,38,6,3,11,314,8
70,Ukraine,311,1,8,3,5,298,
71,Andorra,308,41,3,,1,304,10
72,Latvia,305,25,,,1,304,3
73,Slovakia,292,23,,,2,290,1
74,Taiwan,283,16,2,,30,251,
75,Uruguay,274,36,,,,274,8
76,Costa Rica,263,,2,,3,258,5
77,Bosnia and Herzegovina,258,21,5,1,5,248,1
78,Jordan,246,11,1,,18,227,3
79,North Macedonia,241,22,4,1,3,234,1
80,Kuwait,235,10,,,64,171,11
81,Moldova,231,32,2,,2,227,33
82,Kazakhstan,228,78,1,,16,211,
83,Tunisia,227,,7,,2,218,10
84,San Marino,223,,21,,6,196,15
85,Burkina Faso,207,27,11,2,21,175,
86,Albania,197,11,10,2,31,156,3
87,Azerbaijan,182,17,4,1,15,163,23
88,Cyprus,179,17,5,,15,159,3
89,Vietnam,174,11,,,21,153,3
90,Faeroe Islands,155,11,,,54,101,2
91,Oman,152,21,,,23,129,
92,Malta,149,10,,,2,147,1
93,Réunion,145,,,,1,144,
94,Ghana,141,4,5,1,2,134,1
95,Senegal,130,11,,,18,112,
96,Brunei,120,5,1,1,25,94,1
97,Cuba,119,39,3,1,4,112,2
98,Venezuela,113,,2,,39,72,2
99,Sri Lanka,113,7,1,1,9,103,5
100,Afghanistan,110,,4,,2,104,
101,Uzbekistan,104,16,2,1,5,97,8
102,Mauritius,102,8,2,,,100,1
103,Ivory Coast,101,,,,3,98,
104,Cambodia,99,,,,13,86,1
105,Palestine,97,6,1,,18,78,
106,Guadeloupe,96,23,2,1,17,77,4
107,Honduras,95,27,1,,3,91,4
108,Belarus,94,,,,32,62,2
109,Martinique,93,,1,,,92,12
110,Cameroon,91,,2,,2,87,
111,Georgia,90,7,,,14,76,1
112,Nigeria,89,19,1,,3,85,
113,Channel Islands,88,,1,,,87,
114,Montenegro,82,,1,,,81,1
115,Trinidad and Tobago,74,8,2,,1,71,
116,Bolivia,74,13,,,,74,
117,Mayotte,63,13,,,,63,
118,DRC,58,7,6,3,2,50,
119,Kyrgyzstan,58,,,,,58,
120,Paraguay,56,4,3,,1,52,1
121,Gibraltar,56,1,,,14,42,
122,Liechtenstein,56,,,,,56,
123,Rwanda,54,,,,,54,
124,Bangladesh,48,,5,,15,28,1
125,Aruba,46,13,,,1,45,
126,Monaco,42,,,,1,41,
127,Kenya,38,7,1,,1,36,2
128,Macao,34,,,,10,24,
129,Guatemala,32,4,1,,4,27,1
130,Isle of Man,32,3,,,,32,
131,Jamaica,30,4,1,,2,27,
132,French Polynesia,30,,,,,30,
133,French Guiana,28,,,,6,22,
134,Zambia,28,6,,,,28,
135,Barbados,26,,,,,26,
136,Madagascar,26,,,,,26,
137,Togo,25,,1,,1,23,
138,Uganda,23,,,,,23,
139,El Salvador,19,6,,,,19,
140,Mali,18,7,,,,18,
141,Bermuda,17,,,,2,15,
142,Ethiopia,16,,,,1,15,
143,Maldives,16,,,,9,7,
144,New Caledonia,15,,,,,15,
145,Tanzania,13,,,,1,12,
146,Djibouti,12,,,,,12,
147,Equatorial Guinea,12,,,,,12,
148,Mongolia,12,1,,,,12,
149,Dominica,11,,,,,11,
150,Saint Martin,11,,,,,11,
151,Niger,10,,1,,,9,
152,Bahamas,10,,,,1,9,
153,Greenland,10,,,,2,8,
154,Eswatini,9,,,,,9,
155,Cayman Islands,8,,1,,,7,
156,Curaçao,8,,1,,2,5,
157,Guinea,8,,,,,8,
158,Haiti,8,,,,,8,
159,Mozambique,8,1,,,,8,
160,Myanmar,8,,,,,8,
161,Namibia,8,,,,2,6,
162,Suriname,8,,,,,8,
163,Gabon,7,,1,,,6,
164,Zimbabwe,7,2,1,,,6,
165,Antigua and Barbuda,7,,,,,7,
166,Grenada,7,,,,,7,
