,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3788005,"63,487",261901,"3,874",1276265,2249839,48843
2,,,,,,,,
3,,,,,,,,
4,USA,1246462,"8,829",73234,963,203088,970140,16173
5,,,,,,,,
6,Spain,253682,"3,121",25857,244,159359,68466,2075
7,,,,,,,,
8,Italy,214457,"1,444",29684,369,93245,91528,1333
9,UK,201101,"6,111",30076,649,N/A,170681,1559
10,France,170551,,25531,,52736,92284,3430
11,Germany,167372,365,6993,,137400,22979,1884
12,Russia,165929,"10,559",1537,86,21327,143065,2300
13,Turkey,131744,"2,253",3584,64,78202,49958,1278
14,Brazil,121600,"6,885",8022,101,48221,65357,8318
15,Iran,101650,"1,680",6418,78,81587,13645,2735
16,China,82883,2,4633,,77911,339,26
17,Canada,63375,"1,329",4223,180,26993,32159,502
18,India,52559,"3,159",1785,92,15257,35517,
19,,,,,,,,
20,Peru,51189,,1444,,15413,34332,709
21,Belgium,50781,272,8339,323,12731,29711,646
22,Netherlands,41319,232,5204,36,N/A,35865,628
23,Saudi Arabia,31938,"1,687",209,9,6783,24946,143
24,Ecuador,31881,,1569,,3433,26879,159
25,Switzerland,30060,51,1795,,25400,2865,121
26,Portugal,26182,480,1089,15,2076,23017,136
27,Mexico,26025,"1,120",2507,236,16810,6708,378
28,Sweden,23918,702,2941,87,4074,16903,425
29,Pakistan,23214,"1,165",544,30,6281,16389,111
30,Chile,23048,"1,032",281,6,11189,11578,470
31,Ireland,22248,265,1375,36,13386,7487,93
32,Singapore,20198,788,20,2,1634,18544,23
33,Belarus,19255,905,112,5,4388,14755,92
34,Qatar,17972,830,12,,2070,15890,72
35,Israel,16314,25,238,,10527,5549,90
36,UAE,15738,546,157,11,3359,12222,1
37,Austria,15684,34,608,2,13639,1437,97
38,Japan,15253,,556,,4496,10201,308
39,Poland,14740,309,733,17,4655,9352,160
40,Romania,14107,270,864,23,5788,7455,244
41,Ukraine,13184,487,327,11,2097,10760,169
42,Indonesia,12438,367,895,23,2317,9226,
43,Bangladesh,11719,790,186,3,1403,10130,1
44,S. Korea,10806,2,255,1,9333,1218,55
45,Philippines,10004,320,658,21,1506,7840,31
46,Denmark,9938,117,506,3,7493,1939,46
47,Serbia,9791,114,203,3,1971,7617,48
48,Dominican Republic,8807,327,362,8,1905,6540,144
49,Colombia,8613,,378,,2013,6222,128
50,,,,,,,,
51,Norway,7976,21,216,1,32,7728,27
52,Czechia,7933,37,262,5,4202,3469,59
53,Egypt,7588,387,469,17,1815,5304,
54,South Africa,7572,,148,,2746,4678,36
55,Panama,7523,136,210,7,823,6490,88
56,Australia,6875,26,97,1,5984,794,27
57,Malaysia,6428,45,107,1,4702,1619,22
58,Kuwait,6289,485,42,2,2219,4028,88
59,Finland,5573,161,252,6,3500,1821,44
60,Morocco,5408,189,183,2,2017,3208,1
61,Argentina,5020,,264,,1524,3232,148
62,Algeria,4997,159,476,6,2197,2324,22
63,Moldova,4476,113,143,7,1658,2675,237
64,Kazakhstan,4344,139,30,1,1408,2906,31
65,Bahrain,3934,214,8,,1860,2066,4
66,Luxembourg,3851,11,98,2,3452,301,20
67,Afghanistan,3392,168,104,9,458,2830,7
68,Hungary,3111,46,373,10,759,1979,50
69,Thailand,2989,1,55,1,2761,173,61
70,Nigeria,2950,,98,,481,2371,4
71,Oman,2903,168,13,,888,2002,17
72,Armenia,2782,163,40,,1135,1607,10
73,Ghana,2719,,18,,294,2407,4
74,Greece,2663,21,147,1,1374,1142,36
75,Iraq,2480,49,102,,1602,776,
76,Cameroon,2265,161,64,,1000,1201,12
77,Uzbekistan,2231,24,10,,1577,644,8
78,Azerbaijan,2127,67,28,2,1536,563,18
79,Croatia,2119,7,85,2,1601,433,14
80,Bosnia and Herzegovina,1987,41,86,7,928,973,4
81,Guinea,1856,45,11,1,597,1248,
82,Bolivia,1802,121,86,4,187,1529,3
83,Iceland,1799,,10,,1750,39,
84,Bulgaria,1778,74,84,4,360,1334,38
85,Estonia,1713,2,55,,264,1394,4
86,Cuba,1703,18,69,,1001,633,8
87,North Macedonia,1539,13,88,2,1057,394,21
88,New Zealand,1488,2,21,1,1316,151,2
89,Ivory Coast,1464,,18,,701,745,
90,Slovenia,1448,3,99,1,246,1103,14
91,Senegal,1433,104,12,1,493,928,6
92,Slovakia,1429,8,25,,762,642,4
93,Lithuania,1428,5,48,2,718,662,17
94,Honduras,1270,92,93,10,122,1055,10
95,Djibouti,1120,,2,,745,373,
96,Hong Kong,1041,,4,,932,105,2
97,Tunisia,1022,,43,,482,497,17
98,Latvia,900,4,17,,464,419,3
99,Cyprus,883,5,15,,296,572,15
100,Somalia,873,38,39,1,87,747,2
101,Kyrgyzstan,871,28,12,1,614,245,13
102,Sudan,852,74,45,,80,727,
103,Albania,832,12,31,,595,206,7
104,DRC,797,92,35,1,92,670,
105,Sri Lanka,797,26,9,,215,573,1
106,Niger,763,,38,,543,182,
107,Guatemala,763,33,19,,79,665,5
108,Costa Rica,755,,6,,413,336,5
109,Andorra,751,,46,,521,184,15
110,Lebanon,750,9,25,,206,519,43
111,Mayotte,739,,9,,352,378,6
112,Burkina Faso,729,41,48,,555,126,
113,,,,,,,,
114,Diamond Princess,712,,13,,645,54,4
115,Uruguay,670,,17,,468,185,10
116,El Salvador,633,46,15,2,219,399,4
117,Mali,631,19,32,,261,338,
118,Maldives,618,45,2,,20,596,2
119,Georgia,610,6,9,,269,332,6
120,San Marino,608,19,41,,97,470,4
121,Kenya,582,47,26,2,190,366,1
122,Channel Islands,545,,40,,406,99,
123,Malta,484,2,5,,407,72,
124,Tanzania,480,,16,,167,297,7
125,Guinea-Bissau,475,62,2,1,24,449,
126,Jamaica,473,2,9,,56,408,
127,Jordan,473,2,9,,377,87,5
128,Paraguay,440,9,10,,142,288,9
129,Taiwan,439,1,6,,339,94,
130,Equatorial Guinea,439,124,4,1,13,422,
131,Réunion,425,1,,,300,125,2
132,Gabon,397,,6,,93,298,1
133,Tajikistan,379,86,8,3,,371,
134,Palestine,371,,2,,127,242,
135,Venezuela,367,6,10,,164,193,1
136,Mauritius,332,,10,,320,2,3
137,Isle of Man,326,,23,,271,32,19
138,Montenegro,324,,8,,261,55,2
139,Vietnam,271,,,,232,39,8
140,Congo,264,28,10,,30,224,
141,Rwanda,261,,,,129,132,
142,Sierra Leone,225,26,14,3,54,157,
143,Cabo Verde,191,5,2,,38,151,
144,Faeroe Islands,187,,,,185,2,
145,Martinique,182,1,14,,83,85,5
146,Liberia,178,8,20,,75,83,
147,Sao Tome and Principe,174,,3,,4,167,
148,Chad,170,,17,,43,110,
149,Ethiopia,162,17,4,,93,65,
150,Myanmar,161,,6,,50,105,
151,Madagascar,158,7,,,101,57,1
152,Guadeloupe,152,,13,1,104,35,4
153,Gibraltar,144,,,,133,11,
154,Zambia,139,1,4,1,92,43,1
155,Brunei,139,1,1,,131,7,2
156,French Guiana,138,5,1,,111,26,2
157,Togo,128,,9,,77,42,
158,Eswatini,123,4,2,1,12,109,
159,Cambodia,122,,,,120,2,1
160,Trinidad and Tobago,116,,8,,103,5,
161,Bermuda,115,,7,,54,54,4
162,Haiti,101,,12,,10,79,
163,Aruba,101,,2,,89,10,4
164,Nepal,99,17,,,22,77,
165,Uganda,98,,,,55,43,
166,Benin,96,,2,,50,44,
167,Monaco,95,,4,,81,10,1
168,CAR,94,9,,,10,84,
169,Guyana,93,1,10,1,27,56,3
170,Bahamas,89,,11,,26,52,1
171,Barbados,82,,7,,47,28,4
172,Liechtenstein,82,,1,,55,26,
173,Mozambique,81,,,,19,62,
174,Cayman Islands,78,3,1,,30,47,3
175,Sint Maarten,76,,14,,44,18,7
176,Libya,64,1,3,,24,37,
177,French Polynesia,60,,,,54,6,1
178,South Sudan,58,6,,,,58,
179,Syria,45,1,3,,27,15,
180,Macao,45,,,,39,6,1
181,Malawi,43,2,3,,9,31,1
182,Mongolia,41,,,,13,28,
183,Eritrea,39,,,,30,9,
184,Saint Martin,38,,3,,29,6,1
185,Angola,36,,2,,11,23,
186,Zimbabwe,34,,4,,5,25,
187,Yemen,25,3,5,1,1,19,
188,Antigua and Barbuda,25,,3,,16,6,1
189,Timor-Leste,24,,,,20,4,
190,Botswana,23,,1,,8,14,
191,Grenada,21,,,,13,8,4
192,Laos,19,,,,10,9,
193,Belize,18,,2,,16,0,
194,Fiji,18,,,,14,4,
195,New Caledonia,18,,,,17,1,1
196,Saint Lucia,18,,,,15,3,
197,Gambia,17,,1,,9,7,
198,St. Vincent Grenadines,17,,,,9,8,
199,Nicaragua,16,,5,,7,4,
200,Curaçao,16,,1,,13,2,
201,Dominica,16,,,,14,2,
202,Namibia,16,,,,8,8,
203,Burundi,15,,1,,7,7,
204,Saint Kitts and Nevis,15,,,,12,3,
205,Falkland Islands,13,,,,13,0,
206,Turks and Caicos,12,,1,,6,5,
207,Vatican City,12,1,,,2,10,
208,Montserrat,11,,1,,7,3,1
209,Greenland,11,,,,11,0,
210,Seychelles,11,,,,8,3,
211,Suriname,10,,1,,9,0,
212,MS Zaandam,9,,2,,,7,
213,Mauritania,8,,1,,6,1,
214,Papua New Guinea,8,,,,8,0,
215,British Virgin Islands,7,,1,,3,3,
216,Bhutan,7,,,,5,2,
217,Caribbean Netherlands,6,,,,,6,
