,country,total,new case,death,new_death,recovered,active_cases,critical
1,,World,"4,594,365",+72376,"306,530",+3448,1739010,2548825
2,,,,,,,,
3,,,,,,,,
4,1,USA,"1,471,595",+14002,"87,822",+910,317614,1066159
5,,,,,,,,
6,,,,,,,,
7,2,Spain,"274,367",+1721,"27,459",+138,188967,57941
8,3,Russia,"262,843",+10598,"2,418",+113,58226,202199
9,4,UK,"236,711",+3560,"33,998",+384,N/A,N/A
10,5,Italy,"223,885",+789,"31,610",+242,120205,72070
11,6,Brazil,"208,031",+5113,"14,267",+274,79479,114285
12,7,France,"178,870",,"27,529",+104,60448,90893
13,8,Germany,"175,223",+248,"7,933",+5,151700,15590
14,9,Turkey,"146,457",+1708,"4,055",+48,106133,36269
15,10,Iran,"116,635",+2102,"6,902",+48,91836,17897
16,11,India,"85,784",+3787,"2,753",+104,30234,52797
17,12,Peru,"84,495",+3891,"2,392",+125,27147,54956
18,13,China,"82,933",+4,"4,633",,78209,91
19,,,,,,,,
20,14,Canada,"74,532",+1131,"5,553",+81,36747,32232
21,15,Belgium,"54,644",+356,"8,959",+56,14301,31384
22,16,Saudi Arabia,"49,176",+2307,292,+9,21869,27015
23,17,Netherlands,"43,681",+200,"5,643",+53,N/A,N/A
24,18,Mexico,"42,595",+2409,"4,477",+257,28475,9643
25,19,Chile,"39,542",+2502,394,+26,16614,22534
26,20,Pakistan,"37,218",+1430,803,+33,10155,26260
27,21,Switzerland,"30,514",+51,"1,878",+6,27100,1536
28,22,Ecuador,"30,502",,"2,338",,3433,24731
29,23,Qatar,"29,425",+1153,14,,3546,25865
30,24,Sweden,"29,207",+625,"3,646",+117,4971,20590
31,25,Portugal,"28,583",+264,"1,190",+6,3328,24065
32,26,Belarus,"27,730",+958,156,+5,8807,18767
33,27,Singapore,"26,891",+793,21,,7248,19622
34,28,Ireland,"23,956",+129,"1,518",+12,19470,2968
35,29,UAE,"21,831",+747,210,+2,7328,14293
36,30,Bangladesh,"20,065",+1202,298,+15,3882,15885
37,31,Poland,"18,016",+401,907,+24,6918,10191
38,32,Ukraine,"17,330",+483,476,+20,4473,12381
39,33,Israel,"16,589",+10,266,+1,12587,3736
40,34,Indonesia,"16,496",+490,"1,076",+33,3803,11617
41,35,Romania,"16,437",+190,"1,070",+17,9370,5997
42,36,Japan,"16,120",,697,,9868,5555
43,37,Austria,"16,109",+51,628,+2,14471,1010
44,38,Colombia,"13,610",,525,,3358,9727
45,39,South Africa,"13,524",+785,247,+9,6083,7194
46,40,Kuwait,"12,860",+885,96,+8,3640,9124
47,41,Philippines,"12,091",+215,806,+16,2460,8825
48,42,Dominican Republic,"11,739",+419,424,+2,3557,7758
49,43,Egypt,"11,228",+399,592,+21,2799,7837
50,44,S. Korea,"11,018",+27,260,,9821,937
51,45,Denmark,"10,791",+78,537,,8959,1295
52,46,Serbia,"10,438",+64,225,+1,4301,5912
53,47,Panama,"9,118",+174,260,+4,6080,2778
54,,,,,,,,
55,48,Czechia,"8,374",+23,295,+2,5379,2700
56,49,Norway,"8,206",+10,232,,32,7942
57,50,Argentina,"7,134",,353,,2497,4284
