,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,2227086,"45,778",150604,"5,133",563746,1512736,56366
2,,,,,,,,
3,,,,,,,,
4,USA,685005,"7,435",35481,864,58160,591364,13369
5,,,,,,,,
6,Spain,188068,"3,120",19478,163,74797,93793,7371
7,Italy,172434,"3,493",22745,575,42727,106962,2812
8,France,165027,,17920,,32812,114295,6248
9,Germany,138456,758,4193,141,81800,52463,4288
10,UK,108692,"5,599",14576,847,N/A,93772,1559
11,China,82692,351,4632,"1,290",77944,116,89
12,Iran,79494,"1,499",4958,89,54064,20472,3563
13,Turkey,78546,"4,353",1769,126,8631,68146,1845
14,,,,,,,,
15,Belgium,36138,"1,329",5163,306,7961,23014,1140
16,Russia,32008,"4,070",273,41,2590,29145,8
17,Brazil,30961,278,1956,9,14026,14979,6634
18,Canada,30697,591,1252,57,10092,19353,557
19,Netherlands,30449,"1,235",3459,144,250,26740,1279
20,Switzerland,27078,346,1325,44,15900,9853,386
21,,,,,,,,
22,Portugal,19022,181,657,28,519,17846,222
23,Austria,14570,94,410,,9704,4456,227
24,India,13835,405,452,4,1777,11606,
25,Ireland,13271,,486,,77,12708,156
26,Sweden,13216,676,1400,67,550,11266,482
27,Israel,12855,97,148,6,2967,9740,182
28,Peru,12491,,274,,6120,6097,169
29,S. Korea,10635,22,230,1,7829,2576,55
30,Chile,9252,445,116,11,3299,5837,384
31,Japan,9231,,190,,935,8106,193
32,Poland,8379,461,332,18,866,7181,160
33,Ecuador,8225,,403,,838,6984,168
34,Romania,8067,360,411,19,1508,6148,258
35,,,,,,,,
36,Saudi Arabia,7142,762,87,4,1049,6006,74
37,Denmark,7073,194,336,15,3389,3348,93
38,Pakistan,7025,106,135,7,1765,5125,46
39,Norway,6937,32,161,9,32,6744,63
40,Australia,6526,58,65,2,3821,2640,60
41,Czechia,6499,66,173,4,1174,5152,82
42,Mexico,6297,450,486,37,2125,3686,207
43,Indonesia,5923,407,520,24,607,4796,
44,Philippines,5878,218,387,25,487,5004,1
