,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3442641,"44,547",242190,"2,742",1102103,2098348,50979
2,,,,,,,,
3,,,,,,,,
4,USA,1137494,"6,464",66271,518,162100,909123,16481
5,,,,,,,,
6,Spain,245567,"2,588",25100,276,146233,74234,2386
7,Italy,209328,"1,900",28710,474,79914,100704,1539
8,,,,,,,,
9,UK,182260,"4,806",28131,621,N/A,153785,1559
10,France,167346,,24594,,50212,92540,3878
11,Germany,164380,303,6736,,129000,28644,2189
12,Turkey,124375,"1,983",3336,78,58259,62780,1445
13,Russia,124054,"9,623",1222,53,15013,107819,2300
14,Iran,96448,802,6156,65,77350,12942,2787
15,Brazil,92630,521,6434,24,38039,48157,8318
16,China,82875,1,4633,,77685,557,37
17,Canada,55572,511,3446,55,23316,28810,557
18,Belgium,49517,485,7765,62,12211,29541,689
19,,,,,,,,
20,Peru,40459,,1124,,11129,28206,658
21,Netherlands,40236,445,4987,94,N/A,34999,708
22,India,37776,519,1223,,10007,26546,
23,Switzerland,29817,112,1760,6,23900,4157,141
24,Ecuador,26336,,1063,,1913,23360,149
25,Saudi Arabia,25459,"1,362",176,7,3765,21518,139
26,Portugal,25190,203,1023,16,1671,22496,150
27,Sweden,22082,562,2669,16,1005,18408,531
28,Ireland,20833,,1265,,13386,6182,123
29,Mexico,20739,"1,515",1972,113,12377,6390,378
30,Pakistan,18770,678,432,15,4753,13585,111
31,Chile,18435,"1,427",247,13,9572,8616,386
32,Singapore,17548,447,17,1,1347,16184,24
33,Israel,16152,51,227,2,9400,6525,107
34,Belarus,15828,911,97,4,3117,12614,92
35,Austria,15558,27,596,7,13180,1782,114
36,Qatar,14872,776,12,,1534,13326,72
37,Japan,14305,,455,,2975,10875,328
38,Poland,13375,270,664,13,3762,8949,160
39,UAE,13038,,111,,2543,10384,1
40,Romania,12732,165,771,27,4547,7414,265
41,Ukraine,11411,550,279,7,1498,9634,151
42,Indonesia,10843,292,831,31,1665,8347,
43,S. Korea,10780,6,250,2,9123,1407,55
44,Denmark,9407,96,475,15,6889,2043,60
45,Serbia,9362,157,189,4,1426,7747,57
46,Philippines,8928,156,603,24,1124,7201,31
47,Bangladesh,8790,552,175,5,177,8438,1
48,,,,,,,,
49,Norway,7783,,210,,32,7541,37
50,Czechia,7750,13,245,5,3446,4059,67
51,Dominican Republic,7578,290,326,13,1481,5771,144
52,Colombia,7006,,314,,1551,5141,118
53,Australia,6783,16,93,,5789,901,28
54,Panama,6720,188,192,4,622,5906,85
55,Malaysia,6176,105,103,,4326,1747,31
56,South Africa,5951,,116,,2382,3453,36
57,Egypt,5895,,406,,1460,4029,
58,Finland,5176,125,220,2,3000,1956,52
59,Morocco,4687,118,172,1,1235,3280,1
60,Kuwait,4619,242,33,3,1703,2883,69
61,Argentina,4532,,229,4,1320,2983,157
62,Algeria,4295,141,459,6,1872,1964,22
63,Moldova,4052,72,124,2,1334,2594,237
64,Luxembourg,3812,10,92,,3318,402,23
65,Kazakhstan,3800,203,25,,985,2790,41
66,Bahrain,3273,103,8,,1567,1698,1
67,Thailand,2966,6,54,,2732,180,61
68,Hungary,2942,79,335,12,625,1982,52
69,Greece,2620,8,143,3,1374,1103,37
70,Oman,2483,36,12,1,750,1721,17
71,Afghanistan,2469,134,72,4,331,2066,7
72,Armenia,2273,125,33,,1010,1230,10
73,Iraq,2219,66,95,1,1473,651,
74,Nigeria,2170,,68,,351,1751,2
75,Ghana,2169,95,18,1,229,1922,4
76,Uzbekistan,2113,27,9,,1271,833,8
77,Croatia,2088,3,77,2,1463,548,17
78,Cameroon,2077,245,64,3,953,1060,12
79,Azerbaijan,1894,40,25,,1411,458,17
80,Bosnia and Herzegovina,1839,58,72,2,779,988,4
81,Iceland,1798,,10,,1706,82,
82,Estonia,1699,5,53,1,256,1390,7
83,Bulgaria,1594,39,72,4,287,1235,43
84,Cuba,1537,,64,,714,759,10
85,Guinea,1537,,7,,342,1188,
86,North Macedonia,1506,12,82,1,852,572,21
87,New Zealand,1485,6,20,1,1263,202,
88,Slovenia,1439,5,94,2,239,1106,21
89,Slovakia,1407,4,24,1,608,775,5
90,Lithuania,1406,7,46,1,632,728,17
91,Ivory Coast,1333,,15,,597,721,
92,Bolivia,1229,62,66,4,134,1029,3
93,Senegal,1115,91,9,,368,738,1
94,Djibouti,1112,15,2,,686,424,
95,Hong Kong,1040,,4,,864,172,4
96,Tunisia,998,,41,,316,641,24
97,Honduras,899,95,75,,112,712,10
98,Latvia,871,1,16,,348,507,2
99,Cyprus,864,7,15,,296,553,15
100,Albania,789,7,31,,519,239,4
101,Kyrgyzstan,769,13,8,,527,234,12
102,Andorra,745,,43,,468,234,17
103,Lebanon,733,4,25,1,197,511,43
104,Niger,728,,33,,478,217,
105,Costa Rica,725,,6,,355,364,7
106,,,,,,,,
107,Diamond Princess,712,,13,,645,54,4
108,Sri Lanka,690,,7,,172,511,1
109,Burkina Faso,649,,44,,517,88,
110,Uruguay,648,,17,,435,196,10
111,Guatemala,644,45,16,,72,556,5
112,DRC,604,,32,,75,497,
113,Somalia,601,,28,,31,542,2
114,Georgia,582,16,8,1,207,367,6
115,San Marino,580,,41,,83,456,5
116,Mayotte,539,,4,,235,300,4
117,Channel Islands,538,,41,,406,91,
118,Sudan,533,91,36,5,46,451,
119,Maldives,514,23,1,,17,496,2
120,Mali,508,,26,,196,286,
121,Tanzania,480,,16,,167,297,7
122,Malta,468,1,4,,379,85,1
123,Jordan,460,1,9,1,367,84,5
124,El Salvador,446,22,10,,138,298,2
125,Kenya,435,24,22,1,152,261,2
126,Jamaica,432,10,8,,31,393,1
127,Taiwan,432,3,6,,324,102,
128,Réunion,422,,,,300,122,2
129,Palestine,353,,2,,76,275,
130,Venezuela,335,,10,,148,177,2
131,Paraguay,333,67,10,,115,208,5
132,Mauritius,332,,10,,314,8,3
133,Montenegro,322,,7,,240,75,2
134,Isle of Man,320,4,22,,271,27,21
135,Equatorial Guinea,315,,1,,9,305,
136,Gabon,276,,3,,67,206,1
137,Vietnam,270,,,,219,51,8
138,Guinea-Bissau,257,,1,,19,237,
139,Rwanda,249,,,,109,140,
140,Congo,229,,9,,25,195,
141,Faeroe Islands,187,,,,184,3,
142,Martinique,179,,14,,83,82,5
143,Sierra Leone,155,19,8,1,21,126,
144,Liberia,152,,18,,45,89,
145,Guadeloupe,152,,12,,95,45,6
146,Myanmar,151,,6,,37,108,
147,Gibraltar,144,,,,131,13,
148,Brunei,138,,1,,126,11,2
149,Madagascar,135,3,,,97,38,1
150,Ethiopia,133,,3,,69,61,
151,French Guiana,128,,1,,98,29,2
152,Togo,123,,9,,66,48,
153,Cabo Verde,122,,1,,18,103,
154,Cambodia,122,,,,120,2,1
155,Zambia,119,10,3,,75,41,1
156,Trinidad and Tobago,116,,8,,87,21,
157,Bermuda,114,,6,,48,60,4
158,Eswatini,108,2,1,,12,95,
159,Aruba,100,,2,,81,17,4
160,Monaco,95,,4,,73,18,1
161,Benin,90,,2,,42,46,
162,Haiti,85,,8,,10,67,
163,Uganda,85,,,,52,33,
164,Bahamas,82,1,11,,24,47,1
165,Guyana,82,,9,,22,51,2
166,Liechtenstein,82,,1,,55,26,
167,Barbados,81,,7,,39,35,4
168,Mozambique,79,,,,18,61,
169,Sint Maarten,76,,13,,44,19,7
170,Cayman Islands,74,,1,,10,63,3
171,Chad,73,,5,,33,35,
172,CAR,72,,,,10,62,
173,Libya,63,,3,,32,28,
174,Nepal,59,,,,16,43,
175,French Polynesia,58,,,,51,7,1
176,Macao,45,,,,37,8,1
177,South Sudan,45,,,,,45,
178,Syria,44,,3,,27,14,
179,Eritrea,39,,,,26,13,
180,Mongolia,39,1,,,10,29,
181,Saint Martin,38,,3,,27,8,3
182,Malawi,37,,3,,9,25,1
183,Zimbabwe,34,,4,,5,25,
184,Tajikistan,32,17,,,,32,
185,Angola,30,,2,,11,17,
186,Antigua and Barbuda,25,,3,,15,7,1
187,Timor-Leste,24,,,,16,8,
188,Botswana,23,,1,,8,14,
189,Grenada,20,,,,13,7,4
190,Laos,19,,,,9,10,
191,Belize,18,,2,,13,3,1
192,Fiji,18,,,,14,4,
193,New Caledonia,18,,,,17,1,1
194,Saint Lucia,17,,,,15,2,
195,Curaçao,16,,1,,13,2,
196,Sao Tome and Principe,16,,1,,4,11,
197,Dominica,16,,,,13,3,
198,Namibia,16,,,,8,8,
199,St. Vincent Grenadines,16,,,,8,8,
200,Saint Kitts and Nevis,15,,,,8,7,
201,Nicaragua,14,,3,,7,4,
202,Falkland Islands,13,,,,13,0,
203,Gambia,12,,1,,9,2,
204,Turks and Caicos,12,,1,,5,6,
205,Burundi,11,,1,,4,6,
206,Montserrat,11,,1,,2,8,1
207,Greenland,11,,,,11,0,
208,Vatican City,11,,,,2,9,
209,Seychelles,11,,,,6,5,
210,Suriname,10,,1,,8,1,
211,MS Zaandam,9,,2,,,7,
212,Mauritania,8,,1,,6,1,
213,Papua New Guinea,8,,,,,8,
214,Yemen,7,,2,,1,4,
215,Bhutan,7,,,,5,2,
216,British Virgin Islands,6,,1,,3,2,
217,Caribbean Netherlands,6,,,,,6,
218,St. Barth,6,,,,6,0,
219,Western Sahara,6,,,,5,1,
220,Anguilla,3,,,,3,0,
221,Comoros,1,,,,,1,
