,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,80894,13,3237,11,69614,8043,2622
2,Italy,31506,"3,526",2503,345,2941,26062,2060
3,Iran,16169,"1,178",988,135,5389,9792,
4,Spain,11826,"1,884",533,191,1028,10265,563
5,Germany,9367,"2,095",26,9,67,9274,2
6,S. Korea,8413,177,84,9,1540,6789,59
7,France,7730,"1,097",175,27,602,6953,699
8,USA,6488,"1,825",112,26,106,6270,12
9,Switzerland,2742,389,27,8,15,2700,
10,UK,1950,407,71,16,65,1814,20
11,Netherlands,1705,292,43,19,2,1660,45
12,Norway,1470,122,3,,1,1466,27
13,Austria,1332,314,4,1,8,1320,12
14,Belgium,1243,185,10,,14,1219,33
15,Sweden,1196,75,8,1,1,1187,12
16,Denmark,977,63,4,,1,972,18
17,Japan,882,49,29,1,144,709,41
18,Diamond Princess,712,,7,,456,249,14
19,Malaysia,673,107,2,2,49,622,10
20,Canada,598,157,8,4,12,578,1
21,Australia,452,51,5,,27,420,1
22,Portugal,448,117,1,,3,444,18
23,Qatar,442,3,,,4,438,
24,Czechia,434,90,,,3,431,2
25,Greece,387,35,5,1,14,368,11
26,Brazil,346,112,1,1,2,343,18
27,Israel,337,39,,,11,326,5
28,Finland,322,44,,,10,312,2
29,Ireland,292,69,2,,5,285,6
30,Slovenia,275,22,1,,,274,4
31,Singapore,266,23,,,114,152,14
32,Iceland,247,48,,,5,242,1
33,Pakistan,247,63,,,2,245,
34,Bahrain,241,13,1,,88,152,3
35,Poland,238,61,5,1,1,232,3
36,Estonia,225,20,,,1,224,
37,Romania,217,49,,,19,198,5
38,Chile,201,45,,,,201,3
39,Egypt,196,30,6,2,26,164,
40,Philippines,187,45,14,2,4,169,1
41,Thailand,177,30,1,,41,135,1
42,Indonesia,172,38,7,2,9,156,
43,Saudi Arabia,171,38,,,6,165,
44,Hong Kong,168,13,4,,81,83,4
45,Iraq,154,21,11,1,41,102,
46,India,143,14,3,1,14,126,
47,Luxembourg,140,59,1,,,139,1
48,Kuwait,130,7,,,12,118,4
49,Lebanon,124,15,4,1,4,116,3
50,San Marino,119,10,11,2,4,104,11
51,Peru,117,31,,,1,116,8
52,Russia,114,21,,,8,106,
53,UAE,113,15,,,26,87,2
54,Ecuador,111,53,2,,,109,2
55,Turkey,98,51,1,1,,97,
56,Slovakia,97,25,,,,97,2
57,South Africa,85,21,,,,85,
58,Mexico,82,29,,,4,78,1
59,Bulgaria,81,19,2,,,79,
60,Argentina,79,14,2,,3,74,1
61,Armenia,78,26,,,1,77,2
62,Taiwan,77,10,1,,20,56,
63,Serbia,72,15,,,1,71,4
64,Panama,69,,1,,,68,7
65,Croatia,69,12,,,5,64,
66,Vietnam,66,5,,,16,50,
67,Colombia,65,11,,,1,64,
68,Algeria,61,1,5,1,10,46,
