,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,81093,39,3270,9,72703,5120,1749
2,Italy,63928,"4,790",6078,602,7432,50418,3204
3,USA,40855,"7,309",483,64,187,40185,1040
4,Spain,33089,"4,321",2206,434,3355,27528,2355
5,Germany,28798,"3,925",116,22,422,28260,23
6,Iran,23049,"1,411",1812,127,8376,12861,
7,France,16689,671,674,,2200,13815,1746
8,S. Korea,8961,64,111,7,3166,5684,59
9,Switzerland,8547,"1,073",118,20,131,8298,141
10,UK,5837,154,335,54,135,5367,20
11,Netherlands,4749,545,213,34,2,4534,435
12,Austria,4306,724,21,5,9,4276,14
13,Belgium,3743,342,88,13,401,3254,322
14,Norway,2547,162,10,3,6,2531,41
15,Portugal,2060,460,23,9,14,2023,47
16,Sweden,2046,112,25,4,16,2005,104
17,Australia,1717,108,7,,88,1622,11
18,Brazil,1629,83,25,,2,1602,18
19,Canada,1563,93,21,1,18,1524,1
20,Malaysia,1518,212,14,4,159,1345,57
21,Denmark,1450,55,24,11,1,1425,55
22,Israel,1238,167,1,,37,1200,24
23,Turkey,1236,,30,,,1206,
24,Czechia,1236,116,1,,6,1229,19
25,Japan,1101,,41,,235,825,49
26,Ecuador,981,192,18,4,3,960,2
27,Ireland,906,,4,,5,897,29
28,Luxembourg,875,77,8,,6,861,3
29,Pakistan,873,97,6,1,13,854,
30,Chile,746,114,2,1,11,733,7
31,Thailand,721,122,1,,52,668,7
32,Diamond Princess,712,,8,,567,137,15
33,Finland,700,74,1,,10,689,13
34,Greece,695,71,17,2,19,659,35
35,Poland,692,58,8,1,13,671,3
36,Iceland,588,20,1,,51,536,14
37,Indonesia,579,65,49,1,30,500,
38,Romania,576,143,5,2,73,498,15
39,Saudi Arabia,562,51,,,19,543,
40,Singapore,509,54,2,,152,355,14
41,Qatar,494,,,,33,461,6
42,India,467,71,9,2,34,424,
43,Philippines,462,82,33,8,18,411,1
44,Slovenia,442,28,3,1,,439,12
45,Russia,438,71,1,,17,420,
46,South Africa,402,128,,,4,398,
47,Peru,363,,5,,1,357,5
48,Hong Kong,356,38,4,,100,252,4
49,Estonia,352,26,,,4,348,4
