,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,2872428,"43,602",200627,"3,528",823306,1848495,58276
2,,,,,,,,
3,,,,,,,,
4,USA,930226,"4,994",52870,677,110609,766747,15100
5,,,,,,,,
6,Spain,223759,"3,995",22902,378,95708,105149,7705
7,Italy,195351,"2,357",26384,415,63120,105847,2102
8,France,159828,,22245,,43493,94090,4870
9,Germany,155418,419,5805,45,109800,39813,2908
10,UK,148377,"4,913",20319,813,N/A,127714,1559
11,,,,,,,,
12,Turkey,107773,"2,861",2706,106,25582,79485,1782
13,Iran,89328,"1,134",5650,76,68193,15485,3096
14,China,82816,12,4632,,77346,838,49
15,Russia,74588,"5,966",681,66,6250,67657,2300
16,Brazil,55224,"2,229",3762,92,27655,23807,8318
17,Belgium,45325,"1,032",6917,238,10417,27991,934
18,Canada,43888,,2302,,15469,26117,557
19,Netherlands,37190,655,4409,120,N/A,32531,959
20,,,,,,,,
21,Switzerland,28894,217,1593,4,21000,6301,204
22,India,24942,495,780,,5498,18664,
23,Portugal,23392,595,880,26,1277,21235,186
24,Ecuador,22719,,576,,1366,20777,127
25,Peru,21648,,634,,7496,13518,505
26,Ireland,18184,,1014,,9233,7937,142
27,Sweden,18177,610,2192,40,1005,14980,547
28,Saudi Arabia,16299,"1,197",136,9,2215,13948,115
29,Austria,15148,77,536,6,12103,2509,148
30,Israel,15148,90,198,4,6159,8791,130
31,Mexico,12872,"1,239",1221,152,7149,4502,378
32,Chile,12858,552,181,7,6746,5931,418
33,Japan,12829,117,345,,1530,10954,263
34,Singapore,12693,618,12,,1002,11679,24
35,Pakistan,12227,287,256,3,2755,9216,111
36,Poland,11273,381,524,30,2126,8623,160
37,S. Korea,10718,10,240,,8635,1843,55
38,Romania,10635,218,579,12,2890,7166,235
39,Belarus,9590,817,67,4,1573,7950,92
40,Qatar,9358,833,10,,929,8419,72
41,UAE,9281,,64,,1760,7457,1
42,Indonesia,8607,396,720,31,1042,6845,
43,Denmark,8445,235,418,15,5669,2358,70
44,,,,,,,,
45,Ukraine,8125,478,201,8,782,7142,104
46,Serbia,7779,296,151,7,1152,6476,91
