,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,823200,"38,541",40633,"2,865",174333,608234,30868
2,USA,174750,"10,962",3402,261,6215,165133,3893
3,Italy,105792,"4,053",12428,837,15729,77635,4023
4,Spain,94417,"6,461",8269,553,19259,66889,5607
5,China,81518,79,3305,5,76052,2161,528
6,Germany,68180,"1,295",682,37,15824,51674,1979
7,Iran,44605,"3,110",2898,141,14656,27051,3703
8,France,44550,,3024,,7927,33599,5056
9,UK,25150,"3,009",1789,381,135,23226,163
10,Switzerland,16186,264,395,36,1823,13968,301
11,Belgium,12775,876,705,192,1696,10374,1021
12,Netherlands,12595,845,1039,175,250,11306,1053
13,Turkey,10827,,168,,162,10497,568
14,Austria,10088,470,128,20,1095,8865,198
15,S. Korea,9786,125,162,4,5408,4216,55
16,Canada,7474,26,92,3,1114,6268,120
17,Portugal,7443,"1,035",160,20,43,7240,188
18,Israel,4831,136,17,1,163,4651,83
19,Brazil,4685,55,168,5,127,4390,296
20,Norway,4605,160,36,4,13,4556,97
21,Australia,4561,101,19,,337,4205,28
22,Sweden,4435,407,180,34,16,4239,358
23,Czechia,3002,1,25,2,25,2952,64
24,Ireland,2910,,54,,5,2851,103
25,Denmark,2860,283,90,13,1,2769,145
26,Malaysia,2766,140,43,6,537,2186,94
27,Chile,2738,289,12,4,156,2570,14
28,Russia,2337,501,17,8,121,2199,8
29,Romania,2245,136,78,13,220,1947,62
30,Poland,2215,160,32,1,7,2176,50
31,Luxembourg,2178,190,23,1,80,2075,31
32,Philippines,2084,538,88,10,49,1947,1
33,Ecuador,1966,,62,,54,1850,58
34,Japan,1953,,56,,424,1473,56
35,Pakistan,1914,197,26,5,76,1812,12
36,Thailand,1651,127,10,1,342,1299,23
37,Saudi Arabia,1563,110,10,2,165,1388,31
38,Indonesia,1528,114,136,14,81,1311,
39,Finland,1418,66,17,4,10,1391,56
40,South Africa,1353,27,3,,31,1319,7
41,Greece,1314,102,49,3,52,1213,72
42,India,1251,,32,,102,1117,
43,Iceland,1135,49,2,,198,935,11
44,Dominican Republic,1109,208,51,9,5,1053,
45,Mexico,1094,101,28,8,35,1031,1
46,Panama,1075,,27,,9,1039,43
47,Argentina,966,146,26,3,240,700,
48,Peru,950,,24,,53,873,49
49,Singapore,926,47,3,,240,683,22
50,Serbia,900,115,23,7,42,835,62
51,Croatia,867,77,6,,67,794,32
52,Slovenia,802,46,15,4,10,777,24
53,Colombia,798,,14,,15,769,29
54,Estonia,745,30,4,1,26,715,13
55,Algeria,716,132,44,9,46,626,
56,Hong Kong,714,31,4,,128,582,5
57,Diamond Princess,712,,10,,603,99,15
58,Qatar,693,,1,,51,641,6
59,UAE,664,53,6,1,61,597,2
60,Egypt,656,,41,,150,465,
61,New Zealand,647,58,1,,74,572,2
62,Iraq,630,,46,,152,432,
63,Morocco,574,18,33,,15,526,1
64,Bahrain,567,52,4,,295,268,2
65,Ukraine,549,1,13,,8,528,
66,Lithuania,533,42,8,1,7,518,27
67,Armenia,532,50,3,,30,499,30
68,Hungary,492,45,16,1,37,439,6
69,Lebanon,463,17,12,1,37,414,7
70,Bosnia and Herzegovina,411,43,12,2,17,382,1
71,Bulgaria,399,40,8,,17,374,14
72,Latvia,398,22,,,1,397,3
73,Andorra,370,,8,,10,352,10
74,Slovakia,363,27,,,3,360,1
75,Tunisia,362,,10,1,3,349,10
76,Moldova,353,55,4,2,18,331,44
77,Kazakhstan,340,38,2,1,22,316,6
78,Costa Rica,330,,2,,4,324,7
79,North Macedonia,329,44,9,2,12,308,4
80,Taiwan,322,16,5,,39,278,
81,Uruguay,320,,1,,25,294,9
82,Azerbaijan,298,25,5,1,26,267,11
83,Kuwait,289,23,,,73,216,13
84,Jordan,268,,5,,26,237,5
85,Cyprus,262,32,8,1,23,231,3
86,Réunion,247,23,,,1,246,4
87,Burkina Faso,246,,12,,31,203,
88,Albania,243,20,13,2,52,178,8
89,San Marino,230,,25,,13,192,16
90,Vietnam,207,3,,,58,149,3
91,Cameroon,193,54,6,,5,182,
92,Oman,192,13,,,34,158,3
93,Cuba,186,16,6,2,8,172,3
94,Senegal,175,13,,,40,135,
95,Afghanistan,174,4,4,,5,165,
96,Faeroe Islands,169,1,,,74,95,3
97,Malta,169,13,,,2,167,2
98,Ivory Coast,168,,1,,6,161,
99,Uzbekistan,167,18,2,,7,158,8
100,Ghana,152,,5,,31,116,1
101,Belarus,152,,1,1,47,104,2
102,Mauritius,143,15,4,1,,139,1
103,Sri Lanka,142,20,2,,17,123,5
104,Honduras,141,2,7,,3,131,4
105,Channel Islands,141,,3,1,,138,
106,Venezuela,135,,3,,39,93,6
107,Nigeria,135,4,2,,8,125,
108,Brunei,129,2,1,,45,83,3
109,Martinique,119,26,2,1,27,90,15
110,Palestine,117,,1,,18,98,
111,Georgia,110,7,,,21,89,6
112,Cambodia,109,2,,,23,86,1
113,Bolivia,107,10,6,2,,101,3
114,Kyrgyzstan,107,13,,,3,104,
115,Guadeloupe,106,,4,,17,85,10
116,Montenegro,105,14,2,1,,103,1
117,DRC,98,17,8,,2,88,
118,Mayotte,94,12,1,1,10,83,3
119,Trinidad and Tobago,85,2,3,,1,81,
120,Rwanda,70,,,,,70,
121,Gibraltar,69,,,,34,35,
122,Liechtenstein,68,6,,,,68,
123,Paraguay,65,1,3,,1,61,3
124,Isle of Man,60,11,,,,60,
125,Kenya,59,9,1,,1,57,2
126,Bangladesh,51,2,5,,25,21,1
127,Aruba,50,,,,1,49,
128,Monaco,49,,1,,1,47,
129,Madagascar,46,3,,,,46,6
130,French Guiana,43,,,,6,37,
131,Macao,41,3,,,10,31,
132,Guatemala,36,,1,,10,25,1
133,Jamaica,36,,1,,2,33,
134,French Polynesia,36,,,,,36,2
135,Zambia,35,,,,,35,
136,Togo,34,4,1,,10,23,
137,Barbados,34,1,,,,34,
138,Uganda,33,,,,,33,
139,El Salvador,32,2,,,,32,5
140,Djibouti,30,12,,,,30,
141,Mali,28,3,2,,,26,
142,Niger,27,,3,,,24,
143,Bermuda,27,,,,10,17,
144,Ethiopia,25,2,,,2,23,2
145,Guinea,22,,,,,22,
146,Tanzania,19,,1,1,1,17,
147,Congo,19,,,,,19,
148,Maldives,18,1,,,13,5,
149,Gabon,16,9,1,,,15,
150,New Caledonia,16,1,,,,16,
151,Myanmar,15,1,1,1,,14,
152,Saint Martin,15,,1,,2,12,
153,Eritrea,15,,,,,15,
154,Haiti,15,,,,1,14,
155,Bahamas,14,,,,1,13,
156,Cayman Islands,12,,1,,,11,
157,Dominica,12,,,,,12,
158,Equatorial Guinea,12,,,,1,11,
159,Mongolia,12,,,,2,10,
160,Curaçao,11,,1,,2,8,
161,Namibia,11,,,,2,9,
162,Syria,10,,2,,,8,
163,Greenland,10,,,,2,8,
164,Seychelles,10,2,,,,10,
165,Benin,9,3,,,1,8,
166,Grenada,9,,,,,9,
167,Laos,9,1,,,,9,
168,Saint Lucia,9,,,,1,8,
169,Eswatini,9,,,,,9,
170,Guyana,8,,1,,,7,
171,Zimbabwe,8,1,1,,,7,
172,Guinea-Bissau,8,,,,,8,
173,Libya,8,,,,,8,
174,Mozambique,8,,,,,8,
175,Saint Kitts and Nevis,8,1,,,,8,
176,Suriname,8,,,,,8,
177,Angola,7,,2,,1,4,
178,Sudan,7,1,2,,1,4,
179,Antigua and Barbuda,7,,,,,7,
180,Chad,7,2,,,,7,
181,Cabo Verde,6,,1,,,5,
182,Mauritania,6,,1,,2,3,
183,Vatican City,6,,,,,6,
184,St. Barth,6,,,,1,5,
185,Sint Maarten,6,,,,,6,
186,Nepal,5,,,,1,4,
187,Fiji,5,,,,,5,
188,Montserrat,5,,,,,5,
