,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,1889062,"36,805",117594,"3,400",438176,1333292,50805
2,,,,,,,,
3,,,,,,,,
4,USA,566654,"6,354",22877,772,33743,510034,11807
5,,,,,,,,
6,Spain,169496,"2,665",17489,280,64727,87280,7371
7,Italy,159516,"3,153",20465,566,35435,103616,3260
8,France,132591,,14393,,27186,91012,6845
9,Germany,128002,148,3030,8,64300,60672,4895
10,UK,88621,"4,342",11329,717,N/A,76948,1559
11,China,82160,108,3341,2,77663,1156,121
12,Iran,73303,"1,617",4585,111,45983,22735,3877
13,Turkey,61049,"4,093",1296,98,3957,55796,1786
14,,,,,,,,
15,Belgium,30589,942,3903,303,6707,19979,1234
16,Netherlands,26551,964,2823,86,250,23478,1384
17,Switzerland,25688,273,1138,32,12700,11850,386
18,Canada,24833,450,735,18,7412,16686,557
19,Brazil,22720,528,1269,46,173,21278,296
20,Russia,18328,"2,558",148,18,1470,16710,8
21,Portugal,16934,349,535,31,277,16122,188
22,,,,,,,,
23,Austria,14029,84,368,18,7343,6318,239
24,Israel,11235,90,113,10,1689,9433,181
25,Sweden,10948,465,919,20,381,9648,859
26,S. Korea,10537,25,217,3,7447,2873,55
27,Ireland,9655,,334,,25,9296,194
28,India,9635,430,331,,1096,8208,
29,,,,,,,,
30,Ecuador,7529,63,355,22,597,6577,121
31,Chile,7525,312,82,2,2367,5076,387
32,Peru,7519,,193,,1798,5528,134
33,Japan,7370,,123,,784,6463,129
34,Poland,6934,260,245,13,487,6202,160
35,Romania,6633,333,318,2,914,5401,231
36,Norway,6551,26,133,5,32,6386,59
37,Australia,6359,46,61,2,3494,2804,79
38,Denmark,6318,144,285,12,2235,3798,100
39,Czechia,6022,31,143,5,519,5360,87
40,Pakistan,5496,266,93,2,1095,4308,44
41,Saudi Arabia,4934,472,65,6,805,4064,59
42,Philippines,4932,284,315,18,242,4375,1
43,Malaysia,4817,134,77,1,2276,2464,66
44,Mexico,4661,442,296,23,1843,2522,185
45,Indonesia,4557,316,399,26,380,3778,
46,UAE,4123,,25,3,852,3246,1
47,Serbia,4054,424,85,5,400,3569,138
48,Panama,3400,,87,,29,3284,106
49,Luxembourg,3292,11,69,3,500,2723,30
50,Qatar,3231,252,7,,334,2890,37
51,Dominican Republic,3167,200,177,4,152,2838,147
52,Ukraine,3102,325,93,10,97,2912,45
53,Finland,3064,90,59,3,300,2705,74
54,Belarus,2919,341,29,3,203,2687,55
55,Singapore,2918,386,9,1,586,2323,29
56,Colombia,2776,,109,,270,2397,92
57,Thailand,2579,28,40,2,1288,1251,61
58,Argentina,2208,66,97,7,468,1643,83
59,South Africa,2173,,25,,410,1738,7
60,Greece,2145,31,99,1,269,1777,73
61,Egypt,2065,,159,,589,1317,
62,Algeria,1983,69,313,20,601,1069,60
63,Morocco,1746,85,120,2,196,1430,1
64,Moldova,1712,50,35,4,107,1570,80
65,Iceland,1711,10,8,,933,770,10
66,Croatia,1650,50,25,2,400,1225,34
67,Hungary,1458,48,109,10,120,1229,58
68,Iraq,1378,26,78,2,717,583,
69,New Zealand,1349,19,5,1,546,798,4
70,Bahrain,1348,212,6,,591,751,4
71,Estonia,1332,23,28,3,102,1202,9
72,Kuwait,1300,66,2,1,150,1148,26
73,Slovenia,1212,7,55,2,152,1005,34
74,Azerbaijan,1148,50,12,1,289,847,27
75,Lithuania,1062,9,24,1,101,937,14
76,Armenia,1039,26,14,1,211,814,30
77,Bosnia and Herzegovina,1030,21,39,,206,785,4
78,Hong Kong,1010,5,4,,397,609,13
79,Kazakhstan,979,28,12,2,138,829,21
80,Uzbekistan,934,69,4,,85,845,8
81,North Macedonia,854,26,38,4,44,772,15
82,Cameroon,820,,12,,98,710,
83,Slovakia,816,74,2,,107,707,5
84,Bangladesh,803,182,39,5,42,722,1
85,Oman,727,128,4,,124,599,3
86,Cuba,726,57,21,3,121,584,11
87,,,,,,,,
88,Diamond Princess,712,,11,,619,82,10
89,Tunisia,707,,31,,43,633,89
90,Bulgaria,685,10,32,3,71,582,36
91,Afghanistan,665,58,21,3,32,612,
92,Cyprus,662,29,12,1,65,585,8
93,Latvia,655,4,5,,16,634,2
94,Andorra,646,8,29,,128,489,17
95,Lebanon,632,2,20,,80,532,34
96,Costa Rica,595,,3,,56,536,14
97,Ivory Coast,574,,5,,85,484,
98,Ghana,566,,8,,4,554,2
99,Niger,529,,12,,75,442,
100,Burkina Faso,497,,27,,161,309,
101,Uruguay,480,,8,1,231,241,15
102,Albania,467,21,23,,232,212,7
103,Channel Islands,431,,9,,48,374,
104,Kyrgyzstan,419,42,5,,67,347,5
105,Honduras,397,4,25,,7,365,10
106,Taiwan,393,5,6,,114,273,
107,Réunion,391,2,,,40,351,3
108,Jordan,389,,7,,201,181,5
109,Malta,384,6,3,,44,337,4
110,San Marino,356,,35,,53,268,14
111,Bolivia,330,30,27,3,2,301,3
112,Mauritius,324,,9,,42,273,3
113,Nigeria,323,,10,,85,228,2
114,Guinea,319,69,,,17,302,
115,Palestine,308,18,2,,58,248,
116,Djibouti,298,84,2,,41,255,
117,Senegal,291,11,2,,178,111,1
118,Montenegro,273,1,3,,5,265,7
119,Georgia,266,9,3,,67,196,6
120,Vietnam,265,3,,,146,119,8
121,Isle of Man,242,14,2,,131,109,13
122,DRC,235,1,20,,17,198,
123,Sri Lanka,217,7,7,,56,154,1
124,Kenya,208,11,9,1,40,159,2
125,Mayotte,207,11,3,,59,145,3
126,Faeroe Islands,184,,,,157,27,
127,Venezuela,181,,9,,93,79,6
128,Martinique,157,2,6,,50,101,19
129,Guatemala,155,,5,,19,131,3
130,Paraguay,147,13,6,,22,119,1
131,Guadeloupe,143,,8,,67,68,13
132,El Salvador,137,12,6,,22,109,2
133,Brunei,136,,1,,107,28,2
134,Gibraltar,129,,,,84,45,1
135,Rwanda,126,,,,25,101,
136,Mali,123,18,10,1,26,87,
137,Cambodia,122,,,,77,45,1
138,Trinidad and Tobago,113,,8,,16,89,
139,Madagascar,106,,,,21,85,1
140,Monaco,93,,1,,6,86,5
141,Aruba,92,,,,32,60,1
142,French Guiana,86,,,,51,35,1
143,Liechtenstein,79,,1,,55,23,
144,Togo,77,1,3,,29,45,
145,Ethiopia,74,3,3,,14,57,
146,Jamaica,72,,4,,16,52,
147,Barbados,71,,4,,11,56,4
148,Congo,60,,5,,5,50,
149,Liberia,59,9,6,1,4,49,
150,Bermuda,57,,4,,29,24,2
151,Gabon,57,8,1,,1,55,
152,Uganda,54,,,,7,47,
153,Cayman Islands,53,,1,,6,46,3
154,French Polynesia,53,,,,,53,1
155,Sint Maarten,50,,9,,5,36,2
156,Bahamas,47,1,8,,6,33,1
157,Tanzania,46,14,3,,7,36,
158,Guyana,45,,6,,8,31,3
159,Zambia,45,2,2,,30,13,1
160,Macao,45,,,,10,35,1
161,Myanmar,41,,4,,2,35,
162,Guinea-Bissau,38,,,,,38,
163,Benin,35,,1,,5,29,
164,Eritrea,34,,,,,34,
165,Haiti,33,,3,,,30,
166,Saint Martin,32,,2,,11,19,5
167,Sudan,29,10,2,,4,23,
168,Somalia,25,,2,1,2,21,2
169,Syria,25,,2,,5,18,
170,Libya,25,,1,,9,15,
171,Antigua and Barbuda,23,2,2,,,21,1
172,Chad,23,5,,,2,21,
173,Equatorial Guinea,21,,,,3,18,
174,Mozambique,21,,,,2,19,
175,Maldives,20,,,,14,6,
176,Angola,19,,2,,4,13,
177,Laos,19,,,,,19,
178,New Caledonia,18,,,,1,17,
179,Mongolia,17,1,,,4,13,
180,Malawi,16,3,2,,,14,1
181,Dominica,16,,,,8,8,
182,Fiji,16,,,,,16,
183,Namibia,16,,,,3,13,
184,Saint Lucia,15,,,,4,11,
185,Eswatini,15,1,,,7,8,
186,Zimbabwe,14,,3,,,11,
187,Belize,14,,2,,,12,1
188,Curaçao,14,,1,,8,5,
189,Nepal,14,2,,,1,13,
190,Grenada,14,,,,,14,2
191,Botswana,13,,1,,,12,
192,Saint Kitts and Nevis,12,,,,,12,
193,St. Vincent Grenadines,12,,,,1,11,
194,CAR,11,3,,,3,8,
195,Greenland,11,,,,11,0,
196,Montserrat,11,2,,,1,10,1
197,Seychelles,11,,,,,11,
198,Cabo Verde,10,2,1,,1,8,
199,Suriname,10,,1,,4,5,
200,Sierra Leone,10,,,,,10,
201,MS Zaandam,9,,2,,,7,
202,Gambia,9,,1,,2,6,
203,Nicaragua,9,,1,,4,4,
204,Turks and Caicos,9,,1,,,8,
205,Vatican City,8,,,,2,6,
206,Mauritania,7,,1,,2,4,
207,St. Barth,6,,,,4,2,
208,Western Sahara,6,,,,,6,
209,Burundi,5,,1,1,,4,
210,Bhutan,5,,,,2,3,
211,Falkland Islands,5,,,,1,4,
212,Sao Tome and Principe,4,,,,,4,
213,South Sudan,4,,,,,4,
214,Timor-Leste,4,2,,,1,3,
215,Anguilla,3,,,,1,2,
216,British Virgin Islands,3,,,,2,1,
217,Caribbean Netherlands,3,,,,,3,
218,Papua New Guinea,2,,,,,2,
219,Saint Pierre Miquelon,1,,,,,1,
220,Yemen,1,,,,,1,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
