,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,2598461,"42,701",181356,"3,897",712254,1704851,57053
2,,,,,,,,
3,,,,,,,,
4,USA,823115,"4,371",46123,805,83420,693572,14016
5,,,,,,,,
6,Spain,208389,"4,211",21717,435,85915,100757,7705
7,Italy,187327,"3,370",25085,437,54543,107699,2384
8,France,158050,,20796,,39181,98073,5433
9,Germany,149044,591,5127,41,99400,44517,2908
10,UK,133495,"4,451",18100,763,N/A,115051,1559
11,Turkey,98674,"3,083",2376,117,16477,79821,1814
12,,,,,,,,
13,Iran,85996,"1,194",5391,94,63113,17492,3311
14,China,82788,30,4632,,77151,1005,78
15,Russia,57999,"5,236",513,57,4420,53066,700
16,Brazil,43592,513,2769,28,24325,16498,8318
17,Belgium,41889,933,6262,264,9433,26194,1020
18,Canada,38967,545,1873,39,13647,23447,557
19,Netherlands,34842,708,4054,138,N/A,30538,1050
20,Switzerland,28268,205,1509,31,19400,7359,386
21,,,,,,,,
22,Portugal,21982,603,785,23,1143,20054,207
23,India,20471,391,652,7,3976,15843,
24,Peru,17837,,484,,6982,10371,380
25,Ireland,16040,,730,,9233,6077,315
26,Sweden,16004,682,1937,172,550,13517,515
27,Austria,14925,52,510,19,11328,3087,176
28,Israel,14326,384,187,3,4961,9178,148
29,Saudi Arabia,12772,"1,141",114,5,1812,10846,82
30,Japan,11512,,281,,1356,9875,232
31,Chile,11296,464,160,13,5386,5750,399
32,Ecuador,10850,452,537,17,1262,9051,141
33,S. Korea,10694,11,238,1,8277,2179,55
34,Poland,10169,313,426,25,1513,8230,160
35,Singapore,10141,"1,016",12,1,896,9233,27
36,Pakistan,10076,511,212,11,2156,7708,58
37,Romania,9710,468,508,10,2406,6796,288
38,Mexico,9501,729,857,145,2627,6017,378
39,UAE,8238,483,52,6,1546,6640,1
40,,,,,,,,
41,Denmark,7912,217,384,14,5087,2441,80
42,Indonesia,7418,283,635,19,913,5870,
43,Belarus,7281,558,58,3,769,6454,92
44,Norway,7275,34,186,4,32,7057,54
45,Qatar,7141,608,10,1,689,6442,37
46,Serbia,7114,224,134,4,1025,5955,101
47,Czechia,7087,54,208,7,1989,4890,80
48,Philippines,6710,111,446,9,693,5571,1
49,Australia,6649,4,74,3,4920,1655,47
50,Ukraine,6592,467,174,13,424,5994,45
51,Malaysia,5532,50,93,1,3452,1987,43
52,Dominican Republic,5300,256,260,15,581,4459,135
53,Panama,4821,163,141,5,231,4449,94
54,Colombia,4149,,196,,804,3149,98
55,Finland,4129,115,149,8,2000,1980,63
56,Bangladesh,3772,390,120,10,92,3560,1
57,Luxembourg,3618,,78,,670,2870,32
58,Egypt,3490,,264,,870,2356,
59,South Africa,3465,,58,,1055,2352,36
