,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,80761,26,3136,17,60113,17512,4794
2,Italy,10149,977,631,168,1004,8514,877
3,Iran,8042,881,291,54,2731,5020,
4,S. Korea,7513,35,58,5,247,7208,54
5,Spain,1674,443,35,5,135,1504,101
6,France,1606,194,30,,12,1564,66
7,Germany,1317,93,2,,18,1297,9
8,USA,754,50,28,2,15,711,8
9,Diamond Princess,696,,7,,245,444,32
10,Japan,581,51,10,1,102,469,31
11,Switzerland,497,123,3,1,3,491,
12,Netherlands,382,61,4,,,378,1
13,UK,373,52,6,1,18,349,
14,Sweden,351,91,,,1,350,2
15,Norway,304,77,,,1,303,
16,Belgium,267,28,,,1,266,2
17,Denmark,262,172,,,1,261,
18,Austria,182,51,,,4,178,1
19,Singapore,166,6,,,93,73,10
20,Malaysia,129,12,,,87,42,2
21,Hong Kong,121,5,3,,59,59,6
22,Bahrain,110,1,,,30,80,1
23,Australia,103,10,3,,22,78,1
24,Greece,89,5,,,,89,1
25,Canada,80,3,1,,8,71,1
26,UAE,74,15,,,12,62,2
27,Iraq,71,,7,,15,49,
28,Iceland,69,4,,,1,68,
29,Kuwait,69,4,,,1,68,3
30,Egypt,59,,1,,1,57,
31,Czechia,58,20,,,,58,
32,Israel,58,8,,,4,54,1
33,India,56,9,,,4,52,
34,Thailand,53,3,1,,33,19,1
35,Lebanon,52,11,1,1,1,50,3
36,San Marino,51,,2,,,49,5
37,Taiwan,47,2,1,,17,29,
38,Portugal,41,2,,,,41,1
39,Finland,40,7,,,1,39,
40,Philippines,33,9,1,,2,30,1
41,Brazil,31,6,,,,31,1
42,Vietnam,31,,,,16,15,
43,Slovenia,31,6,,,,31,
44,Indonesia,27,8,,,2,25,
45,Palestine,26,1,,,,26,
46,Romania,25,8,,,5,20,
47,Ireland,24,,,,,24,
48,Qatar,24,6,,,,24,
49,Georgia,23,8,,,,23,1
50,Poland,21,4,,,,21,2
51,Algeria,20,,,,,20,
52,Russia,20,,,,3,17,
53,Saudi Arabia,20,,,,1,19,
54,Pakistan,19,3,,,2,17,
55,Oman,18,,,,9,9,
56,Argentina,17,,1,,,16,
57,Chile,17,4,,,,17,
58,Ecuador,15,,,,,15,1
59,Croatia,14,1,,,,14,
60,Estonia,13,3,,,,13,
61,Costa Rica,13,4,,,,13,1
62,Hungary,12,3,,,,12,
63,Azerbaijan,11,2,,,,11,
64,Peru,11,2,,,,11,
65,Macao,10,,,,10,0,
66,Albania,10,4,,,,10,
67,Belarus,9,3,,,3,6,
68,Latvia,8,2,,,1,7,
69,North Macedonia,7,2,,,,7,
70,Mexico,7,,,,4,3,1
71,Slovakia,7,,,,,7,
72,South Africa,7,,,,,7,
73,Tunisia,6,1,,,,6,
74,Brunei,6,5,,,,6,
75,Maldives,6,,,,,6,
76,Afghanistan,5,1,,,,5,
77,Dominican Republic,5,,,,,5,
78,Luxembourg,5,,,,,5,
79,New Zealand,5,,,,,5,
80,Bosnia and Herzegovina,5,,,,,5,
81,French Guiana,5,,,,,5,
82,Malta,5,1,,,,5,
83,Senegal,4,,,,1,3,
84,Bulgaria,4,,,,,4,
85,Serbia,4,2,,,,4,
86,Morocco,3,1,1,1,,2,1
87,Cambodia,3,1,,,1,2,
88,Bangladesh,3,,,,,3,
89,Colombia,3,,,,,3,
90,Moldova,3,2,,,,3,
91,Nigeria,2,,,,,2,
92,Burkina Faso,2,1,,,,2,
93,Cameroon,2,,,,,2,
94,Channel Islands,2,1,,,,2,
95,Cyprus,2,,,,,2,
96,Faeroe Islands,2,,,,,2,
97,Martinique,2,,,,,2,
98,Paraguay,2,1,,,,2,
99,Saint Martin,2,,,,,2,
100,Andorra,1,,,,,1,
101,Armenia,1,,,,,1,
102,Jordan,1,,,,,1,
103,Lithuania,1,,,,,1,
104,Monaco,1,,,,,1,
105,Nepal,1,,,,1,0,
106,Sri Lanka,1,,,,1,0,
107,Ukraine,1,,,,,1,
108,Bhutan,1,,,,,1,
109,Gibraltar,1,,,,1,0,
110,Vatican City,1,,,,,1,
111,Liechtenstein,1,,,,,1,
112,Mongolia,1,1,,,,1,
113,Panama,1,1,,,,1,
114,St. Barth,1,,,,,1,
115,Togo,1,,,,,1,
