,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,911541,"53,222",45532,"3,230",190901,675108,34856
2,USA,205035,"16,505",4516,463,8745,191774,4888
3,Italy,110574,"4,782",13155,727,16847,80572,4035
4,Spain,102136,"6,213",9053,589,22647,70436,5872
5,China,81554,36,3312,7,76238,2004,466
6,Germany,76544,"4,736",858,83,18700,56986,3405
7,France,52128,,3523,,9444,39161,5565
8,Iran,47593,"2,988",3036,138,15473,29084,3871
9,UK,29474,"4,324",2352,563,135,26987,163
10,Switzerland,17137,532,461,28,2967,13709,348
11,Turkey,15679,"2,148",277,63,333,15069,847
12,Belgium,13964,"1,189",828,123,2132,11004,1088
13,Netherlands,13614,"1,019",1173,134,250,12191,1053
14,Austria,10585,405,146,18,1436,9003,215
15,S. Korea,9887,101,165,3,5567,4155,55
16,Canada,9017,405,108,7,1445,7464,120
17,Portugal,8251,808,187,27,43,8021,230
18,Brazil,5923,206,206,5,127,5590,296
19,Israel,5591,233,23,3,226,5342,97
20,Sweden,4947,512,239,59,16,4692,393
21,Australia,4864,101,21,1,345,4498,50
22,Norway,4828,187,43,4,13,4772,105
23,Czechia,3508,200,39,8,61,3408,70
24,Ireland,3447,212,85,14,5,3357,103
25,Denmark,3092,232,104,14,1,2987,145
26,Chile,3031,293,16,4,234,2781,31
27,Malaysia,2908,142,45,2,645,2218,102
28,Russia,2777,440,24,7,190,2563,8
29,Ecuador,2748,446,93,14,58,2597,100
30,Romania,2460,215,86,4,252,2122,57
31,Poland,2420,109,36,3,7,2377,50
32,Luxembourg,2319,141,29,6,80,2210,31
33,Philippines,2311,227,96,8,50,2165,1
34,Japan,2178,,57,,472,1649,69
35,Pakistan,2071,133,26,,82,1963,12
36,Thailand,1771,120,12,2,505,1254,23
37,Saudi Arabia,1720,157,16,6,264,1440,31
38,Indonesia,1677,149,157,21,103,1417,
39,India,1637,240,45,10,148,1444,
40,Finland,1446,28,17,,10,1419,62
41,Greece,1415,101,50,1,52,1313,90
42,South Africa,1380,27,5,,50,1325,7
43,Dominican Republic,1284,175,57,6,9,1218,
44,Iceland,1220,85,2,,225,993,11
45,Mexico,1215,121,29,1,35,1151,1
46,Panama,1181,,30,,9,1142,50
47,Peru,1065,,30,,394,641,49
