,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,3603521,"39,832",250047,"1,901",1169333,2184141,49927
2,,,,,,,,
3,,,,,,,,
4,USA,1194434,"6,312",69008,410,178934,946492,16139
5,,,,,,,,
6,Spain,248301,"1,179",25428,164,151633,71240,2254
7,,,,,,,,
8,Italy,211938,"1,221",29079,195,82879,99980,1479
9,UK,190584,"3,985",28734,288,N/A,161506,1559
10,France,168693,,24895,,50784,93014,3819
11,Germany,165745,81,6866,,132700,26179,1979
12,Russia,145268,"10,581",1356,76,18095,125817,2300
13,Turkey,126045,,3397,,63151,59497,1424
14,Brazil,101826,679,7051,26,42991,51784,8318
15,Iran,98647,"1,223",6277,74,79379,12991,2676
16,China,82880,3,4633,,77766,481,33
17,Canada,59858,384,3767,85,25422,30669,557
18,Belgium,50267,361,7924,80,12378,29965,655
19,,,,,,,,
20,Peru,45928,,1286,,13550,31092,679
21,India,42836,331,1395,4,11782,29659,
22,Netherlands,40770,199,5082,26,N/A,35438,683
23,Switzerland,29981,76,1779,17,24500,3702,141
24,Ecuador,29538,,1564,,3300,24674,149
25,Saudi Arabia,28656,"1,645",191,7,4476,23989,139
26,Portugal,25524,242,1063,20,1712,22749,143
27,Mexico,23471,"1,383",2154,93,13447,7870,378
28,Sweden,22721,404,2769,90,1005,18947,455
29,Ireland,21506,,1303,,13386,6817,98
30,Pakistan,20884,800,476,19,5635,14773,111
31,Chile,20643,980,270,10,10415,9958,464
32,Singapore,18778,573,18,,1457,17303,22
33,Belarus,17489,784,103,4,3259,14127,92
34,Israel,16237,29,234,2,9858,6145,93
35,Qatar,16191,640,12,,1810,14369,72
36,Austria,15621,24,600,2,13316,1705,111
37,Japan,14877,,487,,3981,10409,321
38,UAE,14163,,126,,2763,11274,1
39,Poland,14006,313,698,20,4095,9213,160
40,Romania,13512,349,803,13,5269,7440,243
41,Ukraine,12331,418,303,15,1619,10409,160
42,Indonesia,11587,395,864,19,1954,8769,
43,S. Korea,10801,8,252,2,9217,1332,55
44,Bangladesh,10143,688,182,5,1209,8752,1
45,Denmark,9670,147,493,9,7088,2089,57
46,Serbia,9557,93,197,4,1574,7786,53
47,Philippines,9485,262,623,16,1315,7547,31
48,,,,,,,,
49,Dominican Republic,8235,281,346,13,1771,6118,144
50,Norway,7884,37,214,3,32,7638,27
51,Czechia,7799,18,251,3,3786,3762,58
52,Colombia,7668,,340,,1722,5606,122
53,Panama,7197,107,200,3,641,6356,91
54,Australia,6825,24,95,,5859,871,28
55,South Africa,6783,,131,,2549,4103,36
56,Egypt,6465,,429,,1562,4474,
57,Malaysia,6353,55,105,,4484,1764,28
58,Finland,5327,73,240,10,3500,1587,49
59,Kuwait,5278,295,40,2,1947,3291,79
60,Morocco,5053,150,179,5,1653,3221,1
61,Argentina,4783,,246,,1354,3183,157
62,Algeria,4648,174,465,2,1998,2185,22
63,Moldova,4248,127,128,3,1423,2697,237
64,Kazakhstan,4028,108,27,,1134,2867,40
65,Luxembourg,3828,4,96,,3405,327,21
66,Bahrain,3383,,8,,1718,1657,1
67,Hungary,3035,37,351,11,630,2054,55
68,Thailand,2987,18,54,,2740,193,61
69,Afghanistan,2894,190,90,5,397,2407,7
70,Oman,2637,69,12,,816,1809,17
71,Greece,2632,6,146,2,1374,1112,35
72,Nigeria,2558,,87,,400,2071,4
73,Armenia,2507,121,39,4,1071,1397,10
74,Iraq,2346,50,98,1,1544,704,
75,Uzbekistan,2181,32,10,,1405,766,8
76,Ghana,2169,,18,,229,1922,4
77,Croatia,2101,5,80,1,1522,499,15
78,Cameroon,2077,,64,,953,1060,12
79,Azerbaijan,1984,52,26,1,1480,478,18
80,Bosnia and Herzegovina,1926,69,78,1,855,993,4
81,Iceland,1799,,10,,1717,72,
82,Estonia,1703,3,55,,259,1389,6
83,Cuba,1668,19,69,2,876,723,9
84,Bulgaria,1652,34,78,5,321,1253,40
85,Bolivia,1594,124,76,5,166,1352,3
86,Guinea,1586,,7,,405,1174,
87,North Macedonia,1518,7,85,1,992,441,21
88,New Zealand,1487,,20,,1276,191,
89,Slovenia,1439,,97,1,241,1101,20
90,Lithuania,1419,9,46,,638,735,17
91,Slovakia,1413,5,25,1,643,745,7
92,Ivory Coast,1398,,17,,653,728,
93,Senegal,1271,89,10,1,415,846,4
94,Djibouti,1116,4,2,,713,401,
95,Honduras,1055,45,82,6,118,855,10
96,Hong Kong,1041,1,4,,900,137,1
97,Tunisia,1013,,42,,328,643,25
98,Latvia,896,17,16,,348,532,4
99,Cyprus,874,2,15,,296,563,15
100,Kyrgyzstan,830,35,10,,575,245,13
101,Albania,803,8,31,,543,229,7
102,Somalia,756,34,35,3,61,660,2
103,Niger,750,,36,,518,196,
104,Andorra,748,,45,,493,210,17
105,Lebanon,740,3,25,,200,515,43
106,Costa Rica,739,,6,,386,347,6
107,,,,,,,,
108,Sri Lanka,721,3,8,1,194,519,1
109,Diamond Princess,712,,13,,645,54,4
110,Guatemala,703,15,17,,72,614,5
111,Mayotte,686,36,6,,352,328,6
112,DRC,682,8,34,1,80,568,
113,Sudan,678,86,41,,61,576,
114,Burkina Faso,662,,45,,540,77,
115,Uruguay,655,,17,,442,196,10
116,Georgia,593,4,9,,223,361,6
117,San Marino,582,,41,,86,455,5
118,Mali,580,17,29,2,223,328,
119,El Salvador,555,65,12,1,180,363,3
120,Channel Islands,544,,41,,406,97,
121,Maldives,527,,1,,18,508,2
122,Kenya,490,25,24,,173,293,2
123,Tanzania,480,,16,,167,297,7
124,Malta,480,3,4,,399,77,1
125,Jamaica,469,6,9,1,38,422,2
126,Jordan,465,4,9,,370,86,5
127,Taiwan,438,6,6,,334,98,
128,Réunion,424,1,,,300,124,2
129,Paraguay,396,26,10,,126,260,7
130,Venezuela,357,,10,,158,189,1
131,Palestine,354,1,2,,102,250,
132,Gabon,335,,5,,85,245,1
133,Mauritius,332,,10,,316,6,3
134,Montenegro,323,1,8,,253,62,2
135,Isle of Man,321,,22,,271,28,21
136,Equatorial Guinea,315,,1,,13,301,
137,Vietnam,271,,,,219,52,8
138,Rwanda,259,,,,124,135,
139,Guinea-Bissau,257,,1,,19,237,
140,Tajikistan,230,102,3,1,,227,
141,Congo,229,,9,,25,195,
142,Faeroe Islands,187,,,,185,2,
143,Martinique,179,,14,,83,82,5
144,Sierra Leone,178,12,9,1,37,132,
145,Cabo Verde,175,10,2,,37,136,
146,Liberia,166,8,18,,58,90,
147,Myanmar,161,6,6,,49,106,
148,Guadeloupe,152,,12,,95,45,6
149,Madagascar,149,,,,99,50,1
150,Gibraltar,144,,,,132,12,
151,Ethiopia,140,5,3,,75,62,
152,Brunei,138,,1,,130,7,2
153,Zambia,137,13,3,,78,56,1
154,French Guiana,128,,1,,98,29,2
155,Togo,126,2,9,,74,43,
156,Cambodia,122,,,,120,2,1
157,Chad,117,,10,,39,68,
158,Trinidad and Tobago,116,,8,,96,12,
159,Eswatini,116,4,1,,12,103,
160,Bermuda,115,,7,,51,57,4
161,Aruba,100,,2,,81,17,4
162,Benin,96,6,2,,50,44,
163,Monaco,95,,4,,78,13,1
164,Uganda,89,,,,55,34,
165,Haiti,88,3,9,1,10,69,
166,CAR,85,13,,,10,75,
167,Bahamas,83,,11,,24,48,1
168,Guyana,82,,9,,22,51,2
169,Barbados,82,1,7,,44,31,4
