,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,81171,78,3277,7,73159,4735,1573
2,Italy,69176,"5,249",6820,743,8326,54030,3393
3,USA,49665,"5,931",622,69,361,48682,1175
4,Spain,39676,"4,540",2800,489,3794,33082,2355
5,Germany,32781,"3,725",156,33,3133,29492,23
6,Iran,24811,"1,762",1934,122,8913,13964,
7,France,19856,,860,,2200,16796,2082
8,Switzerland,9117,322,122,2,131,8864,141
9,S. Korea,9037,76,120,9,3507,5410,59
10,UK,8077,"1,427",422,87,135,7520,20
11,Netherlands,5560,811,276,63,2,5282,435
12,Austria,5010,536,28,7,9,4973,22
13,Belgium,4269,526,122,34,461,3686,381
14,Norway,2768,143,12,2,6,2750,44
15,Canada,2583,492,25,1,112,2446,1
16,Portugal,2362,302,33,10,22,2307,48
17,Sweden,2286,240,36,9,16,2234,136
18,Australia,2144,257,8,1,118,2018,11
19,Brazil,1980,56,34,,2,1944,18
20,Israel,1656,214,3,2,49,1604,31
21,Malaysia,1624,106,15,1,183,1426,64
22,Denmark,1591,131,32,8,1,1558,69
23,Turkey,1529,,37,,,1492,
24,Czechia,1394,158,2,1,8,1384,19
25,Japan,1193,65,43,1,285,865,54
26,Ireland,1125,,6,,5,1114,29
27,Luxembourg,1099,224,8,,6,1085,3
28,Ecuador,1049,68,27,9,3,1019,2
29,Pakistan,958,83,7,1,13,938,
30,Chile,922,176,2,,17,903,7
31,Poland,848,99,9,1,1,838,3
32,Thailand,827,106,4,3,52,771,7
33,Finland,792,92,1,,10,781,11
34,Saudi Arabia,767,205,1,1,28,738,
35,Romania,762,186,8,1,79,675,15
36,Greece,743,48,20,3,29,694,35
37,Diamond Princess,712,,10,2,587,115,15
38,Indonesia,686,107,55,6,30,601,
39,Iceland,648,60,2,1,51,595,13
40,Singapore,558,49,2,,156,400,14
41,South Africa,554,152,,,4,550,2
42,Philippines,552,90,35,2,20,497,1
43,India,519,20,10,,40,469,
44,Qatar,501,,,,37,464,6
45,Russia,495,57,1,,22,472,8
46,Slovenia,480,38,4,1,3,473,12
47,Peru,416,21,5,,1,410,19
48,Bahrain,390,13,3,1,177,210,2
49,Hong Kong,386,29,4,,102,280,4
50,Croatia,382,67,1,,5,376,6
51,Estonia,369,17,,,7,362,4
52,Mexico,367,51,4,1,4,359,1
53,Egypt,366,,19,,68,279,
54,Panama,345,,6,,1,338,33
55,Iraq,316,50,27,4,75,214,
56,Dominican Republic,312,67,6,3,3,303,
57,Colombia,306,29,3,,6,297,
58,Lebanon,304,37,4,,8,292,4
59,Serbia,303,54,3,,15,285,21
60,Argentina,301,,6,2,51,244,
61,Algeria,264,34,19,2,24,221,
62,Armenia,249,14,,,4,245,6
63,UAE,248,50,2,,45,201,2
64,Bulgaria,218,17,3,,3,212,8
65,Taiwan,216,21,2,,29,185,
66,Lithuania,209,30,1,,1,207,1
67,Slovakia,204,18,,,7,197,2
68,Latvia,197,17,,,1,196,
