,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,80849,25,3199,10,66931,10719,3226
2,Italy,24747,"3,590",1809,368,2335,20603,1672
3,Iran,13938,"1,209",724,113,4590,8624,
4,S. Korea,8162,76,75,3,834,7253,59
5,Spain,7798,"1,407",292,96,517,6989,272
6,Germany,5813,"1,214",11,2,46,5756,2
7,France,4499,30,91,,12,4396,300
8,USA,3329,386,63,6,59,3207,10
9,Switzerland,2217,842,14,1,4,2199,
10,UK,1372,232,35,14,20,1317,20
11,Norway,1231,122,3,,1,1227,27
12,Netherlands,1135,176,20,8,2,1113,45
13,Sweden,1032,71,3,1,1,1028,2
14,Belgium,886,197,4,,1,881,33
15,Denmark,864,28,2,1,1,861,2
16,Austria,860,205,1,,6,853,1
17,Japan,839,35,24,2,144,671,36
18,Diamond Princess,696,,7,,456,233,15
19,Malaysia,428,190,,,42,386,9
20,Qatar,401,64,,,4,397,
21,Greece,331,103,4,1,8,319,5
22,Canada,317,65,1,,11,305,1
23,Australia,300,52,5,2,27,268,1
24,Czechia,253,64,,,,253,2
25,Portugal,245,76,,,2,243,9
26,Finland,244,19,,,10,234,
27,Singapore,226,14,,,105,121,11
28,Slovenia,219,38,1,,,218,3
29,Bahrain,214,2,,,60,154,2
30,Israel,213,20,,,4,209,2
31,Estonia,171,56,,,1,170,
32,Iceland,171,10,,,,171,1
33,Ireland,169,40,2,,1,166,6
34,Hong Kong,149,7,4,,81,64,4
35,Philippines,140,29,11,3,2,127,1
36,Romania,139,16,,,9,130,1
37,Iraq,124,14,10,,26,88,
38,Poland,123,19,3,,13,107,3
39,Brazil,121,,,,1,120,2
40,Indonesia,117,21,5,,8,104,
41,Thailand,114,32,1,,35,78,1
42,Kuwait,112,8,,,9,103,4
43,India,111,11,2,,13,96,
44,Egypt,110,,2,,27,81,
45,Saudi Arabia,103,,,,2,101,
46,San Marino,101,,5,,4,92,3
47,Lebanon,99,6,3,,1,95,3
48,UAE,98,13,,,20,78,2
49,Chile,75,14,,,,75,
50,Russia,63,4,,,8,55,
51,Slovakia,61,17,,,,61,
52,South Africa,61,23,,,,61,
53,Luxembourg,59,8,1,,,58,
54,Taiwan,59,6,1,,20,38,
55,Vietnam,56,3,,,16,40,
56,Pakistan,53,20,,,2,51,
57,Bulgaria,51,10,2,,,49,
58,Brunei,50,10,,,,50,
59,Croatia,49,10,,,2,47,
60,Algeria,48,9,4,1,10,34,
61,Serbia,48,2,,,1,47,1
62,Argentina,45,,2,,,43,1
63,Panama,43,,1,,,42,
64,Peru,43,,,,,43,
65,Albania,42,4,1,,,41,2
66,Mexico,41,15,,,4,37,1
67,Palestine,38,,,,,38,
68,Colombia,34,10,,,,34,
69,Georgia,33,3,,,1,32,1
70,Cyprus,33,7,,,,33,1
71,Hungary,32,2,1,1,1,30,
72,Latvia,30,4,,,1,29,
73,Ecuador,28,,2,,,26,1
74,Morocco,28,10,1,,1,26,1
75,Belarus,27,,,,3,24,
76,Costa Rica,27,,,,,27,1
77,Armenia,26,6,,,,26,
78,Senegal,24,,,,2,22,
79,Bosnia and Herzegovina,24,3,,,,24,
