,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,80790,36,3158,22,61611,16021,4492
2,Italy,12462,"2,313",827,196,1045,10590,1028
3,Iran,9000,958,354,63,2959,5687,
4,S. Korea,7755,242,60,,288,7407,54
5,Spain,2222,527,54,18,183,1985,101
6,Germany,1908,343,3,1,25,1880,9
7,France,1784,,33,,12,1739,86
8,USA,1109,115,31,1,15,1063,10
9,Diamond Princess,696,,7,,325,364,32
10,Switzerland,652,155,4,1,3,645,
11,Japan,639,52,15,3,118,506,26
12,Norway,582,182,,,1,581,
13,Netherlands,503,121,5,1,,498,1
14,Sweden,497,142,1,1,1,495,2
15,UK,456,73,6,,18,432,
16,Denmark,442,180,,,1,441,
17,Belgium,314,47,3,3,1,310,2
18,Qatar,262,238,,,,262,
19,Austria,246,64,,,4,242,1
20,Bahrain,189,79,,,35,154,1
21,Singapore,178,12,,,96,82,12
22,Malaysia,149,20,,,26,123,2
23,Australia,127,11,3,,24,100,1
24,Hong Kong,126,5,3,,60,63,6
25,Canada,99,4,1,,9,89,1
26,Greece,99,10,,,,99,2
27,Iceland,85,4,,,1,84,
28,Israel,79,4,,,4,75,1
29,Czechia,75,12,,,,75,
30,UAE,74,,,,17,57,2
31,Kuwait,72,3,,,2,70,3
32,Iraq,71,,7,,15,49,
33,San Marino,62,,2,,,60,5
34,India,62,,,,4,58,
35,Lebanon,61,9,2,1,1,58,3
36,Egypt,60,1,1,,27,32,
37,Thailand,59,6,1,,34,24,1
38,Finland,59,19,,,1,58,
39,Portugal,59,18,,,,59,1
40,Slovenia,57,23,,,,57,
41,Philippines,49,16,1,,2,46,1
42,Taiwan,48,1,1,,17,30,
43,Romania,39,10,,,6,33,
44,Vietnam,38,4,,,16,22,
45,Brazil,35,1,,,,35,2
46,Indonesia,34,7,1,1,2,31,
47,Ireland,34,,1,1,,33,
48,Poland,31,9,,,,31,3
49,Palestine,30,1,,,,30,
50,Georgia,24,1,,,,24,1
51,Chile,23,6,,,,23,
52,Saudi Arabia,21,1,,,1,20,
53,Algeria,20,,,,,20,
54,Russia,20,,,,3,17,
55,Argentina,19,,1,,,18,1
56,Pakistan,19,,,,2,17,
57,Oman,18,,,,9,9,
58,Ecuador,17,,,,,17,1
59,Croatia,16,1,,,,16,
60,Estonia,16,3,,,,16,
61,Costa Rica,13,,,,,13,1
62,Hungary,13,1,,,,13,
63,South Africa,13,6,,,,13,
64,Albania,12,2,1,1,,11,
65,Serbia,12,7,,,,12,
66,Azerbaijan,11,,,,3,8,
67,Brunei,11,5,,,,11,
68,Peru,11,,,,,11,
69,Macao,10,,,,10,0,
70,Latvia,10,2,,,1,9,
71,Slovakia,10,3,,,,10,
72,Belarus,9,,,,3,6,
73,Colombia,9,6,,,,9,
74,Panama,8,7,1,1,,7,
75,Mexico,8,1,,,4,4,1
76,Maldives,8,2,,,,8,
77,Afghanistan,7,2,,,,7,
78,Luxembourg,7,,,,,7,
79,North Macedonia,7,,,,,7,
80,Tunisia,7,1,,,,7,1
81,Bosnia and Herzegovina,7,,,,,7,
82,Bulgaria,6,,1,1,,5,
83,Cyprus,6,4,,,,6,
84,Malta,6,1,,,,6,
85,Morocco,5,2,1,,,4,1
86,Dominican Republic,5,,,,,5,
87,New Zealand,5,,,,,5,
88,French Guiana,5,,,,,5,
89,Paraguay,5,3,,,,5,1
90,Senegal,4,,,,1,3,
91,Cambodia,3,,,,1,2,
92,Lithuania,3,,,,,3,
93,Bangladesh,3,,,,,3,
94,Martinique,3,,,,,3,
95,Moldova,3,,,,,3,
96,Nigeria,2,,,,,2,
97,Sri Lanka,2,1,,,1,1,
98,Bolivia,2,,,,,2,
99,Burkina Faso,2,,,,,2,
100,Cameroon,2,,,,,2,
101,Channel Islands,2,,,,,2,
102,Faeroe Islands,2,,,,,2,
103,Honduras,2,2,,,,2,
104,Saint Martin,2,,,,,2,
105,Andorra,1,,,,,1,
106,Armenia,1,,,,,1,
107,Jordan,1,,,,,1,
108,Monaco,1,,,,,1,
109,Nepal,1,,,,1,0,
110,Ukraine,1,,,,,1,
111,Bhutan,1,,,,,1,
112,DRC,1,,,,,1,
113,Gibraltar,1,,,,1,0,
114,Vatican City,1,,,,,1,
115,Jamaica,1,,,,,1,
116,Liechtenstein,1,,,,,1,
117,Mongolia,1,,,,,1,
118,Réunion,1,1,,,,1,
119,St. Barth,1,,,,,1,
120,Togo,1,,,,,1,
121,Turkey,1,,,,,1,
