,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,80967,39,3248,3,71150,6569,2136
2,Italy,47021,"5,986",4032,627,5129,37860,2655
3,Spain,20412,"2,335",1043,212,1588,17781,939
4,Iran,19644,"1,237",1433,149,6745,11466,
5,Germany,18794,"3,474",53,9,180,18561,2
6,USA,16545,"2,756",225,18,125,16195,64
7,France,10995,,372,,1295,9328,1122
8,S. Korea,8652,87,94,3,2233,6325,59
9,Switzerland,5369,"1,147",56,13,15,5298,
10,UK,3269,,184,40,65,3020,20
11,Netherlands,2994,534,106,30,2,2886,210
12,Austria,2491,312,6,,9,2476,14
13,Belgium,2257,462,37,16,204,2016,164
14,Norway,1921,131,7,,1,1913,27
15,Sweden,1639,200,16,5,16,1607,21
16,Denmark,1255,104,9,3,1,1245,37
17,Malaysia,1030,130,3,1,87,940,26
18,Portugal,1020,234,6,2,5,1009,26
19,Japan,963,20,33,,215,715,50
20,Canada,924,51,12,,11,901,1
21,Australia,876,120,7,,46,823,2
22,Czechia,833,139,,,4,829,6
23,Diamond Princess,712,,7,,527,178,14
24,Israel,705,28,,,15,690,10
25,Brazil,654,14,7,,2,645,18
26,Ireland,557,,3,,5,549,6
27,Pakistan,500,46,3,1,13,484,
28,Greece,495,31,9,3,19,467,20
29,Luxembourg,484,149,5,1,6,473,1
30,Qatar,460,,,,10,450,6
31,Finland,450,50,,,10,440,2
32,Chile,434,92,,,6,428,7
33,Poland,411,56,5,,13,393,3
34,Iceland,409,79,,,5,404,1
35,Singapore,385,40,,,131,254,14
36,Indonesia,369,60,32,7,17,320,
37,Ecuador,367,107,5,2,3,359,2
38,Turkey,359,,4,,,355,
39,Saudi Arabia,344,70,,,8,336,
40,Slovenia,341,22,1,,,340,6
41,Thailand,322,50,1,,42,279,1
42,Romania,308,31,,,31,277,11
43,Bahrain,291,12,1,,112,178,4
44,Estonia,283,16,,,1,282,1
45,Egypt,256,,7,,42,207,
46,Hong Kong,256,48,4,,98,154,4
47,Russia,253,54,1,,12,240,
48,India,249,55,5,1,23,221,
49,Peru,234,,4,3,1,229,7
50,Philippines,230,13,18,1,8,204,1
51,South Africa,202,52,,,,202,
52,Iraq,192,,13,,49,130,
53,Mexico,164,46,1,,4,159,1
54,Lebanon,163,6,4,,4,155,3
55,Kuwait,159,11,,,22,137,5
56,Colombia,145,37,,,1,144,
57,San Marino,144,,14,,4,126,12
58,UAE,140,,,,31,109,2
59,Panama,137,,1,,1,135,7
60,Slovakia,137,13,,,,137,2
61,Armenia,136,14,,,1,135,2
62,Taiwan,135,27,2,1,28,105,
63,Serbia,135,32,1,1,2,132,4
64,Bulgaria,129,22,3,,1,125,
65,Argentina,128,,3,,3,122,
66,Croatia,128,18,1,,5,122,
67,Latvia,111,25,,,1,110,
68,Uruguay,94,15,,,,94,
69,Vietnam,91,6,,,17,74,
70,Algeria,90,,11,2,32,47,
71,Costa Rica,89,2,2,1,,87,2
72,Hungary,85,12,3,2,7,75,6
73,Bosnia and Herzegovina,83,19,,,2,81,1
74,Faeroe Islands,80,8,,,3,77,
75,Brunei,78,5,,,1,77,2
76,Andorra,75,1,,,1,74,2
77,Cyprus,75,8,,,,75,1
78,Morocco,74,11,3,1,2,69,1
79,Sri Lanka,73,13,,,3,70,
80,Dominican Republic,72,38,2,,,70,
81,Albania,70,6,2,,,68,2
82,North Macedonia,70,20,,,1,69,1
83,Belarus,69,18,,,15,54,
84,Jordan,69,,,,1,68,
85,Moldova,66,17,1,,1,64,3
86,Malta,64,11,,,2,62,1
87,Lithuania,63,15,,,1,62,1
88,Tunisia,54,15,1,,1,52,2
89,Kazakhstan,52,8,,,,52,
90,Cambodia,51,14,,,1,50,
91,Oman,48,,,,13,35,
92,Palestine,48,1,,,17,31,
93,Guadeloupe,45,12,,,,45,
94,Azerbaijan,44,,1,,7,36,
95,Georgia,44,4,,,1,43,1
96,Venezuela,42,,,,,42,
97,Burkina Faso,40,7,1,,4,35,
98,New Zealand,39,11,,,,39,
99,Senegal,38,2,,,2,36,
100,Uzbekistan,33,10,,,,33,
101,Martinique,32,9,1,,,31,7
102,Liechtenstein,28,,,,,28,
103,Réunion,28,,,,,28,
104,Ukraine,26,,3,,1,22,
105,Afghanistan,24,2,,,1,23,
106,Honduras,24,12,,,,24,
107,Bangladesh,20,2,1,,3,16,1
108,Cameroon,20,7,,,2,18,
109,DRC,18,4,,,,18,
110,Macao,17,,,,10,7,
111,Cuba,16,5,1,,,15,
112,Jamaica,16,1,1,,2,13,
113,Bolivia,16,1,,,,16,
114,Ghana,16,5,,,,16,
115,Guyana,15,10,1,,,14,
116,French Guiana,15,,,,,15,
117,Guam,14,2,,,,14,
118,Montenegro,14,1,,,,14,
119,Puerto Rico,14,8,,,,14,
120,Maldives,13,,,,,13,
121,Paraguay,13,,,,,13,1
122,Guatemala,12,3,1,,,11,
123,Nigeria,12,,,,1,11,
124,Mauritius,12,5,,,,12,
125,Monaco,11,1,,,,11,
126,Channel Islands,11,,,,,11,
127,French Polynesia,11,5,,,,11,
128,Rwanda,11,,,,,11,
129,Gibraltar,10,,,,2,8,
130,Ivory Coast,9,,,,1,8,
131,Ethiopia,9,2,,,,9,
132,Togo,9,8,,,,9,
133,Trinidad and Tobago,9,,,,,9,
134,Kenya,7,,,,,7,
135,Seychelles,7,1,,,,7,
136,Equatorial Guinea,6,,,,,6,
137,Kyrgyzstan,6,3,,,,6,
138,Mayotte,6,2,,,,6,
139,Mongolia,6,,,,,6,
140,Tanzania,6,,,,,6,
141,Aruba,5,,,,1,4,
142,Barbados,5,,,,,5,
143,Saint Martin,4,1,,,,4,
144,Suriname,4,3,,,,4,
145,Cayman Islands,3,,1,,,2,
146,Curaçao,3,,1,,,2,
147,Gabon,3,,1,1,,2,
148,Bahamas,3,,,,,3,
149,CAR,3,2,,,,3,
150,Congo,3,,,,,3,
151,Namibia,3,,,,,3,
152,St. Barth,3,,,,,3,
153,U.S. Virgin Islands,3,,,,,3,
154,Sudan,2,,1,,,1,
155,Benin,2,,,,,2,
