,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,81218,47,3281,4,73650,4287,1399
2,Italy,74386,"5,210",7503,683,9362,57521,3489
3,USA,60653,"5,797",819,39,387,59447,1307
4,Spain,47610,"5,552",3434,443,5367,38809,2636
5,Germany,35740,"2,749",186,27,3540,32014,23
6,Iran,27017,"2,206",2077,143,9625,15315,
7,France,22304,,1100,,3281,17923,2516
8,Switzerland,10537,660,149,27,131,10257,141
9,S. Korea,9137,100,126,6,3730,5281,59
10,UK,8227,150,433,11,135,7659,20
11,Netherlands,6412,852,356,80,3,6053,582
12,Austria,5588,305,30,2,9,5549,28
13,Belgium,4937,668,178,56,547,4212,474
14,Norway,3034,168,14,2,6,3014,57
15,Portugal,2995,633,43,10,22,2930,61
16,Canada,2923,131,28,2,185,2710,1
17,Sweden,2526,227,44,4,16,2466,158
18,Australia,2431,114,9,1,118,2304,11
19,Brazil,2274,27,47,1,2,2225,18
20,Israel,2170,240,5,2,58,2107,37
21,Turkey,1872,,44,,26,1802,
22,Malaysia,1796,172,20,4,199,1577,64
23,Denmark,1715,124,34,2,1,1680,69
24,Czechia,1654,260,6,3,10,1638,19
25,Luxembourg,1333,234,8,,6,1319,3
26,Ireland,1329,,7,,5,1317,29
27,Japan,1193,,43,,285,865,54
28,Ecuador,1173,91,28,1,3,1142,2
29,Chile,1142,220,3,1,22,1117,7
30,Poland,1031,130,14,4,2,1015,3
31,Pakistan,1022,50,8,1,21,993,5
32,Thailand,934,107,4,,70,860,11
33,Romania,906,112,14,2,86,806,18
34,Saudi Arabia,900,133,2,1,29,869,
35,Finland,880,88,3,2,10,867,22
36,Greece,821,78,22,2,36,763,53
37,Indonesia,790,104,58,3,31,701,
38,Iceland,737,89,2,,56,679,11
39,Diamond Princess,712,,10,,587,115,15
40,South Africa,709,155,,,12,697,2
41,Russia,658,163,1,,29,628,8
42,Philippines,636,84,38,3,26,572,1
43,Singapore,631,73,2,,160,469,17
44,India,606,70,10,,42,554,
45,Slovenia,528,48,5,1,10,513,14
46,Qatar,526,,,,41,485,6
47,Panama,443,,8,2,1,434,33
48,Egypt,442,40,21,1,93,328,
49,Croatia,442,60,1,,22,419,6
50,Bahrain,419,27,3,,177,239,2
51,Peru,416,,9,2,1,406,9
52,Hong Kong,410,23,4,,102,304,4
53,Mexico,405,38,5,1,4,396,1
54,Estonia,404,35,1,1,8,395,5
55,Dominican Republic,392,80,10,4,3,379,
56,Argentina,387,,8,2,52,327,
57,Serbia,384,81,4,1,15,365,21
58,Colombia,378,,3,,6,369,
59,Iraq,346,30,29,2,103,214,
60,Lebanon,333,15,4,,8,321,4
61,UAE,333,85,2,,52,279,2
62,Algeria,302,38,21,2,65,216,
63,Armenia,265,16,,,16,249,6
64,Lithuania,255,46,4,2,1,250,1
65,Bulgaria,242,24,3,,4,235,8
66,Taiwan,235,19,2,,29,204,
67,Hungary,226,39,10,1,21,195,6
68,Latvia,221,24,,,1,220,
69,Slovakia,216,12,,,7,209,2
70,New Zealand,205,,,,22,183,
71,Kuwait,195,4,,,43,152,6
72,Uruguay,189,,,,,189,3
73,Andorra,188,24,1,,1,186,6
74,San Marino,187,,21,,4,162,12
75,North Macedonia,177,29,3,1,1,173,1
76,Costa Rica,177,,2,,2,173,4
77,Tunisia,173,59,5,1,2,166,11
78,Morocco,170,,5,,6,159,1
79,Bosnia and Herzegovina,168,,3,,2,163,1
80,Jordan,154,,,,1,153,
81,Moldova,149,24,1,,2,146,20
82,Albania,146,23,5,,17,124,3
83,Vietnam,141,7,,,17,124,3
84,Cyprus,132,8,3,,3,126,3
85,Faeroe Islands,132,10,,,38,94,2
86,Malta,129,19,,,2,127,1
87,Ukraine,116,14,4,1,1,111,
88,Burkina Faso,114,,4,,7,103,
89,Réunion,111,17,,,1,110,
90,Brunei,109,5,,,2,107,1
91,Sri Lanka,102,,,,3,99,2
92,Oman,99,15,,,17,82,
93,Senegal,99,13,,,9,90,
94,Cambodia,96,5,,,10,86,1
95,Azerbaijan,93,6,2,1,10,81,6
96,Venezuela,91,7,,,15,76,2
97,Belarus,86,5,,,29,57,2
98,Afghanistan,84,10,2,1,2,80,
99,Kazakhstan,80,8,,,,80,
100,Guadeloupe,73,,1,,,72,4
101,Georgia,73,3,,,10,63,1
102,Ivory Coast,73,,,,2,71,
103,Cameroon,70,4,1,,2,67,
104,Ghana,68,15,3,1,,65,
105,Palestine,64,4,1,1,16,47,
106,Trinidad and Tobago,60,3,,,,60,
107,Uzbekistan,59,9,,,,59,4
108,Cuba,57,9,1,,1,55,2
109,Martinique,57,,1,,,56,7
110,Montenegro,52,5,1,,,51,
111,Liechtenstein,51,,,,,51,
112,DRC,48,3,2,,,46,
113,Mauritius,48,6,2,,,46,1
114,Nigeria,46,2,1,,2,43,
115,Kyrgyzstan,44,2,,,,44,
116,Rwanda,40,,,,,40,
117,Bangladesh,39,,5,1,7,27,
118,Channel Islands,39,3,,,,39,
119,Paraguay,37,10,3,1,,34,1
120,Honduras,36,6,,,,36,
121,Mayotte,36,,,,,36,
122,Bolivia,32,3,,,,32,
123,Macao,30,1,,,10,20,
124,Kenya,28,3,,,1,27,
125,Monaco,27,4,,,1,26,
126,Gibraltar,26,11,,,5,21,
127,Jamaica,25,4,1,,2,22,
128,French Polynesia,25,,,,,25,
129,French Guiana,23,,,,6,17,
130,Isle of Man,23,,,,,23,
131,Togo,23,3,,,1,22,
132,Guatemala,21,,1,,,20,
133,Madagascar,19,2,,,,19,
134,Barbados,18,,,,,18,
135,Aruba,17,,,,1,16,
136,New Caledonia,14,4,,,,14,
137,Uganda,14,5,,,,14,
138,Maldives,13,,,,8,5,
139,Ethiopia,12,,,,,12,
140,Tanzania,12,,,,,12,
141,Zambia,12,9,,,,12,
142,Djibouti,11,8,,,,11,
143,Mongolia,10,,,,,10,
144,El Salvador,9,4,,,,9,
145,Equatorial Guinea,9,,,,,9,
146,Saint Martin,8,,,,,8,
147,Suriname,8,1,,,,8,
148,Niger,7,4,1,1,,6,
149,Dominica,7,,,,,7,
150,Haiti,7,,,,,7,
151,Namibia,7,,,,2,5,
152,Seychelles,7,,,,,7,
153,Cayman Islands,6,,1,,,5,
154,Curaçao,6,,1,,,5,
155,Gabon,6,,1,,,5,
156,Benin,6,,,,,6,
157,Bermuda,6,,,,,6,
158,Greenland,6,1,,,2,4,
159,Guyana,5,,1,,,4,
160,Bahamas,5,,,,1,4,
161,Fiji,5,1,,,,5,
162,Mozambique,5,2,,,,5,
163,Cabo Verde,4,1,1,,,3,
164,Congo,4,,,,,4,
165,Guinea,4,,,,,4,
166,Vatican City,4,,,,,4,
167,Eswatini,4,,,,,4,
168,Syria,4,3,,,,4,
169,Gambia,3,,1,,,2,
170,Sudan,3,,1,,,2,
171,Zimbabwe,3,,1,,,2,
172,Nepal,3,1,,,1,2,
173,Angola,3,,,,,3,
174,Antigua and Barbuda,3,,,,,3,
175,CAR,3,,,,,3,
176,Chad,3,,,,,3,
177,Laos,3,1,,,,3,
178,Liberia,3,,,,,3,
179,Myanmar,3,,,,,3,
180,St. Barth,3,,,,,3,
181,Saint Lucia,3,,,,,3,
182,Sint Maarten,3,1,,,,3,
183,Bhutan,2,,,,,2,
184,Guinea-Bissau,2,2,,,,2,
185,Mali,2,2,,,,2,
186,Mauritania,2,,,,,2,
187,Nicaragua,2,,,,,2,
188,Belize,1,,,,,1,
189,Eritrea,1,,,,,1,
190,Grenada,1,,,,,1,
191,Libya,1,,,,,1,
192,Montserrat,1,,,,,1,
193,Papua New Guinea,1,,,,,1,
194,St. Vincent Grenadines,1,,,,,1,
195,Somalia,1,,,,,1,
196,Timor-Leste,1,,,,,1,
197,Turks and Caicos,1,,,,,1,
