,country,total,new case,death,new_death,active_cases,recovered,critical
1,China,80652,100,3070,28,22061,55521,5489
2,S. Korea,7041,448,48,5,6875,118,36
3,Italy,5883,"1,247",233,36,5061,589,567
4,Iran,5823,"1,076",145,21,4009,1669,
5,Germany,800,130,,,782,18,9
6,France,716,63,11,2,693,12,21
7,Diamond Princess,696,,6,,445,245,32
8,Spain,503,102,10,2,463,30,9
9,Japan,461,41,6,,379,76,28
10,USA,365,46,17,2,333,15,8
11,Switzerland,268,54,1,,264,3,
12,UK,206,42,2,,186,18,
13,Netherlands,188,60,1,,187,,1
14,Belgium,169,60,,,168,1,1
15,Sweden,161,24,,,160,1,
16,Norway,155,28,,,154,1,
17,Singapore,138,8,,,48,90,8
18,Hong Kong,108,,2,,55,51,6
19,Malaysia,93,10,,,70,23,
20,Bahrain,85,25,,,81,4,
21,Austria,79,13,,,77,2,1
22,Australia,64,1,2,,40,22,1
23,Kuwait,61,3,,,60,1,
24,Iraq,54,8,4,,49,1,
25,Canada,54,,,,46,8,1
26,Thailand,50,2,1,,18,31,1
27,Iceland,50,5,,,49,1,
28,Greece,46,1,,,46,,1
29,Taiwan,45,,1,,29,15,
30,UAE,45,,,,38,7,2
31,India,34,3,,,31,3,
32,Lebanon,28,6,,,27,1,3
33,Denmark,27,6,,,26,1,
34,San Marino,23,,1,,22,,4
35,Czechia,21,2,,,21,,
36,Israel,21,,,,19,2,
37,Portugal,20,7,,,20,,
38,Vietnam,20,3,,,4,16,
39,Algeria,19,2,,,19,,
40,Finland,19,4,,,18,1,
41,Palestine,19,3,,,19,,
42,Ireland,18,,,,18,,
43,Oman,16,,,,14,2,
44,Egypt,15,,,,14,1,
45,Brazil,14,1,,,14,,
46,Ecuador,14,1,,,14,,1
47,Russia,14,1,,,12,2,
48,Georgia,13,4,,,13,,1
49,Romania,13,4,,,10,3,
50,Croatia,12,1,,,12,,
51,Qatar,12,1,,,12,,
52,Slovenia,12,4,,,12,,
53,Macao,10,,,,0,10,
54,Estonia,10,,,,10,,
55,Azerbaijan,9,,,,9,,
56,Argentina,8,,,,8,,
57,Saudi Arabia,7,2,,,6,1,
58,Philippines,6,1,1,,3,2,1
59,Belarus,6,,,,6,,
60,Mexico,6,,,,5,1,
61,Pakistan,6,,,,5,1,
62,Poland,6,1,,,6,,
63,New Zealand,5,1,,,5,,
64,Chile,5,,,,5,,
65,Hungary,5,1,,,5,,
66,Afghanistan,4,3,,,4,,
67,Indonesia,4,,,,4,,
68,Senegal,4,,,,3,1,
69,Luxembourg,3,,,,3,,
70,North Macedonia,3,,,,3,,
71,Bosnia and Herzegovina,3,,,,3,,
72,Slovakia,3,2,,,3,,
73,Cambodia,2,1,,,1,1,
74,Dominican Republic,2,,,,2,,
75,Morocco,2,,,,2,,1
76,Cameroon,2,,,,2,,
77,Faeroe Islands,2,,,,2,,
78,Maldives,2,2,,,2,,
79,South Africa,2,1,,,2,,
80,Andorra,1,,,,1,,
81,Armenia,1,,,,1,,
82,Jordan,1,,,,1,,
83,Latvia,1,,,,0,1,
84,Lithuania,1,,,,1,,
85,Monaco,1,,,,1,,
86,Nepal,1,,,,0,1,
87,Nigeria,1,,,,1,,
88,Sri Lanka,1,,,,0,1,
89,Tunisia,1,,,,1,,
90,Ukraine,1,,,,1,,
91,Bhutan,1,,,,1,,
92,Colombia,1,,,,1,,
93,Costa Rica,1,,,,1,,
94,Gibraltar,1,,,,1,,1
95,Vatican City,1,,,,1,,
96,Liechtenstein,1,,,,1,,
97,Malta,1,1,,,1,,
98,Peru,1,,,,1,,
99,Serbia,1,,,,1,,
100,Togo,1,,,,1,,
