,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,80703,52,3098,28,57333,20272,5264
2,Italy,7375,"1,492",366,133,622,6387,650
3,S. Korea,7313,272,50,2,130,7133,36
4,Iran,6566,743,194,49,2134,4238,
5,France,1126,177,19,3,12,1095,45
6,Germany,1040,240,,,18,1022,9
7,Diamond Princess,696,,7,,245,444,32
8,Spain,613,88,17,7,30,566,9
9,Japan,502,41,7,1,76,419,28
10,USA,474,39,19,,15,440,8
11,Switzerland,337,69,2,1,3,332,
12,UK,273,64,2,,18,253,
13,Netherlands,265,77,3,2,,262,1
14,Sweden,203,42,,,1,202,
15,Belgium,200,31,,,1,199,1
16,Norway,173,17,,,1,172,
17,Singapore,150,12,,,90,60,9
18,Hong Kong,114,6,3,1,55,56,6
19,Austria,104,23,,,2,102,1
20,Malaysia,99,6,,,24,75,
21,Bahrain,85,,,,6,79,
22,Australia,80,6,3,,22,55,1
23,Greece,73,7,,,,73,1
24,Canada,64,4,,,8,56,1
25,Kuwait,64,3,,,1,63,3
26,Iraq,60,6,6,2,1,53,
27,Iceland,55,5,,,1,54,
28,Thailand,50,,1,,31,18,1
29,Egypt,49,1,1,1,1,47,
30,Taiwan,45,,1,,15,29,
31,UAE,45,,,,7,38,2
32,India,40,6,,,3,37,
33,San Marino,36,10,1,,,35,5
34,Denmark,35,8,,,1,34,
35,Lebanon,32,4,,,1,31,3
36,Czechia,31,5,,,,31,
37,Portugal,30,9,,,,30,
38,Vietnam,30,10,,,16,14,
39,Israel,25,,,,3,22,1
40,Finland,24,5,,,1,23,
41,Ireland,21,2,,,,21,
42,Algeria,20,1,,,,20,
43,Brazil,20,1,,,,21,1
44,Palestine,19,,,,,19,
45,Russia,17,3,,,3,14,
46,Oman,16,,,,2,14,
47,Slovenia,16,4,,,,16,
48,Qatar,15,3,,,,15,
49,Romania,15,2,,,4,11,
50,Ecuador,14,,,,,14,1
51,Georgia,13,,,,,13,1
52,Croatia,12,,,,,12,
53,Saudi Arabia,11,4,,,1,10,
54,Philippines,10,4,1,,2,7,1
55,Macao,10,,,,10,0,
56,Estonia,10,,,,,10,
57,Argentina,9,,1,,,8,
58,Azerbaijan,9,,,,,9,
59,Chile,8,1,,,,8,
60,Poland,8,2,,,,8,
61,Mexico,7,1,,,1,6,1
62,Pakistan,7,1,,,1,6,
63,Hungary,7,2,,,,7,
64,Belarus,6,,,,,6,
65,Indonesia,6,2,,,,6,
66,Peru,6,,,,,6,
67,Dominican Republic,5,3,,,,5,
68,Luxembourg,5,1,,,,5,
69,New Zealand,5,,,,,5,
70,Costa Rica,5,4,,,,5,1
71,French Guiana,5,,,,,5,
72,Slovakia,5,2,,,,5,
73,Afghanistan,4,,,,,4,
74,Senegal,4,,,,1,3,
75,Bulgaria,4,2,,,,4,
76,Latvia,3,2,,,1,2,
77,North Macedonia,3,,,,,3,
78,Bangladesh,3,3,,,,3,
79,Bosnia and Herzegovina,3,,,,,3,
80,Malta,3,,,,,3,
81,South Africa,3,1,,,,3,
82,Cambodia,2,,,,1,1,
83,Morocco,2,,,,,2,1
84,Cameroon,2,,,,,2,
85,Faeroe Islands,2,,,,,2,
86,Maldives,2,,,,,2,
87,Andorra,1,,,,,1,
88,Armenia,1,,,,,1,
89,Jordan,1,,,,,1,
90,Lithuania,1,,,,,1,
91,Monaco,1,,,,,1,
92,Nepal,1,,,,1,0,
93,Nigeria,1,,,,,1,
94,Sri Lanka,1,,,,1,0,
95,Tunisia,1,,,,,1,
96,Ukraine,1,,,,,1,
97,Bhutan,1,,,,,1,
98,Colombia,1,,,,,1,
99,Gibraltar,1,,,,,1,1
100,Vatican City,1,,,,,1,
101,Liechtenstein,1,,,,,1,
102,Moldova,1,,,,,1,
103,Paraguay,1,,,,,1,
104,Serbia,1,,,,,1,
105,Togo,1,,,,,1,
