,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,81054,46,3261,6,72440,5353,1845
2,Italy,59138,"5,560",5476,651,7024,46638,3000
3,USA,32801,"8,594",391,89,178,32232,708
4,Spain,28603,"3,107",1756,375,2125,24722,1785
5,Germany,24714,"2,350",92,8,266,24356,2
6,Iran,21638,"1,028",1685,129,7635,12318,
7,France,14459,,562,,1587,12310,1525
8,S. Korea,8897,98,104,2,2909,5884,59
9,Switzerland,7230,367,85,5,131,7014,141
10,UK,5683,665,281,48,93,5309,20
11,Netherlands,4204,573,179,43,2,4023,354
12,Belgium,3401,586,75,8,263,3063,288
13,Austria,3302,310,16,8,9,3277,15
14,Norway,2263,99,7,,6,2250,28
15,Sweden,1931,161,21,1,16,1894,68
16,Portugal,1600,320,14,2,5,1581,26
17,Denmark,1395,69,13,,1,1381,42
18,Canada,1385,57,20,1,14,1351,1
19,Australia,1353,281,7,,46,1300,2
20,Malaysia,1306,123,10,2,139,1157,26
21,Brazil,1209,31,18,,2,1189,18
22,Japan,1086,32,36,,235,815,57
23,Czechia,1047,52,,,6,1041,19
24,Turkey,947,,21,,,926,
25,Israel,945,62,1,,37,907,20
26,Luxembourg,798,128,8,,6,784,3
27,Ecuador,789,257,14,7,3,772,2
28,Ireland,785,,3,,5,777,13
29,Diamond Princess,712,,8,,567,137,15
30,Pakistan,646,1,3,,13,630,
31,Chile,632,95,1,,8,623,7
32,Finland,626,103,1,,10,615,12
33,Greece,624,94,15,2,19,590,18
34,Thailand,599,188,1,,44,554,7
35,Iceland,568,95,1,,5,562,1
36,Poland,563,27,7,2,13,543,3
37,Indonesia,514,64,48,10,29,437,
38,Saudi Arabia,511,119,,,17,494,
39,Qatar,481,,,,27,454,6
40,Singapore,455,23,2,,144,309,14
41,Romania,433,66,2,2,64,367,14
42,Slovenia,414,31,2,1,,412,12
43,India,391,59,7,2,24,360,
44,Philippines,380,73,25,6,15,340,1
45,Russia,367,61,1,,16,350,
46,Bahrain,332,22,2,1,149,181,4
47,Estonia,326,20,,,4,322,2
48,Peru,318,,5,,1,312,5
49,Hong Kong,317,43,4,,100,213,4
50,Egypt,294,,10,,42,242,
51,Croatia,254,48,1,,5,248,5
52,Mexico,251,48,2,,4,245,1
53,Lebanon,248,18,4,,8,236,4
54,Panama,245,,3,,1,241,7
55,South Africa,240,,,,2,238,
56,Iraq,233,19,20,3,57,156,
57,Colombia,231,35,2,2,3,226,
58,Argentina,225,67,4,,27,194,
59,Serbia,222,51,2,1,2,218,4
60,Dominican Republic,202,90,3,,,199,
61,Algeria,201,62,17,2,65,119,
62,Armenia,190,30,,,2,188,6
63,Kuwait,188,12,,,27,161,5
64,Bulgaria,185,22,3,,3,179,3
65,Slovakia,178,,,,7,171,2
66,San Marino,175,15,20,,4,151,13
67,Taiwan,169,16,2,,28,139,
68,UAE,153,,2,,38,113,2
69,Latvia,139,15,,,1,138,
70,Uruguay,135,25,,,,135,2
71,Hungary,131,28,6,2,16,109,6
72,Lithuania,129,30,1,,1,127,1
73,Costa Rica,117,,2,,2,113,2
74,North Macedonia,115,30,1,1,1,113,1
75,Faeroe Islands,115,23,,,3,112,
76,Andorra,113,25,1,1,1,111,2
77,Vietnam,113,19,,,17,96,2
78,Morocco,109,13,3,,3,103,1
79,Jordan,100,,,,1,99,
80,Cyprus,95,11,1,,3,91,3
81,Bosnia and Herzegovina,94,1,1,,2,91,1
82,Moldova,94,14,1,,1,92,3
83,Malta,90,17,,,2,88,1
84,Albania,89,13,2,,2,85,2
85,Brunei,88,5,,,2,86,2
86,Cambodia,84,31,,,2,82,
87,Sri Lanka,82,5,,,3,79,2
88,Belarus,76,,,,15,61,
89,Burkina Faso,75,11,4,1,5,66,
90,Tunisia,75,15,3,2,1,71,7
91,Venezuela,70,,,,15,55,2
92,New Zealand,66,14,,,,66,
93,Azerbaijan,65,12,1,,11,53,
94,Kazakhstan,59,5,,,,59,
95,Palestine,59,6,,,17,42,
96,Guadeloupe,56,,1,,,55,4
97,Senegal,56,,,,5,51,
98,Oman,55,3,,,17,38,
99,Georgia,54,5,,,1,53,1
100,Trinidad and Tobago,50,1,,,,50,
101,Ukraine,47,,3,,1,43,
102,Réunion,47,,,,1,46,
103,Uzbekistan,43,2,,,,43,
104,Cameroon,40,,,,2,38,
105,Martinique,37,,1,,,36,7
106,Liechtenstein,37,,,,,37,
107,Cuba,35,14,1,,,34,
108,Afghanistan,34,10,1,1,1,32,
109,Channel Islands,32,,,,,32,
110,DRC,30,7,1,,,29,
111,Bangladesh,27,3,2,,3,22,
112,Guam,27,12,1,1,,26,
113,Nigeria,27,5,,,2,25,
114,Honduras,26,2,,,,26,
115,Mauritius,24,10,2,1,,22,1
116,Bolivia,24,5,,,,24,
117,Puerto Rico,23,2,1,,,22,
118,Paraguay,22,,1,,,21,1
119,Macao,22,3,,,10,12,
120,Ghana,21,,1,,,20,
121,Jamaica,19,,1,,2,16,
122,Guyana,18,,1,,,17,
123,Monaco,18,,,,1,17,
124,French Guiana,18,,,,,18,
125,Guatemala,17,,1,,,16,
126,Rwanda,17,,,,,17,
127,Montenegro,16,,,,,16,
128,Togo,16,,,,,16,
129,French Polynesia,15,,,,,15,
130,Gibraltar,15,5,,,2,13,
131,Kenya,15,8,,,,15,
132,Barbados,14,,,,,14,
133,Ivory Coast,14,,,,1,13,
134,Kyrgyzstan,14,,,,,14,
135,Maldives,13,,,,3,10,
136,Tanzania,12,6,,,,12,
137,Ethiopia,11,2,,,,11,
138,Mayotte,11,,,,,11,
139,Mongolia,10,,,,,10,
140,Aruba,8,3,,,1,7,
141,Seychelles,7,,,,,7,
142,Equatorial Guinea,6,,,,,6,
143,U.S. Virgin Islands,6,,,,,6,
144,Gabon,5,,1,,,4,
145,Isle of Man,5,3,,,,5,
146,Saint Martin,5,,,,,5,
147,Suriname,5,,,,,5,
148,Bahamas,4,,,,,4,
149,New Caledonia,4,,,,,4,
150,Eswatini,4,3,,,,4,
151,Cayman Islands,3,,1,,,2,
152,Curaçao,3,,1,,,2,
153,Cabo Verde,3,,,,,3,
154,CAR,3,,,,,3,
155,Congo,3,,,,,3,
156,El Salvador,3,,,,,3,
157,Liberia,3,,,,,3,
158,Madagascar,3,,,,,3,
159,Namibia,3,,,,,3,
160,St. Barth,3,,,,,3,
161,Zambia,3,1,,,,3,
162,Zimbabwe,3,,,,,3,
163,Sudan,2,,1,,,1,
164,Angola,2,,,,,2,
165,Benin,2,,,,,2,
166,Bermuda,2,,,,,2,
167,Bhutan,2,,,,,2,
168,Fiji,2,,,,,2,
169,Greenland,2,,,,,2,
170,Guinea,2,,,,,2,
171,Haiti,2,,,,,2,
172,Mauritania,2,,,,,2,
173,Nicaragua,2,,,,,2,
174,Niger,2,1,,,,2,
175,Saint Lucia,2,,,,,2,
176,Nepal,1,,,,1,0,
177,Antigua and Barbuda,1,,,,,1,
178,Chad,1,,,,,1,
179,Djibouti,1,,,,,1,
180,Eritrea,1,,,,,1,
181,Gambia,1,,,,,1,
182,Vatican City,1,,,,,1,
183,Montserrat,1,,,,,1,
184,Mozambique,1,1,,,,1,
185,Papua New Guinea,1,,,,,1,
186,St. Vincent Grenadines,1,,,,,1,
187,Sint Maarten,1,,,,,1,
188,Somalia,1,,,,,1,
189,Timor-Leste,1,,,,,1,
190,Uganda,1,,,,,1,
