,country,total,new case,death,new_death,active_cases,recovered,critical
1,China,80576,167,3042,30,23605,53929,5737
2,S. Korea,6593,309,43,1,6415,135,52
3,Iran,4747,"1,234",124,16,3710,913,
4,Italy,4636,778,197,49,3916,523,462
5,Diamond Princess,696,,6,,478,212,34
6,Germany,670,125,,,653,17,8
7,France,577,154,9,2,556,12,23
8,Japan,420,56,6,,368,46,34
9,Spain,387,105,5,2,379,3,9
10,USA,240,19,14,2,211,15,8
11,Switzerland,214,94,1,,210,3,
12,UK,163,47,2,1,143,18,
13,Sweden,136,42,,,135,1,
14,Singapore,130,13,,,49,81,7
15,Netherlands,128,46,1,1,127,,1
16,Norway,120,26,,,119,1,
17,Belgium,109,59,,,108,1,1
18,Hong Kong,105,,2,,66,37,6
19,Malaysia,83,28,,,61,22,
20,Australia,63,3,2,,39,22,1
21,Bahrain,60,5,,,56,4,
22,Kuwait,58,,,,57,1,
23,Austria,55,12,,,53,2,1
24,Canada,49,12,,,41,8,1
25,Thailand,48,1,1,,16,31,1
26,Taiwan,45,1,1,,29,15,
27,Greece,45,14,,,45,,
28,Iceland,43,8,,,43,,
29,Iraq,40,,3,,36,1,
30,India,31,1,,,28,3,
31,UAE,29,1,,,24,5,2
32,San Marino,23,2,1,,22,,4
33,Denmark,23,3,,,22,1,
34,Lebanon,22,6,,,22,,1
35,Israel,21,4,,,19,2,
36,Czechia,18,6,,,18,,
37,Algeria,17,,,,17,,
38,Vietnam,17,1,,,1,16,
39,Oman,16,,,,14,2,
40,Egypt,15,12,,,14,1,
41,Finland,15,3,,,14,1,
42,Ecuador,13,,,,13,,1
43,Ireland,13,,,,13,,
44,Portugal,13,4,,,13,,
45,Russia,13,6,,,11,2,
46,Croatia,11,1,,,11,,
47,Qatar,11,3,,,11,,
48,Macao,10,,,,1,9,
49,Estonia,10,5,,,10,,
50,Brazil,9,1,,,9,,
51,Georgia,9,,,,9,,1
52,Romania,9,3,,,6,3,
53,Slovenia,8,2,,,8,,
54,Palestine,7,,,,7,,
55,Azerbaijan,6,,,,6,,
56,Belarus,6,,,,6,,
57,Mexico,6,,,,5,1,
58,Pakistan,6,1,,,5,1,
59,Philippines,5,2,1,,2,2,1
60,Saudi Arabia,5,,,,4,1,
61,Poland,5,4,,,5,,
62,Indonesia,4,2,,,4,,
63,New Zealand,4,,,,4,,
64,Senegal,4,,,,4,,
65,Chile,4,,,,4,,
66,Hungary,4,,,,4,,
67,Bosnia and Herzegovina,3,1,,,3,,
68,Dominican Republic,2,1,,,2,,
69,Luxembourg,2,,,,2,,
70,Morocco,2,,,,2,,1
71,Argentina,2,,,,2,,
72,Afghanistan,1,,,,1,,
73,Andorra,1,,,,1,,
74,Armenia,1,,,,1,,
75,Cambodia,1,,,,0,1,
76,Jordan,1,,,,1,,
77,Latvia,1,,,,0,1,
78,Lithuania,1,,,,1,,
79,North Macedonia,1,,,,1,,
80,Monaco,1,,,,1,,
81,Nepal,1,,,,0,1,
82,Nigeria,1,,,,1,,
83,Sri Lanka,1,,,,0,1,
84,Tunisia,1,,,,1,,
85,Ukraine,1,,,,1,,
86,Bhutan,1,1,,,1,,
87,Cameroon,1,1,,,1,,
88,Costa Rica,1,,,,1,,
89,Gibraltar,1,,,,1,,
90,Vatican City,1,1,,,1,,
91,Liechtenstein,1,,,,1,,
92,Peru,1,1,,,1,,
93,Serbia,1,1,,,1,,
94,Slovakia,1,1,,,1,,
95,South Africa,1,,,,1,,
96,Togo,1,1,,,1,,
